Quartier_ID;NOM
2;Vieux-Pont - Sainte-Geneviève
6;Parc Nord
7;Petit Nanterre
3;Plateau - Mont-Valérien
1;Centre
10;Chemin de l'Ile
8;Université
9;République
5;Parc Sud
4;La Boule - Champs Pierreux
