Caf;Antériorité du stock des minima sociaux en 2009
CAF de l'Ain;76.368546367
CAF de L'Aisne;74.683246147
CAF de l'Allier;51.36125494
CAF des Alpes de Haute-Provence;42.198182257
CAF des Hautes-Alpes;81.275293317
CAF des Alpes-Maritimes;49.016314622
CAF de L'Ardèche;48.299524967
CAF des Ardennes;61.021361771
CAF de l'Ariège;84.502405672
CAF de l'Aube;91.188793696
CAF de l'Aude;96.303301893
CAF de l'Aveyron;85.133186407
CAF des Bouches-Du-Rhône;62.566937017
CAF du Calvados;62.377884627
CAF du Cantal;94.435567628
CAF de la Charente;62.603472643
CAF de la Rochelle;67.487201209
Caisse Maritime D'AF;99.688846338
CAF du Cher;54.295862483
CAF de la Correze;68.602565871
CAF de Corse du Sud;95.214263372
CAF de la Haute-Corse;71.856912887
CAF de la Côte d'Or;45.707709065
CAF des Côtes d'Armor;84.743929337
CAF de la Creuse;87.352414205
CAF de la Dordogne;93.348897469
CAF du Doubs;55.40922657
CAF de la Drome;76.079781099
CAF de l'Eure;63.400127375
CAF de l'Eure-et-Loir;64.62744927
CAF du Finistère;75.309373422
CAF du Gard;43.454700342
CAF de la Haute-Garonne;65.201762974
CAF du Gers;77.772054599
CAF de la Gironde;70.26538441
CAF de L'Hérault;68.194828126
CAF de l'Ille-et-Vilaine;64.672175781
CAF de l'Indre;88.754679551
CAF Touraine;60.524433545
CAF de L'Isère;36.720296015
CAF du Jura;68.304831479
CAF des Landes;76.624838133
CAF de Loir-et-Cher;49.409203195
CAF de la Loire;69.480274432
CAF de la Haute-Loire;46.575505162
CAF de Loire-Atlantique;88.199726691
CAF du Loiret;61.081962459
CAF du Lot;74.010306396
CAF de Lot-et-Garonne;92.290298807
CAF de la Lozere;97.40857601
CAF de Maine-et-Loire;60.100839652
CAF de la Manche;41.942233791
CAF de la Marne;64.003785889
CAF de la Haute-Marne;89.978673624
CAF de la Mayenne;63.134175549
CAF de la Meurthe-et-Moselle;52.166700919
CAF de la Meuse;65.219380562
CAF du Morbihan;44.55660163
CAF de la Moselle;46.93862898
CAF de la Nièvre;72.437903384
CAF du Nord;59.03174372
CAF de l'Oise;49.985051557
CAF de l'Orne;50.869358848
CAF du Pas de Calais;81.386369476
CAF du Puy-de-Dôme;42.900447404
CAF du Pays Basque et Seignanx;92.671953637
CAF du Béarn et de la Soule;44.862181581
CAF des Hautes-Pyrénées;85.501494971
CAF des Pyrénées-Orientales;78.685854337
CAF du Bas-Rhin;75.576201003
CAF du Haut-Rhin;60.675636342
CAF du Rhône;59.043810216
CAF de la Haute-Saône;78.934862143
CAF de la Saône-et-Loire;45.739485385
CAF de la Sarthe;77.797557259
CAF de la Savoie;74.519730465
CAF de la Haute Savoie;70.30887703
CAF de Paris;66.52369875
CAF de Seine Maritime;48.125312954
CAF de Seine-et-Marne;39.45623683
CAF des Yvelines;76.03404073
CAF des Deux-Sèvres;72.025413939
CAF de la Somme;82.894366225
CAF du Tarn;63.234722145
CAF de Tarn-et-Garonne;86.92984826
CAF du Var;69.426325948
CAF du Vaucluse;56.048696997
CAF de la Vendée;72.107044921
CAF de la Vienne;62.889235603
CAF de la Haute-Vienne;86.810535412
CAF des Vosges;72.573417659
CAF de l'Yonne;71.344361701
CAF du Territoire de Belfort;44.324178894
CAF de l'Essonne;45.221581742
CAF des Hauts-de-Seine;66.312099272
CAF de Seine-Saint-Denis;39.863295707
CAF du Val-de-Marne;36.491930527
CAF du Val d'Oise;29.95339917
CAF de la Guadeloupe;43.112597527
CAF de la Martinique;57.909251815
CAF de la Guyane;89.024122807
CAF de la Réunion;52.856049666
