"Peuplement","Type","Age","Surface","%"
"FPM","Futaie de Pin maritime","CR","410,9357","41,0"
"FPM","Futaie de Pin maritime","00-04 ans","61,5267","6,1"
"FPM","Futaie de Pin maritime","05-09 ans","127,0355","12,7"
"FPM","Futaie de Pin maritime","10-14 ans","152,8143","15,2"
"FPM","Futaie de Pin maritime","15-19 ans","33,8661","3,3"
"FPM","Futaie de Pin maritime","20-24 ans","29,7544","2,9"
"FPM","Futaie de Pin maritime","25-29 ans","30,6974","3,0"
"FPM","Futaie de Pin maritime","30-34 ans","12,6820","1,2"
"FPM","Futaie de Pin maritime","35-39 ans","15,0674","1,5"
"FPM","Futaie de Pin maritime","40-44 ans","15,0680","1,5"
"FPM","Futaie de Pin maritime","45-49 ans","17,1662","1,7"
"FPM","Futaie de Pin maritime","50 & +","94,5608","9,4"
