FID,nature,index_,nb_logmt,export,source,SHAPE_Length,SHAPE_Area
1551,Résidence,LE NEWTON,65,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,126.54285338647,986.033700003443
1552,Promoteur SARL,ETABLISSEMENT RICHEVILLE ROBE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,75.1391734131192,265.653749988177
1553,Promoteur SARL,FIN GOURMET, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,127.365826891289,909.016800016679
1554,Résidence,JEAN DIDIER,25,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,99.4182126431437,587.669799996773
1555,Promoteur SCI,RUISSEAU DES NOIRS, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,73.2492958473221,313.556849985794
1556,SIDR,LES HEBRIDES,33 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,289.765569723526,1908.21700000757
1557,SIDR,SAMIYA,17 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,90.8554385019794,489.418449996954
1558,Résidence,GALABERT,16,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,80.0498437238547,393.19455000586
1559,Résidence,LE VENT BLEU, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,84.1686408862937,429.399450006153
1560,Résidence,LES GIROFLIERS,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,73.6637961861513,334.151050001085
1561,Résidence,TOURETTE 2,25,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,164.157911438814,1469.78269999619
1562,Promoteur SCI,PAVILLON ALPHA, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,102.83590103256,673.06689998859
1563,Promoteur SCI,LA MONTAGNE CENTRAL RESIDENCE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,339.551528714191,7003.81964997129
1564,Résidence,MOULLAN, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,189.430181306872,948.07054999774
1565,Résidence,AH-KOUN,15,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,92.529356200003,453.062799988387
1566,Lotissement,LES BORIES,11,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,577.251379875947,15685.3358000171
1567,Lotissement,LAURET ISIDORE,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,364.565486813868,6801.00864999471
1568,Promoteur SCCV,KAFRINE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,111.601047263316,753.038199996378
1569,Promoteur SCI,LECONTE DE LISLE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,46.751996088114,130.542699996825
1570,Résidence,VIVA,8,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,94.6889034063719,500.245649996767
1571,Promoteur BATIPRO,ARBOREA,100,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,158.228452935281,1009.46604999017
1572,Lotissement,LA CORDERIE,20,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,630.153517326114,22031.576750009
1573,Lotissement,LES MANGUIERS,8,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,431.937054524105,7676.11139999332
1574,Lotissement,LE VERGER,10,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,386.458228228599,8649.50539998755
1575,Lotissement,LE DOMAINE DE LA MONTAGNE, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,782.870947208347,25721.8209001006
1576,Promoteur SPAG,SERPENTINES,34,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,183.140657725333,1819.38220000509
1577,Résidence,PROVIDENCE,45,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,537.049865327299,16460.9332499724
1578,Résidence,DEVILCOURT,6,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,80.0577276265646,397.698249996441
1579,Résidence,ARIANE,16,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,90.2730884826592,410.766450006738
1580,SIDR,CALLIOPE C,31 LLS,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,155.149407897775,1128.40514997909
1581,Résidence,INDIRA, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,141.493666589633,1116.66724999817
1582,Résidence,RAVINE CADET,7,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,355.987912636807,6118.18414998658
1583,Promoteur SCCV,COLINEAS,48,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,268.463287923744,1669.31520000579
1584,Résidence,LE CLOS LORY,24,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,440.338482111357,7060.23574993793
1585,Résidence,DU LEVANT,6,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,97.0498560715519,541.821749996532
1586,Promoteur SCI,LES ANTHURIUMS, ,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,163.468287161781,835.036899982257
1587,Lotissement,LA ROSEE,22,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,648.018841573968,14263.4193499807
1588,Promoteur BATIPRO,LYRIS,529,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,155.372093649892,1250.55674998582
1589,Lotissement,LE PITON,41,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,2063.03527769466,25792.0996500007
1590,Résidence,OCEANE,49,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,225.330936881794,2972.75200001219
1591,Lotissement,GRONDIN,26,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,1885.05565701467,22406.1795499766
1592,Lotissement,BELLEPIERRE 2,18 Lots,06/01/2021,Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis,775.004580410866,23316.3398999652
