numero_uai,nom,LONGITUDE,LATITUDE
0330008E,Collège Jean Verdier,-1.006217235540000,44.687419888699999
0330017P,Collège Jean Zay,-0.976564710321000,44.635996014000000
0330058J,Collège Paul Emile Victor,-0.185149440831000,44.824251558199997
0330059K,Collège Anatole France,-0.306513904725000,44.630361023200003
0330062N,Collège Canterane,-0.791592907051000,45.030641438899998
0330064R,Collège Aliénor d'Aquitaine,-0.050768816797000,44.851372014900001
0330065S,Collège Monsejour,-0.631502493667000,44.855521041099998
0330066T,Collège Saint André,-0.616593403483000,44.855301486800002
0330081J,Collège Jules Chambrelent,-1.056736055080000,45.188478079500001
0330083L,Collège Jules Ferry,-0.252285770890000,44.548869685000000
0330084M,Collège Toulouse Lautrec,-0.252162557666000,44.545091829400000
0330091V,Collège LES DAGUEYS,-0.243082778725000,44.948634093400003
0330093X,Collège,-0.099238939182000,44.949127913500000
0330100E,Collège Eléonore de Provence,0.068921085768900,44.648822817300001
0330103H,Collège Pierre de Belleyme,-0.751531060043000,45.202650598699996
0330105K,Collège Champ d'Eymet,0.073607876090000,44.743395987900001
0330106L,Collège François Mitterrand,-0.645864402241000,44.792130246600003
0330108N,Collège Georges Brassens,-0.351921896615000,44.649884592200003
0330113U,Collège Jean Monnet,-0.612560188181000,45.293286318600003
0330122D,Collège François Mauriac,-0.492523553889000,44.430973672000000
0330125G,Collège Georges Mandel,-1.121739651810000,45.505780750100001
0330128K,Collège Henri Brisson,-0.591503452895000,44.819002613700000
0330129L,Collège Henri Dheurle,-1.137110919260000,44.632341324000002
0330132P,Collège Pont de La Maye,-0.567689460019000,44.779942159699999
0330138W,Collège Jean Aviotte,-0.185820308715000,45.041842803199998
0330140Y,Collège Grand Parc,-0.582289225666000,44.856132418100003
0330145D,Collège Capeyron,-0.647905849397000,44.850243837800001
0330146E,Collège Jules Ferry,-0.651261841690000,44.841727031300003
0330162X,Collège Eugène Atget,0.221431372903000,44.836874485800003
0330163Y,Collège Elie Faure,-1.160508827140000,44.650902113199997
0330167C,Collège Marie Bartette,-0.629908998806000,44.908350335999998
0331419N,Collège Georges Rayet,-0.851049769621000,44.693180263499997
0331433D,Collège Pierre Martin,-1.140782537290000,44.626264677000002
0331435F,Collège Les Eyquems,-0.588578715918000,44.804699802700000
0331461J,Collège Cassignol,-0.645310321593000,44.827231784600002
0331462K,Collège Franscisco Goya,-0.573227099278000,44.855855976199997
0331464M,Collège Jean Zay,-0.576910643381000,44.834226070200003
0331490R,Collège privé Lestonnac,-0.636578385941000,44.790885191599997
0331492T,Collège privé Sainte Clotilde - Assomption Cr. Saint Seurin,-0.458259221738000,44.820896535899998
0331500B,Collège privé Notre-Dame Sévigné,-0.570730950769000,44.833469895500002
0331507J,Collège privé Saint Joseph,-0.526219223157000,44.680749522900001
0331511N,Collège privé Jeanne d'Arc - Saint Romain,-0.246002970273000,44.913367393100003
0331513R,Collège privé Saint Louis Sainte Thérèse,-0.246941466091000,44.915120560799998
0331519X,Collège privé Saint Seurin,-0.659350960622000,45.126656188699997
0331523B,Collège privé Sainte Anne,-0.569042965914000,44.857366882900003
0331524C,Collège privé Jean J.Lataste,-0.589357077911000,44.843589984600001
0331527F,Collège privé Sainte Marie Jeanne d'Arc,-0.606888608027000,44.866401227899999
0331528G,Collège privé Notre-Dame,-0.314310185064000,44.638718179800001
0331529H,Collège privé Sainte Jeanne d'Arc Saint Joseph,-0.249663806522000,44.556309881499999
0331530J,Collège privé Sainte Marie,-0.937686689377000,45.307377858700001
0331531K,Collège privé Anglade Langalerie,-0.629631212436000,44.806266930600003
0331532L,Collège privé Jeanne d'Arc,-0.448541748707000,44.989968550999997
0331617D,Collège Claude Masse,-0.594584477343000,44.849889083800001
0331618E,Collège Léonard Lenoir,-0.590526924091000,44.775424573800002
0331619F,Collège Georges Lapierre,-0.483889067502000,44.928536791399999
0331620G,Collège Camille Claudel,-0.553769049986000,44.841575281099999
0331621H,Collège Henri de Navarre,-0.523170080992000,44.874523636600003
0331622J,Collège Fontaines de Monjous,-0.491811791656000,44.786540136900001
0331623K,Collège Alouette,-0.118499013245000,45.041411676099997
0331644H,Collège privé Saint Jean,-0.584183216453000,44.764677250299997
0331662C,Collège Alain Fournier,-0.749186018242000,45.191322641200003
0331663D,Collège Cheverus,-0.596408471273000,44.844206952599997
0331664E,Collège François Mauriac,-0.580888752666000,44.827906065100002
0331666G,Collège Alienor d'Aquitaine,-0.575578490680000,44.839223222599998
0331667H,Collège Robert Barrière,-0.710501963829000,44.894587197400000
0331669K,Collège Ausone,-0.084865978666500,44.696016167600000
0331752A,Collège Marcelin Berthelot,-0.472823357724000,44.929287041099997
0331753B,Collège Blanqui,-0.699487477701000,44.903370599100001
0331754C,Collège Emmanuel Dupaty,-0.567237172395000,44.808042862599997
0331757F,Collège,-0.550376144139000,44.874176602200002
0331758G,Collège Noés,-0.627168023333000,44.907308773899999
0331759H,Collège Chante Cigale,-0.432285756880000,45.005700377399997
0331880P,Collège Pablo Neruda,-1.057656806880000,45.471982733399997
0331884U,Collège Manon Cormier,-0.563990254778000,44.793183167499997
0331885V,Collège Jean Jaurès,-0.546342760449000,44.805730239200003
0331888Y,Collège du Val de Saye,-0.121595597817000,45.042308873200000
0331890A,Collège André Lahaye,-0.410614189429000,45.139295153799999
0331891B,Collège Les Lesques,-0.597004572155000,44.774228474600001
0331895F,Collège Montaigne,-1.088021051270000,44.745952659799997
0332082J,Collège Edouard Vaillant,-0.520960457392000,44.859267367999998
0332084L,Collège Albert Camus,-0.747889648674000,45.194247171100002
0332085M,Collège J. Auriac,-0.565268810633000,44.864517127600003
0332090T,Collège Bourran,-1.061029626020000,44.622678816700002
0332187Y,Collège Hastignan,-0.591426950904000,44.793628512799998
0332189A,Collège Nelson Mandela,-0.140614940532000,44.971186216000000
0332190B,Collège Alfred Mauguin,-0.733261910900000,44.894329747500002
0332191C,Collège Gérard Philipe,-0.733261910900000,44.894329747500002
0332195G,Collège Victor Louis,-0.622830247649000,44.799161217900000
0332244K,Collège François Mauriac,-1.094337696150000,44.735640312100003
0332246M,Collège Chambéry,-0.508964971834000,44.900638146699997
0332248P,Collège Paul Esquinance,-0.621383216917000,44.799119285499998
