numero_uai,nom,LONGITUDE,LATITUDE
0332283C,Collège François Mitterrand,-0.507902581668000,44.846917861100003
0332285E,Collège Jacques Ellul,-0.618154729675000,44.807719165300000
0332288H,Collège Ausone,-0.352677268843000,44.772678404200001
0332327A,Collège privé Saint Clément,-0.491085706117000,44.430721008299997
0332340P,Collège Max Linder,-0.716887127893000,44.870006718200003
0332341R,Collège Jacques Prévert,-0.495703903124000,45.081626519600000
0332342S,Collège Cantelande,-0.631251650710000,44.844985097799999
0332343T,Collège Montesquieu,-0.427793625306000,44.910406773600002
0332347X,Collège Sébastien Vauban,-0.230041598714000,44.914747362800000
0332437V,Collège Emile Zola,-0.681103590746000,44.746851634000002
0332486Y,Collège privé Sainte Claire,-0.656635213581000,45.120843142900000
0332487Z,Collège privé Saint Elme,-0.516054500371000,44.910222987499999
0332488A,Collège privé Saint Joseph de Tivoli,-0.513701277048000,44.846559490499999
0332489B,Collège privé Notre-Dame,-0.512712203295000,44.846260968899998
0332490C,Collège privé Saint Genès,-1.152581864960000,44.655378783000003
0332491D,Collège privé Albert Le Grand,-0.597512261550000,44.853246932799998
0332492E,Collège privé Sainte Marie Bastide,-0.581991844572000,44.843153948900003
0332493F,Collège privé Sainte Marie Grand Lebrun,-0.580622611966000,44.825122576500000
0332494G,Collège privé Rambaud,-0.583329576468000,44.824497979000000
0332569N,Collège Porte du Médoc,-0.737653247717000,44.901940856899998
0332657J,Collège de Lège Cap Ferret,-0.675891834631000,44.886964279499999
0332704K,Collège d'Arsac,-0.704915484950000,44.792954829999999
0332705L,Collège François Mauriac,-0.490450768492000,44.861669743299998
0332706M,Collège Léo Drouyn,-0.587591393845000,44.810410549099998
0332723F,Collège Emile Durkheim,-0.654206769380000,44.763309308499998
0332743C,Collège Aliénor d'Aquitaine,-0.582807799190000,44.838610485200000
0332746F,Collège Emile Combes,-0.600688498777000,44.828969166999997
0332768E,Collège Aliénor d'Aquitaine,-0.785144482724000,44.806600119800002
0332806W,Collège privé Le Mirail,-0.591695627194000,44.800603593500000
0332934K,Collège de Pian Sur Garonne,-0.679079995506000,44.884733330400003
0332982M,Collège Val des Pins,-0.548929975202000,44.807728374800000
0333093H,Collège Léonard de Vinci,-0.242581814552000,44.914447738600003
0333108Z,Collège Jean Moulin,-0.580357043582000,44.862073730500001
0333121N,Collège Gaston Flament,-1.074375578850000,44.636997512299999
0333129X,Collège Privé St Joseph,-0.568542358082000,44.766610720499997
0333132A,Collège de Carbon Blanc,-0.516671400983000,44.803112175099997
0333133B,Collège de Cadaujac,-0.645588102720000,44.908762309200000
0333134C,Collège de l'Estey St Jean d'Illac,-0.500426061167000,44.911184469200002
0333213N,COLLEGE MARGUERITE DURAS,-0.954627748197000,44.651990796500002
0333268Y,Collège Notre Dame DU Rosaire,-0.766486962658000,44.843289800199997
0333274E,Collège Rosa Bonheur à Bruges,-0.231207760397000,44.563613668400002
0333287U,Collège de Lacanau,"-1,084331274","44,9884658674"
