D‚cheteries;Adresse;Code postal et Ville;T‚l‚phone;Horaires;G‚olocalisation
Ma d‚cheterie mobile;Contre-all‚e Jullien;92170 Vanves;;Samedi / 13h-17h;"48ø49'33.8""N 2ø17'12.0""E"
Camion Tryadis - d‚chets toxiques;Contre-all‚e Jullien;92170 Vanves;;Samedi / 13h-16h;"48ø49'33.8""N 2ø17'12.0""E"
D‚cheterie de la Porte d'Issy;Quai d'Issy-les-Moulineaux;75015 Paris;01 45 57 27 35;Tous les jours / 9h30-19h;"48ø50'15.2""N 2ø16'07.3""E"
D‚cheterie d'Ivry-sur-Seine;44, rue Victor Hugo;94200 Ivry-sur-Seine;01 43 90 00 28;Tous les jours / 10h-18h;"48ø49'14.9""N 2ø23'19.7""E"
SARM Chƒtillon;112 avenue de la R‚publique;92320 Chƒtillon;01 47 35 47 89;;"48ø48'17.6""N 2ø17'53.0""E"
SITA IdF - Transfert d'Arceuil;14  avenue du G‚n‚ral Malleret-Joinville;94110 Arcueil;01 40 80 67 40;;"48ø48'14.3""N 2ø20'33.2""E"
