"COMMUNE_NOM";"COLL_INSEE";"ANNEE";"ANNEE_MILLESIME";"POPULATION_TOTALE";"DENSITE";"DECES_DOMICILIE";"NAISSANCE_DOMICILIE";"TAUX_NAT";"TAUX_MORT"
"Saint-Paul-lès-Dax";"40279";"2012";"2009";"12792";"218.7";"146";"105";"8.2";"11.4"
"Saint-Paul-lès-Dax";"40279";"2013";"2010";"12904";"220.6";"160";"138";"10.7";"12.4"
"Saint-Paul-lès-Dax";"40279";"2014";"2011";"13121";"224.3";"141";"118";"12.8";"10.7"
"Saint-Paul-lès-Dax";"40279";"2015";"2012";"13768";"235.4";"151";"121";"8.8";"11.0"
"Saint-Paul-lès-Dax";"40279";"2016";"2013";"13561";"231.8";"135";"104";"7.7";"10.0"
"Saint-Paul-lès-Dax";"40279";"2017";"2014";"13758";"235.2";"158";"117";"8.5";"11.5"
"Saint-Paul-lès-Dax";"40279";"2018";"2015";"13638";"233.1";"158";"92";"6.7";"11.6"
