OBJECTID_12,IDMC,JOUR,HEURE,SOURCE,RD,PR,INSEE,COMMUNE,COM1,COM2,COM3,COM4,ACTION,INONDES,INTERVENTI,ROUVERTE,TOTAL,INSEETXT,NUMRD,PR1,ABS,B_geodb_oi,B_OBJECTID,B_ROUTE,B_PR,B_ABS,B_CUMUL,B_CLASSEME,B_RD,B_RD_PR,geodb_oid,OBJECTID,ROUTE,CUMUL,CLASSEMENT,RD_PR,OBJECTID_1,IDROUTE,GESTION,F_overlaps,F_predicate,DATETRAVAU,JOURTRAV,DATECOMPLE,IDMC2,DATEFIN
166,314,20160602000000.000,9h25,ATS,RD921, ,45142,Fay-aux-Loges,giratoire usine d’embouteillage, ,route barrée, ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602092500,0925,20160602,1464852300000,314,1464899940000
167,315,20160602000000.000,9h30,D. Roch,RD2060, ,45082,châteauneuf,carrefour des 6 routes CHATEAUNEUF/VITRY réouverte dans les 2 sens et à VILLEMANDEUR au niveau du SOLIN sur 1 voie dans le sens Montargis-Orléans. Cela veut dire que l'accès à l'A77 est possible dans, , , , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45082,2060, , , , , , , , , , , , , , , , , , , , , ,20160602093000,0930,20160602,1464852600000,315,1464899940000
168,330,20160602000000.000,9h57,ATM,RD793, ,45165,Gy les Nonains,- route barrée non circulable, , , ,ROUTES BARREES,NON CIRCULABLE, , ,ROUTES BARREES / NON CIRCULABLE /   /,45165,793, , , , , , , , , , , , , , , , , , , , , ,20160602095700,0957,20160602,1464854220000,330,1464899940000
169,390,20160602000000.000,10h55,ATO,RD125, ,45093,Chevilly,Saint Lyé la forêt,chaussée inondée,route barrée, ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45093,125, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,390,1464899940000
170,392,20160602000000.000,10h55,ATO,RD102, ,45062,Cercottes,Huêtre,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45062,102, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,392,1464899940000
171,393,20160602000000.000,10h55,ATO,RD502, ,45166,Huêtre,Bricy,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45166,502, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,393,1464899940000
172,394,20160602000000.000,10h55,ATO,RD836, ,45055,Bricy,D 935,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45055,836, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,394,1464899940000
173,396,20160602000000.000,10h55,ATO,RD108, ,45193,Saint Cyr,Marcilly,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45193,108, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,396,1464899940000
174,397,20160602000000.000,10h55,ATO,RD97, ,45147,fleury les aubrais,Saint Lyé la Forêt,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45147,97, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,397,1464899940000
175,398,20160602000000.000,10h55,ATO,RD168, ,45006,Ardon,la Ferté chaussée,inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45006,168, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,398,1464899940000
176,399,20160602000000.000,10h55,ATO,RD2020, ,45093,Chevilly,Cercottes,chaussée  inondée circulation difficile, , , ,INONDES, , ,/ INONDES /   /,45093,2020, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,399,1464899940000
177,401,20160602000000.000,10h55,ATO,RD124, ,45034,Boigny sur bionne,chaussée inondée route barrée, , , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45034,124, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,401,1464899940000
178,402,20160602000000.000,10h55,ATO,RD18, ,45098,Cléry Saint André,Jouy le potier,Circulation normale, , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45098,18, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,402,1464899940000
179,405,20160602000000.000,10h55,ATO,RD709, ,45194,Mardié,Donnery,chaussée inondée route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45194,709, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,405,1464899940000
180,406,20160602000000.000,10h55,ATO,RD960, ,45194,Mardié,Chécy,circulation normale, , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45194,960, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,406,1464899940000
181,409,20160602000000.000,10h55,ATO,RD921, ,45173,Jargeau,Férolles,circulation normale, , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45173,921, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,409,1464899940000
182,410,20160602000000.000,10h55,ATO,RD921, ,45193,Marcilly en Villette,circulation normale, , , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45193,921, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,410,1464899940000
183,413,20160602000000.000,10h55,ATO,RD2701, ,45302,Saran,RD 2020,jusqu’au péage Nord, , , ,INONDES, , ,/ INONDES /   /,45302,2701, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,413,1464899940000
184,415,20160602000000.000,10h55,ATO,RD12, ,45173,Jargeau,route barrée,Vienne en Val, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45173,12, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,415,1464899940000
185,417,20160602000000.000,10h55,ATO,RD702, ,45154,Gidy,Centre pénitencier,chaussée inondée route barrée., , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45154,702, , , , , , , , , , , , , , , , , , , , , ,20160602105500,1055,20160602,1464857700000,417,1464899940000
186,420,20160602000000.000,11h27,ATS,RD411, ,45273,St Denis de l’Hôtel,de la RD 424 à la RD 921,route inondée et barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45273,411, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,420,1464899940000
187,421,20160602000000.000,11h27,ATS,RD56, ,45096,les Choux,entre la RD 44,Route inondée, , , ,INONDES, , ,/ INONDES /   /,45096,56, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,421,1464899940000
188,423,20160602000000.000,11h27,ATS,RD153, ,45064,Cernoy,route inondée entre la,RD 51t,Signalisation,route inondée en place., ,INONDES, , ,/ INONDES /   /,45064,153, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,423,1464899940000
189,425,20160602000000.000,11h27,ATS,RD921, ,45142,fay,sully la chapelle,route barrée :situation inchangée – situation inchangée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,425,1464899940000
190,428,20160602000000.000,11h27,ATS,RD940, ,45108,Coullons,la Californie,chaussée inondée. Route barrée :situation inchangée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45108,940, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,428,1464899940000
191,429,20160602000000.000,11h27,ATS,RD926, ,45040,Bonny,échangeur de,fermé :situation inchangée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45040,926, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,429,1464899940000
192,430,20160602000000.000,11h27,ATS,RD12, ,45173,Jargeau,Vienne en val,inondée .route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45173,12, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,430,1464899940000
193,431,20160602000000.000,11h27,ATS,RD9, ,45346,Vitry,fay,au gué girault inondation1/2 largeur de chaussée (balisage) :situation inchangée Traversée de Fay au loges barrée (le canal déborde), , ,ROUTES BARREES, ,BALISAGE, ,ROUTES BARREES /   / BALISAGE /,45346,9, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,431,1464899940000
194,433,20160602000000.000,11h27,ATS,RD60, ,45270,Saint Benoit,Saint Pére,inondée,route barrée :situation inchangée, ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45270,60, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,433,1464899940000
195,434,20160602000000.000,11h27,ATS,RD152, ,45064,Cernoy,Blancafort,signalisation route inondée :situation inchangée, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45064,152, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,434,1464899940000
196,435,20160602000000.000,11h27,ATS,RD48, ,45070,Champoulet,face à l’étang de Painchaud ( entrée Champoulet ),"route inondée ,mais circulable signalisation en place.", , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45070,48, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,435,1464899940000
197,436,20160602000000.000,11h27,ATS,RD961, ,45039,Bonnée,Les Bordes,route inondée avec signalisation en place, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45039,961, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,436,1464899940000
198,437,20160602000000.000,11h27,ATS,RD921, ,45142,Fay-aux-Loges,giratoire usine d’embouteillage à,route barrée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,437,1464899940000
199,438,20160602000000.000,11h27,ATS,RD2060, ,45082,Châteauneuf,nord entre Châteauneuf,et pont des beignet,Plus d’inondation,–route ouverte, , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45082,2060, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,438,1464899940000
200,439,20160602000000.000,11h27,ATS,RD55, ,45340,Villemurlin,RD59,inondée,Plus d’inondation –route ouverte, , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45340,55, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,439,1464899940000
201,443,20160602000000.000,11h27,ATS,RD45, ,45245,Ouzouer,Dammarie:,Plus d’inondation –route ouverte, , , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45245,45, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,443,1464899940000
202,445,20160602000000.000,11h27,ATS,RD55, ,45324,Tigy,Viglain,inondée :route barrée,:Plus d’inondation –route ouverte, ,ROUTES BARREES,INONDES, ,ROUTES OUVERTES,ROUTES BARREES / INONDES /   / ROUTES OUVERTES,45324,55, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,445,1464899940000
203,446,20160602000000.000,11h27,ATS,RD45, ,45245,à Ouzouer sur trézée,- ouvert,au carrefour,RD 45/47, , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45245,45, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,446,1464899940000
204,447,20160602000000.000,11h27,ATS,RD52, ,45271,St Brisson,autry,signalisation route inondée :Plus d’inondation –route ouverte, , , ,INONDES,SIGNALISATION,ROUTES OUVERTES,/ INONDES / SIGNALISATION / ROUTES OUVERTES,45271,52, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,447,1464899940000
205,448,20160602000000.000,11h27,ATS,RD47, ,45052,Breteau,signalisation route inondée,:Plus d’inondation –route ouverte, , , ,INONDES,SIGNALISATION,ROUTES OUVERTES,/ INONDES / SIGNALISATION / ROUTES OUVERTES,45052,47, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,448,1464899940000
206,449,20160602000000.000,11h27,ATS,RD51, ,45087,Châtillon,Autry,signalisation route inondée à plusieurs endroits :Plus d’inondation –route ouverte, , , ,INONDES,SIGNALISATION,ROUTES OUVERTES,/ INONDES / SIGNALISATION / ROUTES OUVERTES,45087,51, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,449,1464899940000
207,452,20160602000000.000,11h27,ATS,RD2060, ,45082,Châteauneuf,nord entre Châteauneuf,pont des beignet,Plus d’inondation –route ouverte, , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45082,2060, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,452,1464899940000
208,453,20160602000000.000,11h27,ATS,RD60, ,45153,germigny,Châteauneuf,½ chaussée inondée :Plus d’inondation –route ouverte, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45153,60, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,453,1464899940000
209,454,20160602000000.000,11h27,ATS,RD10, ,45082,Châteauneuf,Vitry,½ chaussée inondée :Plus d’inondation –route ouverte, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45082,10, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,454,1464899940000
210,455,20160602000000.000,11h27,ATS,RD951, ,45280,Saint Gondon,Lion en Sullias,route inondée sur demi chaussée  :Plus d’inondation –route ouverte, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45280,951, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,455,1464899940000
211,456,20160602000000.000,11h27,ATS,RD51, ,45171,Isdes,Cerdon,½ chaussée inondée  :Plus d’inondation –route ouverte, , , ,INONDES, ,ROUTES OUVERTES,/ INONDES /   / ROUTES OUVERTES,45171,51, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,456,1464899940000
212,458,20160602000000.000,11h27,ATS,RD11, ,45082,châteauneuf,fay,PR 10,inondation1/2 largeur de chaussée (balisage) – plus d’inondation, , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45082,11, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,458,1464899940000
213,459,20160602000000.000,11h27,ATS,RD57, ,45180,Langesse,Les Choux,devant étang communal,plus d’inondation, , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45180,57, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,459,1464899940000
214,460,20160602000000.000,11h27,ATS,RD59, ,45315,Sully,Isdes,chaussée légèrement inondée (balisage),Plus d’inondation –route ouverte, , ,INONDES,BALISAGE,ROUTES OUVERTES,/ INONDES / BALISAGE / ROUTES OUVERTES,45315,59, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,460,1464899940000
215,461,20160602000000.000,11h27,ATS,RD951, ,45315,Sully,Tigy.,2 zones par ½ chaussée face à des cours d’eau. (balisage) :Plus d’inondation –route ouverte, , , , ,BALISAGE,ROUTES OUVERTES,/   / BALISAGE / ROUTES OUVERTES,45315,951, , , , , , , , , , , , , , , , , , , , , ,20160602112700,1127,20160602,1464859620000,461,1464899940000
216,467,20160602000000.000,11h48,ATM,RD62, ,45127,Dordives,- Route barrée inondée, , , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45127,62, , , , , , , , , , , , , , , , , , , , , ,20160602114800,1148,20160602,1464860880000,467,1464899940000
217,477,20160602000000.000,11h48,ATM,RD293, ,45102,Conflans sur Loing,- route barrée non circulable, , , ,ROUTES BARREES,NON CIRCULABLE, , ,ROUTES BARREES / NON CIRCULABLE /   /,45102,293, , , , , , , , , , , , , , , , , , , , , ,20160602114800,1148,20160602,1464860880000,477,1464899940000
218,480,20160602000000.000,11h48,ATM,RD793, ,45165,Gy les Nonains, , , , , ,INONDES, , ,/ INONDES /   /,45165,793, , , , , , , , , , , , , , , , , , , , , ,20160602114800,1148,20160602,1464860880000,480,1464899940000
219,508,20160602000000.000,12h03,ATO,RD45D0921, ,45173,Jargeau,"						entre Jargeau / Férolles et RD 13 / Marcilly en villettecirculation normale", , , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45173,921, , , , , , , , , , , , , , , , , , , , , ,20160602120300,1203,20160602,1464861780000,508,1464899940000
220,510,20160602000000.000,12h03,ATO,RD45D0960, ,45089,Checy,"						entre Mardié et Chécy  circulation normale", , , , , , ,CIRCULATION NORMALE,/   /   / CIRCULATION NORMALE,45089,960, , , , , , , , , , , , , , , , , , , , , ,20160602120300,1203,20160602,1464861780000,510,1464899940000
221,515,20160602000000.000,12h03,ATO,"RD45D0709	", ,45194,Mardié,"					entre Mardié et Donnery circulation rétablie", , , , , , ,CIRCULATION RETABLIE,/   /   / CIRCULATION RETABLIE,45194,"709	", , , , , , , , , , , , , , , , , , , , , ,20160602120300,1203,20160602,1464861780000,515,1464899940000
222,635,20160602000000.000,15h34,ATM,RD293, ,45102,Conflans sur Loing,Conflans sur Loing - route barrée, , , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45102,293, , , , , , , , , , , , , , , , , , , , , ,20160602153400,1534,20160602,1464874440000,635,1464899940000
223,647,20160602000000.000,15h45,ATO,RD108, ,45200,Ménestreau-en-Villette,Marcilly-en-Villette,pont réouvert, , , , , ,ROUTES OUVERTES,/   /   / ROUTES OUVERTES,45200,108, , , , , , , , , , , , , , , , , , , , , ,20160602154500,1545,20160602,1464875100000,647,1464899940000
224,649,20160602000000.000,16h15,maire Lailly-en-Val,RD19, ,45179,Lailly-en-Val,débordement en cours de l'Ardoux,PR 4,. Demande quoi faire. Réponse,signalisation du danger avant arrivée des agents CD 45 (panneautage CD 45 fait à 16h23), ,EAU SUR CHAUSSEE, , ,/ EAU SUR CHAUSSEE /   /,45179,19, , , , , , , , , , , , , , , , , , , , , ,20160602161500,1615,20160602,1464876900000,649,1464899940000
225,650,20160602000000.000,16h16,ATS,RD411, ,45273,St Denis de l’Hôtel,de la RD 424 à la RD 921,route inondée et barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45273,411, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,650,1464899940000
226,651,20160602000000.000,16h16,ATS,RD56, ,45096,les Choux,Route inondée Route barrée signalisation en place,entre la RD 44 et, , ,ROUTES BARREES,INONDES,SIGNALISATION, ,ROUTES BARREES / INONDES / SIGNALISATION /,45096,56, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,651,1464899940000
227,654,20160602000000.000,16h16,ATS,RD153, ,45064,Cernoy,Signalisation,route inondée en place.,route inondée entre la RD 51 et, , ,INONDES, , ,/ INONDES /   /,45064,153, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,654,1464899940000
228,656,20160602000000.000,16h16,ATS,RD921, ,45142,fay,sully la chapelle,route barrée :situation inchangée – situation inchangée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,656,1464899940000
229,659,20160602000000.000,16h16,ATS,RD940, ,45108,Coullons,chaussée inondée. Route barrée :situation inchangée,la Californie, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45108,940, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,659,1464899940000
230,660,20160602000000.000,16h16,ATS,RD926, ,45040,Bonny,fermé :situation inchangée,échangeur de, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45040,926, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,660,1464899940000
231,661,20160602000000.000,16h16,ATS,RD12, ,45173,Jargeau,Vienne,en val inondée .route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45173,12, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,661,1464899940000
232,662,20160602000000.000,16h16,ATS,RD9, ,45346,Vitry,fay,au gué girault inondation1/2 largeur de chaussée (balisage) :situation inchangée, , , , ,BALISAGE, ,/   / BALISAGE /,45346,9, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,662,1464899940000
233,664,20160602000000.000,16h16,ATS,RD60, ,45270,Saint Benoit,Saint Pére,inondée,route barrée :situation inchangée, ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45270,60, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,664,1464899940000
234,665,20160602000000.000,16h16,ATS,RD152, ,45064,Cernoy,Blancafort,signalisation route inondée :situation inchangée, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45064,152, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,665,1464899940000
235,666,20160602000000.000,16h16,ATS,RD921, ,45142,Fay-aux-Loges,giratoire usine d’embouteillage à,route barrée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,666,1464899940000
236,668,20160602000000.000,16h16,ATS,RD56, ,45096,entre les Choux,et RD 2007 route inondée avec signalisation en place, , , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45096,56, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,668,1464899940000
237,669,20160602000000.000,16h16,ATS,RD45, ,45245,Ouzouer sur Trézé,entre RD47,et Dammarie route inondée avec signalisation en place, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45245,45, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,669,1464899940000
238,670,20160602000000.000,16h16,ATS,RD153, ,45064,Cernoy,Pierrefitte,route inondée avec signalisation en place, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45064,153, , , , , , , , , , , , , , , , , , , , , ,20160602161600,1616,20160602,1464876960000,670,1464899940000
239,690,20160602000000.000,16h44,ATS,RD411, ,45273,St Denis de l’Hôtel,de la RD 424 à la RD 921,route inondée et barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45273,411, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,690,1464899940000
240,691,20160602000000.000,16h44,ATS,RD56, ,45096,les Choux,Route inondée Route barrée signalisation en place,entre la RD 44 et, , ,ROUTES BARREES,INONDES,SIGNALISATION, ,ROUTES BARREES / INONDES / SIGNALISATION /,45096,56, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,691,1464899940000
241,694,20160602000000.000,16h44,ATS,RD153, ,45064,Cernoy,route inondée entre la RD 51 et Cernoy Signalisation,route inondée en place., , , ,INONDES, , ,/ INONDES /   /,45064,153, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,694,1464899940000
242,696,20160602000000.000,16h44,ATS,RD921, ,45142,Fay-aux-Loges,sully la chapelle,route barrée :situation inchangée – situation inchangée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,696,1464899940000
243,699,20160602000000.000,16h44,ATS,RD940, ,45108,Coullons,la Californie,chaussée inondée. Route barrée :situation inchangée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45108,940, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,699,1464899940000
244,700,20160602000000.000,16h44,ATS,RD926, ,45040,Bonny,échangeur de Bonny,fermé :situation inchangée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45040,926, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,700,1464899940000
245,701,20160602000000.000,16h44,ATS,RD12, ,45173,Jargeau,Vienne en val,inondée .route barrée, , ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45173,12, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,701,1464899940000
246,702,20160602000000.000,16h44,ATS,RD9, ,45346,Vitry,fay,au gué girault inondation1/2 largeur de chaussée (balisage) :situation inchangée Traversée de Fay au loges barrée (le canal déborde), , ,ROUTES BARREES, ,BALISAGE, ,ROUTES BARREES /   / BALISAGE /,45346,9, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,702,1464899940000
247,703,20160602000000.000,16h44,ATS,RD60, ,45270,Saint Benoit,Saint Pére,inondée,route barrée :situation inchangée, ,ROUTES BARREES,INONDES, , ,ROUTES BARREES / INONDES /   /,45270,60, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,703,1464899940000
248,704,20160602000000.000,16h44,ATS,RD152, ,45064,Cernoy,Blancafort,signalisation route inondée :situation inchangée, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45064,152, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,704,1464899940000
249,705,20160602000000.000,16h44,ATS,RD921, ,45142,Fay-aux-Loges,giratoire usine d’embouteillage à Fay-aux-Loges,route barrée, , ,ROUTES BARREES, , , ,ROUTES BARREES /   /   /,45142,921, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,705,1464899940000
250,709,20160602000000.000,16h44,ATS,RD56, ,45096,les Choux,RD 2007 route inondée avec signalisation en place,Nouvelles zones inondées le 02 juin à 16h00, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45096,56, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,709,1464899940000
251,710,20160602000000.000,16h44,ATS,RD45, ,45245,Ouzouer sur Trézé,Nouvelles zones inondées le 02 juin à 16h00,Dammarie route inondée avec signalisation en place,RD47, , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45245,45, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,710,1464899940000
252,711,20160602000000.000,16h44,ATS,RD153, ,45251,Pierrefitte,Cernoy route inondée avec signalisation en place,Nouvelles zones inondées le 02 juin à 16h00, , , ,INONDES,SIGNALISATION, ,/ INONDES / SIGNALISATION /,45251,153, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,711,1464899940000
253,713,20160602000000.000,16h44,ATS,RD961, ,45039,Bonnée,Les Bordes,route inondée sur 1 m avec signalisation en place,route ouverte, , ,INONDES,SIGNALISATION,ROUTES OUVERTES,/ INONDES / SIGNALISATION / ROUTES OUVERTES,45039,961, , , , , , , , , , , , , , , , , , , , , ,20160602164400,1644,20160602,1464878640000,713,1464899940000
