"BP 2011"	"Fonctionnement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	942912	834610
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	0	0
"Reports"	"Résultat de Fonctionnement reporté "	0	108302
	"Total de la section Fonctionnement"	942912	942912
"BP 2011"	"Investissement"	"Dépenses"	"Recettes"
"Vote"	"Crédits de Fonctionnement  votés au titre du présent budget"	1039311	1105978
"Reports"	"Restes à réaliser (R.A.R.) de l'exercice précédent"	44506	0
"Reports"	"Solde d'exécution de la section Investissement reporté"	66667	0
	"Total de la section Investissement"	1150484	1150484
	"TOTAL DU BUDGET"	2093396	2093396
