objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
997,90001,ANDELNANS,2020/01/29 00:00:00+00, ,2279.24564803,680.92159193686
998,90010,BELFORT,2020/01/29 00:00:00+00, ,40598.79887289,4916.20135279063
999,90002,ARGIESANS,2020/01/29 00:00:00+00, ,8066.91513119,2257.63531670539
1000,90010,BELFORT,2020/01/29 00:00:00+00, ,10633.50193992,2015.94753954202
1001,90010,BELFORT,2020/01/29 00:00:00+00, ,2729.29902933,775.402417837882
1006,90010,BELFORT,2020/01/29 00:00:00+00, ,32.68353509,270.702894308863
1007,90001,ANDELNANS,2020/01/29 00:00:00+00, ,818.669719515,247.456526252366
1008,90010,BELFORT,2020/01/29 00:00:00+00, ,34951.38948688,7603.05267408679
1009,90001,ANDELNANS,2020/01/29 00:00:00+00, ,2407.39939951,430.271319662633
1010,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,2929.67178358,469.98218396872
1011,90072,MORVILLARS,2020/01/29 00:00:00+00, ,2392.522977,727.559007603604
1013,90010,BELFORT,2020/01/29 00:00:00+00, ,2111.705171915,455.162982907767
1015,90010,BELFORT,2020/01/29 00:00:00+00, ,1492.56411842,590.783313295281
1016,90026,CHEVREMONT,2020/01/29 00:00:00+00, ,2249.849553795,638.49358568423
1018,90010,BELFORT,2020/01/29 00:00:00+00, ,2501.57873125,594.573714297762
1019,90010,BELFORT,2020/01/29 00:00:00+00, ,4323.643020845,749.551047614494
1022,90010,BELFORT,2020/01/29 00:00:00+00, ,17361.351966775,2194.20038204888
1023,90010,BELFORT,2020/01/29 00:00:00+00, ,6664.5305529,1638.02705191501
1024,90021,CHARMOIS,2020/01/29 00:00:00+00, ,283.39543526,69.8765659772929
1025,90072,MORVILLARS,2020/01/29 00:00:00+00, ,370.99345856,74.2134121761364
1026,90010,BELFORT,2020/01/29 00:00:00+00, ,2083.18120477,455.311195094983
1027,90087,ROPPE,2020/01/29 00:00:00+00, ,2501.65888447,568.158086698629
1028,90008,BAVILLIERS,2020/01/29 00:00:00+00, ,15917.427917435,2022.27920819603
1030,90002,ARGIESANS,2020/01/29 00:00:00+00, ,7702.843988455,1181.97495255904
1032,90104,VEZELOIS,2020/01/29 00:00:00+00, ,1313.281846945,314.846334392802
1033,90010,BELFORT,2020/01/29 00:00:00+00, ,2150.80044854,462.138098887018
1034,90068,MEROUX,2020/01/29 00:00:00+00, ,8847.3902453,2059.09634271821
1035,90037,ELOIE,2020/01/29 00:00:00+00, ,2779.67042157,689.300450071737
