cell1,total
NAME,FRANCE_PROVENANCE_METROPOLE
Aquitaine,8255
Ile-de-France,7658
Poitou-Charentes,3276
Midi-Pyrénées,2449
Centre,1635
Pays de la Loire,1604
Provence-Alpes-Côte d'Azur,1402
Rhône-Alpes,1206
Bretagne,1173
Languedoc-Roussillon,911
