X,Y,objectid,commune,inseecom,date_maj,quartier,date_install,periodicite_ramassage,equipe,adresse,globalid
1990785.1744,7167906.6175,5029,Belfort,90010,1899/12/30 00:00:00+00,Miotte - Forges,1970/01/01 00:00:00+00,,,,{D99CD771-61C6-4043-982A-7DDB2CF4D59A}
1989637.2764,7167919.1122,5030,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{38199A79-AEEE-418D-AF7E-7FC848E4309B}
1989058.6715,7168162.8907,5031,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{456268F3-CC5C-46EC-8756-BC35B00AA835}
1989650.1547,7168185.0955,5032,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{429C0E4F-D085-4332-B59D-FCB83BC0F591}
1989370.7454,7168203.9362,5033,BELFORT,90010,2018/01/25 00:00:00+00,Vosges Jean JAURES,2018/01/25 00:00:00+00,,,,{32A49603-8E36-4B02-8D04-DCEA9A8EC0DA}
1989268.0165,7168233.8445,5034,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{AA2D89E1-1B63-4C10-8CC4-7BB014029284}
1989183.2499,7168314.8392,5035,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{EFFD6059-5884-4226-99C7-42975DFE70DC}
1989561.5319,7168367.3905,5036,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{CF0E3FA3-7C29-42E2-B4C4-CCED5803EFCD}
1988960.6069,7168432.5799,5037,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{59219F78-797D-4B21-887F-3EDFC4C006FA}
1989148.4278,7168541.7035,5038,Belfort,90010,2011/07/13 00:00:00+00,Vosges Jean JAURES,1970/01/01 00:00:00+00,, , ,{581CDA98-B49D-4992-9A6E-0973969EF2DE}
1990671.534,7168593.1899,5039,Belfort,90010,1899/12/30 00:00:00+00,Miotte - Forges,2015/06/03 00:00:00+00,,,,{16785AA3-00AE-493E-9D7F-8D045FEC5D5B}
1988900.7333,7168660.9601,5040,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,8 rue Paul Bert,{1B1E2F52-9CA9-41C4-A67C-CE13E906949F}
1988642.145,7168734.7601,5041,BELFORT,90010,1899/12/30 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,,,Face au 16 rue Ferrette,{9FFE62F5-82DC-458A-8503-794162C4CFAB}
1988920.8517,7168806.011,5042,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,Square Engel Angle 1ére Armée et JJaures,{FFF78B51-6993-402D-83FC-0C4A22A1E4F6}
1989020.524,7168920.4066,5043,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,Face au 1 rue Yser,{93258774-7333-4648-BA5A-CF3DA4D9A34D}
1988764.0692,7169022.1851,5045,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,222 Ave Jean Jaures,{ED5FB7A3-889F-468E-88AD-018BE0375E1A}
1988542.484,7169064.5986,5046,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,5 bis rue du Barcot,{47D62143-CEE7-49F8-816A-813DC78C9A6C}
1988072.0904,7169175.106,5047,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,30 rue Lebas,{AF1332FD-65C3-4474-84B3-EB2400AB416D}
1988979.606,7169293.6064,5048,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,10 rue Allende,{B7CF2709-0BB3-4CAF-868B-C9DC478F4D3F}
1988470.5115,7169201.9103,5049,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,46 Ave des Frères Lumière,{19F9BF4B-F6ED-4C1E-87A6-CB251653BF2A}
1988532.7827,7169385.0166,5050,BELFORT,90010,2011/07/13 00:00:00+00,Belfort Nord,1970/01/01 00:00:00+00,, ,Face au 23 rue du Salbert,{7A3564DA-3DB5-4EDD-98E1-7ADF850058BB}
1990166.9187,7165989.6735,5051,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{653835B4-1238-4AA1-9308-4949BAA5A63D}
1990282.5266,7166165.194,5052,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{683643B0-3D4F-49DE-A122-7949B3495276}
1990464.4415,7166192.4586,5053,Belfort,90010,1899/12/30 00:00:00+00,Les Glacis du Château,1970/01/01 00:00:00+00,,,,{56F69100-0060-4978-B77D-56137D8BFE41}
1990130.065,7166277.7974,5054,BELFORT,90010,2015/05/18 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,,,,{5B4299E9-9E5E-4C5F-BCC0-DA1B50B2876B}
1990041.5101,7166306.8869,5055,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{28F3BEF8-E721-47A2-91E8-3B6C4794BAAF}
1989640.1693,7166314.7788,5056,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{837169DC-40B2-41DC-B733-9517018F095D}
1989925.0824,7166338.039,5057,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{9E9F50FF-40B0-4626-AD8F-D9B2A5E556E7}
1990071.9564,7166370.0904,5058,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{81907BBC-0D2F-4852-A1CC-42AF09B789E5}
1989730.9611,7166425.8452,5059,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{9E33B33D-302E-46CC-8E36-F344A60A703B}
1989651.1804,7166565.048,5060,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{4659AB13-11FC-45B5-8CDA-E4ED0C2863EF}
1989907.136,7166580.5048,5061,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{E7A64906-53BA-4631-8E1D-28B4D444175B}
1989761.1534,7166630.2239,5062,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{B9C63F23-0E34-4219-8820-CBFC855D7634}
1989990.7644,7166669.0069,5063,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{92455F29-9A68-4B73-903F-523B6F7233E7}
1989876.2554,7166738.5106,5064,Belfort,90010,2011/07/13 00:00:00+00,Centre Ville Fbg de Montbéliard,1970/01/01 00:00:00+00,, , ,{F47AA8BE-289A-4E88-B969-CBAAF569EFF0}
1989910.7656,7166881.3972,5065,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{ED727190-D827-4794-AB44-B8B5AFA42092}
1990291.4604,7166994.0234,5066,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{36D6A86A-865B-4999-838E-5959CAD1AD87}
1990389.9997,7167060.2554,5067,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{7ABFB9BB-7599-4FE2-BC7C-5511EBAB7FF2}
1989814.049,7167071.2664,5068,Belfort,90010,2011/07/13 00:00:00+00,Vieille Ville Fourneau,1970/01/01 00:00:00+00,, , ,{03E8153A-FE1C-4264-95A7-8B62FFB0A4E1}
1989266.3667,7165158.6693,5069,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{0ED3C0DE-9145-48B6-9941-1631F2810EAC}
1989237.561,7165391.7475,5070,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{28CAD99B-272D-4F6C-990B-A54BD1FD43A5}
1989179.3209,7165657.0811,5071,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{5FD4008A-7E41-47DA-B2A7-CEFBE99640AA}
1989516.5987,7165748.773,5072,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{3641B37D-0D85-41F9-9622-ECA94AAB9764}
1989085.2237,7165817.8729,5073,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{FE803918-DE64-4C88-9DE1-0B4F4C523909}
1989481.3109,7165977.2072,5074,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{D621617C-CC2C-4061-A13D-84B068E4D607}
1989425.6472,7166064.3931,5075,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{547C4979-2D6A-4EF8-876A-A1D617D6DCE5}
1988535.2128,7166154.4316,5076,,,1970/01/01 00:00:00+00,Résidences La Douce,1970/01/01 00:00:00+00,,,,{E09024CE-E481-4AC4-9D97-FA7D83E0CB44}
1988275.8824,7166344.9447,5077,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{055F8829-CC09-4109-AF43-7803838263B0}
1989366.2942,7166416.9822,5078,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{EB70B376-78AB-4F69-B3F5-E2B485EDA3E2}
1987928.4329,7166423.264,5079,,,1970/01/01 00:00:00+00,Résidences La Douce,1970/01/01 00:00:00+00,,,,{D137AB25-B753-4725-BF02-EC754CC7ECEB}
1988514.052,7166458.7527,5080,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{7CE37BF7-649D-4A36-AD96-D3091796BC9F}
1989362.4471,7166528.3371,5081,Belfort,90010,2011/07/13 00:00:00+00,La Pépinière,1970/01/01 00:00:00+00,, , ,{BB0A5286-DB1C-4FF6-9C19-59E15DEC0531}
1988764.8716,7166534.9032,5082,,,1970/01/01 00:00:00+00,Résidences Bellevue,1970/01/01 00:00:00+00,,,,{59396A68-022E-4870-AFEB-7707065F3B77}
