date;total_vaccines
2021-01-11;138477
2021-01-12;189834
2021-01-13;247166
2021-01-14;318216
2021-01-15;388730
2021-01-16;413046
2021-01-17;422127
2021-01-18;479873
2021-01-19;585664
2021-01-20;692777
2021-01-21;823567
2021-01-22;963139
2021-01-23;1008720
2021-01-24;1026871
2021-01-25;1092958
2021-01-26;1184510
