id_ceau,id_cer,type_ceau,obj_assi,classe1,classe2,delimit,est_corrid,est_reserv,commentair,long_m
FR32HL773,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",711
FR32HL555,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4987
FR32HL556,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2757
FR32HL557,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",44047
FR32HL558,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2668
FR32HL544,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",26662
FR32HL547,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2434
FR32HL548,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",16122
FR32HL549,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",6303
FR32HL550,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3146
FR32HL551,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1477
FR32HL559,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",11172
FR32HL560,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3415
FR32HL561,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4647
FR32HL562,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",8481
FR32HL901,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",69
FR32HL563,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",15790
FR32HL564,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",7760
FR32HL1037,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",317
FR32HL566,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",7584
FR32HL567,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",7176
FR32HL568,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3430
FR32HL569,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2362
FR32HL570,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2002
FR32HL571,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5031
FR32HL977,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",755
FR32HL638,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",503
FR32HL572,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5628
FR32HL573,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",6466
FR32HL574,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5581
FR32HL575,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5195
FR32HL583,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",9441
FR32HL576,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5800
FR32HL577,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1739
FR32HL578,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1498
FR32HL579,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1450
FR32HL580,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",10577
FR32HL581,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1556
FR32HL582,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2158
FR32HL584,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",21396
FR32HL862,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1362
FR32HL585,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",8329
FR32HL586,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4232
FR32HL587,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4331
FR32HL588,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",14614
FR32HL589,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4474
FR32HL590,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2013
FR32HL591,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1505
FR32HL592,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1458
FR32HL593,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3030
FR32HL594,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",11272
FR32HL595,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",19254
FR32HL596,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3326
FR32HL639,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",478
FR32HL664,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",971
FR32HL597,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3373
FR32HL598,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",1313
FR32HL600,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",2321
FR32HL601,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",4856
FR32HL613,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",7248
FR32HL640,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",3185
FR32HL1061,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",215
FR32HL605,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",13459
FR32HL614,FR32CER2020,,,,T,,,T,"Cours d'eau, parties de cours d'eau ou canaux figurant sur la liste 2 établie en application de l'article L-214-17",5147
