Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Emploi et Travail",58499,113772,1.94,428.12
"Etat et collectivites territoriales",52973,126025,2.38,515.41
"Sante et Affaires sociales",50350,107107,2.13,497.55
"Jeunesse et Education",34292,76304,2.23,508.86
Economie,23477,56026,2.39,501.87
"Societe et Politique de la ville",20959,51265,2.45,571.57
"Securite et Justice",15640,43242,2.76,505.60
"Agriculture et Developpement durable",12012,36458,3.04,510.52
"Europe et Monde",2214,11257,5.08,464.54
