"Période début","Période fin","Identité ","Étiquette ","Qualité"
1792,1793,"Barthélémy Descat ","N.C.","N.C."
1793,1794,"Jean Descaq ","N.C.","N.C."
1794,1795,"Antoine Des Enfants ","N.C.","N.C."
1795,1797,"Mathieu Cassaigne ","N.C.","N.C."
1797,1799,"Antoine Des Enfants ","N.C.","N.C."
1799,1800,"Jean Descaq ","N.C.","N.C."
1800,1807,"Jean Sorbet ","N.C.","N.C."
1807,1813,"Barthélémy Descat ","N.C.","N.C."
1813,1816,"Joseph Glize ","N.C.","N.C."
1816,1819,"Barthélémy Descat ","N.C.","N.C."
1819,1831,"Jean-Marie Daon ","N.C.","N.C."
1831,1835,"Malabat Carrot ","N.C.","N.C."
1835,1840,"Pierre Cassaigne ","N.C.","N.C."
1840,1843,"Adolphe Larreillet ","N.C.","Fondateur et maître des forges de Brocas."
1843,1856,"Pierre Cassaigne ","N.C.","N.C."
1856,1884,"Jean Aîné Tinarrage ","N.C.","N.C."
1884,1888,"Thomas Tinarrage ","N.C.","N.C."
1888,1894,"Émile Dallier ","N.C.","N.C."
1894,1902,"Thomas Tinarrage ","N.C.","N.C."
1902,1908,"Gaston Tinarrage ","N.C.","N.C."
1908,1910,"Thomas Tinarrage ","N.C.","N.C."
1910,1912,"Étienne Parlarrieu ","N.C.","N.C."
1912,1914,"Robert Bézos ","N.C.","Député"
1914,1916,"Félix Saubesty ","N.C.","Adjoint remplaçant Robert Bézos, mobilisé"
1916,1919,"Julien Claye ","N.C.","Conseiller municipal faisant office de maire"
1919,1945,"Robert Bézos ","N.C.","Député"
1945,1947,"Camille Lugardon ","PRRRS ","Conseiller général"
1947,1948,"Robert Bézos ","N.C.","Député"
1948,1987,"Camille Lugardon","PRRRS","Conseiller général"
1987,2000,"Michel Simon","N.C.","N.C."
2000,2008,"Jean-Louis Maisonnave","N.C.","N.C."
"mai 2008","août 2010","Michel Fourcade","N.C.","(décédé le 29 août 2010"
"novembre 2010","en cours","Jean-Luc Blanc-Simon","N.C.","N.C."
