% Requête :select s.senmat as "Matricule", s.quacod as "Qualité", s.sennomuse as "Nom usuel", s.senprenomuse as "Prénom usuel", s.etasencod as "État Sénateur",
% c.COMLIBAMELI as "Nom commission", typ.TYPORGLIB as "Type commission", mc.MEMCOMID as "Id d'appartenance",  mc.MEMCOMDATDEB as "Début d'appartenance", mc.memcomdatfin as "Fin d'appartenance",
% fmc.FONMEMCOMID as "Id de fonction",
% fmc.FONMEMCOMDATDEB as "Début de fonction", fmc.FONMEMCOMDATFIN as "Fin de fonction",
% fc.FONCOMLIB as "Fonction"
% from senateurs.sen s
% inner join senateurs.memcom mc ON s.senmat = mc.senmat
% inner join senateurs.com c on mc.ORGCOD = c.ORGCOD
% inner join senateurs.fonmemcom fmc on mc.MEMCOMID = fmc.memcomid
% inner join senateurs.foncom fc on fmc.FONCOMCOD = fc.FONCOMCOD
% inner join senateurs.typorg typ on c.TYPORGCOD = typ.TYPORGCOD
% where s.etasencod in ('ACTIF', 'ANCIEN') 
% and c.EVETEMPUB = 'OUI'
% and mc.EVETEMPUB = 'OUI'
% and fmc.EVETEMPUB = 'OUI'
% order by s.sennomuse, s.senprenomuse, s.senmat, mc.MEMCOMDATDEB, fmc.fonmemcomdatdeb
% Aucun paramètre
% 14723 ligne(s) de résultat
Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Nom commission,Type commission,Id d'appartenance,Début d'appartenance,Fin d'appartenance,Id de fonction,Début de fonction,Fin de fonction,Fonction
19733B,Mme,Bories,Pascale,ANCIEN,commission de l'aménagement du territoire et du développement durable,Commission permanente,13379,2017-10-05 00:00:00.0,2020-06-17 00:00:00.0,16136,2017-10-05 00:00:00.0,2019-01-15 00:00:00.0,Secrétaire
19733B,Mme,Bories,Pascale,ANCIEN,commission de l'aménagement du territoire et du développement durable,Commission permanente,13379,2017-10-05 00:00:00.0,2020-06-17 00:00:00.0,17564,2019-01-16 00:00:00.0,2020-06-17 00:00:00.0,Vice-Président
19733B,Mme,Bories,Pascale,ANCIEN,ENVIRONNEMEN,Commission mixte paritaire,13586,2017-10-31 00:00:00.0,2017-12-21 00:00:00.0,16265,2017-10-31 00:00:00.0,2017-12-21 00:00:00.0," "
19733B,Mme,Bories,Pascale,ANCIEN,PACTE,Commission mixte paritaire,14215,2018-06-07 00:00:00.0,2018-06-12 00:00:00.0,16946,2018-06-07 00:00:00.0,2018-06-12 00:00:00.0," "
19733B,Mme,Bories,Pascale,ANCIEN,MI sur l'indemnisation des risques climatiques,"Mission commune d'information ",14696,2019-01-16 00:00:00.0,2019-07-12 00:00:00.0,17508,2019-01-16 00:00:00.0,2019-01-21 00:00:00.0," "
19733B,Mme,Bories,Pascale,ANCIEN,MI sur l'indemnisation des risques climatiques,"Mission commune d'information ",14696,2019-01-16 00:00:00.0,2019-07-12 00:00:00.0,17964,2019-01-22 00:00:00.0,2019-07-12 00:00:00.0,Vice-Président
19733B,Mme,Bories,Pascale,ANCIEN,CLIMAT,Commission mixte paritaire,15143,2019-07-17 00:00:00.0,2019-07-26 00:00:00.0,18021,2019-07-17 00:00:00.0,2019-07-26 00:00:00.0," "
19733B,Mme,Bories,Pascale,ANCIEN,Commission d'enquête sur l'incendie de l'usine Lubrizol,Commission d'enquête,15252,2019-10-16 00:00:00.0,2020-06-17 00:00:00.0,18132,2019-10-16 00:00:00.0,2020-06-17 00:00:00.0," "
92013M,M.,Borotra,Didier,ANCIEN,commission des affaires étrangères,Commission permanente,206,,2011-09-30 00:00:00.0,206,2001-10-03 00:00:00.0,2011-09-30 00:00:00.0," "
92013M,M.,Borotra,Didier,ANCIEN,commission des affaires étrangères,Commission permanente,206,,2011-09-30 00:00:00.0,1218,,2001-10-03 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des lois,Commission permanente,496,2000-04-04 00:00:00.0,2012-09-19 00:00:00.0,600,2000-04-04 00:00:00.0,2001-10-03 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des lois,Commission permanente,496,2000-04-04 00:00:00.0,2012-09-19 00:00:00.0,957,2001-10-03 00:00:00.0,2004-10-06 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des lois,Commission permanente,496,2000-04-04 00:00:00.0,2012-09-19 00:00:00.0,3540,2004-10-07 00:00:00.0,2008-10-06 00:00:00.0,Vice-Président
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des lois,Commission permanente,496,2000-04-04 00:00:00.0,2012-09-19 00:00:00.0,5144,2008-10-07 00:00:00.0,2011-09-30 00:00:00.0,Vice-Président
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des lois,Commission permanente,496,2000-04-04 00:00:00.0,2012-09-19 00:00:00.0,9740,2011-10-01 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,2194,2004-01-23 00:00:00.0,2012-09-19 00:00:00.0,2991,2004-01-23 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,3035,2005-11-04 00:00:00.0,2012-09-19 00:00:00.0,3943,2005-11-04 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,3273,2006-04-05 00:00:00.0,2006-04-11 00:00:00.0,4192,2006-04-05 00:00:00.0,2006-04-11 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,3561,2007-02-07 00:00:00.0,2007-02-16 00:00:00.0,4479,2007-02-07 00:00:00.0,2007-02-16 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,3575,2007-02-12 00:00:00.0,2007-02-16 00:00:00.0,4493,2007-02-12 00:00:00.0,2007-02-16 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,3701,2007-07-19 00:00:00.0,2012-09-19 00:00:00.0,4617,2007-07-19 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,"Mission commune d'information ""Outre-mer""","Mission commune d'information ",6638,2009-03-05 00:00:00.0,2009-07-07 00:00:00.0,8068,2009-03-05 00:00:00.0,2009-07-07 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,6923,2009-09-29 00:00:00.0,2012-09-19 00:00:00.0,8368,2009-09-29 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7196,2010-02-18 00:00:00.0,2012-09-19 00:00:00.0,8667,2010-02-18 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7243,2010-03-31 00:00:00.0,2012-09-19 00:00:00.0,8715,2010-03-31 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7286,2010-04-08 00:00:00.0,2012-09-19 00:00:00.0,8770,2010-04-08 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7314,2010-06-02 00:00:00.0,2012-09-19 00:00:00.0,8808,2010-06-02 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7406,2010-10-06 00:00:00.0,2012-09-19 00:00:00.0,8906,2010-10-06 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7741,2011-02-10 00:00:00.0,2012-09-19 00:00:00.0,9244,2011-02-10 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7727,2011-02-10 00:00:00.0,2012-09-19 00:00:00.0,9230,2011-02-10 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7865,2011-06-28 00:00:00.0,2012-09-19 00:00:00.0,9368,2011-06-28 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7893,2011-06-29 00:00:00.0,2012-09-19 00:00:00.0,9405,2011-06-29 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7907,2011-06-30 00:00:00.0,2012-09-19 00:00:00.0,9419,2011-06-30 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7921,2011-07-01 00:00:00.0,2012-09-19 00:00:00.0,9433,2011-07-01 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,7948,2011-07-05 00:00:00.0,2012-09-19 00:00:00.0,9460,2011-07-05 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,Commission sénatoriale pour le contrôle de l'application des lois,Commission en charge de l'application des lois,8329,2011-11-30 00:00:00.0,2012-09-19 00:00:00.0,9984,2011-11-30 00:00:00.0,2011-12-05 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,Commission sénatoriale pour le contrôle de l'application des lois,Commission en charge de l'application des lois,8329,2011-11-30 00:00:00.0,2012-09-19 00:00:00.0,10003,2011-12-06 00:00:00.0,2012-09-19 00:00:00.0,Vice-Président
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,8457,2012-01-12 00:00:00.0,2012-09-19 00:00:00.0,10103,2012-01-12 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,8545,2012-02-08 00:00:00.0,2012-09-19 00:00:00.0,10192,2012-02-08 00:00:00.0,2012-09-19 00:00:00.0,Rapporteur
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,8764,2012-02-15 00:00:00.0,2012-09-19 00:00:00.0,10411,2012-02-15 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,,Commission mixte paritaire,8429,2012-12-21 00:00:00.0,2012-09-19 00:00:00.0,10075,2012-12-21 00:00:00.0,2012-09-19 00:00:00.0," "
95011X,Mme,Borvo Cohen-Seat,Nicole,ANCIEN,commission des affaires sociales,Commission permanente,183,,2000-04-04 00:00:00.0,183,,2000-04-04 00:00:00.0," "
000099,M.,Boscary-Monsservin,Roland,ANCIEN,commission des finances,Commission permanente,1341,,1980-10-01 00:00:00.0,1888,,1980-10-01 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,Aucune (Président du Sénat),Commission permanente,9935,2014-05-09 00:00:00.0,2014-05-12 00:00:00.0,11753,2014-05-09 00:00:00.0,2014-05-12 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,commission de l'aménagement du territoire et du développement durable,Commission permanente,9939,2014-05-13 00:00:00.0,2014-10-07 00:00:00.0,11757,2014-05-13 00:00:00.0,2014-10-07 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,commission des affaires économiques,Commission permanente,10158,2014-10-08 00:00:00.0,2017-06-17 00:00:00.0,11990,2014-10-08 00:00:00.0,2017-06-17 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,"Commission spéciale sur le projet de loi pour la croissance, l'activité et l'égalité des chances économiques",Commission spéciale,10756,2015-01-15 00:00:00.0,2015-03-25 00:00:00.0,12808,2015-01-15 00:00:00.0,2015-03-25 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,,Commission mixte paritaire,11322,2015-03-10 00:00:00.0,2017-06-17 00:00:00.0,13425,2015-03-10 00:00:00.0,2017-06-17 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,,Commission mixte paritaire,11431,2015-06-02 00:00:00.0,2017-06-17 00:00:00.0,13560,2015-06-02 00:00:00.0,2017-06-17 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,CCI,Commission mixte paritaire,11925,2016-02-10 00:00:00.0,2017-06-17 00:00:00.0,14072,2016-02-10 00:00:00.0,2017-06-17 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,REPUBLIQUE,Commission mixte paritaire,12308,2016-06-01 00:00:00.0,2016-06-29 00:00:00.0,14479,2016-06-01 00:00:00.0,2016-06-29 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,Mission d'information sur l'inventaire et devenir des matériaux et composants des téléphones mobiles,"Mission commune d'information ",12411,2016-06-22 00:00:00.0,2016-09-30 00:00:00.0,14583,2016-06-22 00:00:00.0,2016-09-30 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,CONSOMMATION,Commission mixte paritaire,12868,2017-01-12 00:00:00.0,2017-01-18 00:00:00.0,15096,2017-01-12 00:00:00.0,2017-01-18 00:00:00.0," "
14013P,M.,Bosino,Jean-Pierre,ANCIEN,ENERGIE,Commission mixte paritaire,12930,2017-01-26 00:00:00.0,2017-02-07 00:00:00.0,15159,2017-01-26 00:00:00.0,2017-02-07 00:00:00.0," "
58654V,M.,Bosson,Charles,ANCIEN,commission des affaires étrangères,Commission permanente,1477,,1986-10-01 00:00:00.0,2067,,1986-10-01 00:00:00.0," "
000081,M.,Bossus,Raymond,ANCIEN,commission des affaires sociales,Commission permanente,1030,,1969-06-25 00:00:00.0,1577,,1969-06-25 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,Aucune (Président du Sénat),Commission permanente,4254,2008-10-01 00:00:00.0,2008-10-06 00:00:00.0,5173,2008-10-01 00:00:00.0,2008-10-06 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,commission de l'économie,Commission permanente,4128,2008-10-07 00:00:00.0,2011-09-30 00:00:00.0,5044,2008-10-07 00:00:00.0,2011-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,6579,2009-02-27 00:00:00.0,2020-09-30 00:00:00.0,8011,2009-02-27 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,7100,2009-12-17 00:00:00.0,2020-09-30 00:00:00.0,8548,2009-12-17 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,7375,2010-07-06 00:00:00.0,2020-09-30 00:00:00.0,8875,2010-07-06 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,commission des finances,Commission permanente,8201,2011-10-01 00:00:00.0,2020-09-30 00:00:00.0,9756,2011-10-01 00:00:00.0,2017-10-03 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,commission des finances,Commission permanente,8201,2011-10-01 00:00:00.0,2020-09-30 00:00:00.0,15860,2017-10-04 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,Mission commune d'information portant sur les pesticides et leur impact sur l'environnement et la santé,"Mission commune d'information ",8611,2012-02-15 00:00:00.0,2013-01-08 00:00:00.0,10254,2012-02-15 00:00:00.0,2013-01-08 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,9026,2012-11-27 00:00:00.0,2020-09-30 00:00:00.0,10739,2012-11-27 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,9039,2012-11-29 00:00:00.0,2020-09-30 00:00:00.0,10752,2012-11-29 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,9055,2012-12-13 00:00:00.0,2020-09-30 00:00:00.0,10768,2012-12-13 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,commission des affaires européennes,Commission européenne,9120,2013-02-05 00:00:00.0,2020-09-30 00:00:00.0,10833,2013-02-05 00:00:00.0,2014-10-08 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,commission des affaires européennes,Commission européenne,9120,2013-02-05 00:00:00.0,2020-09-30 00:00:00.0,16164,2017-10-05 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,9827,2013-12-09 00:00:00.0,2020-09-30 00:00:00.0,11622,2013-12-09 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,10532,2014-07-08 00:00:00.0,2020-09-30 00:00:00.0,12584,2014-07-08 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,10601,2014-07-16 00:00:00.0,2020-09-30 00:00:00.0,12653,2014-07-16 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,"Commission spéciale Délimitation des régions, élections régionales et départementales et calendrier électoral",Commission spéciale,10253,2014-10-09 00:00:00.0,2015-01-17 00:00:00.0,12278,2014-10-09 00:00:00.0,2015-01-17 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,10686,2014-11-19 00:00:00.0,2020-09-30 00:00:00.0,12738,2014-11-19 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,10743,2014-12-12 00:00:00.0,2020-09-30 00:00:00.0,12795,2014-12-12 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,10886,2015-01-14 00:00:00.0,2020-09-30 00:00:00.0,12941,2015-01-14 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,,Commission mixte paritaire,11811,2015-11-19 00:00:00.0,2020-09-30 00:00:00.0,13955,2015-11-19 00:00:00.0,2020-09-30 00:00:00.0," "
08014Q,M.,Botrel,Yannick,ANCIEN,MI sous-utilisation fonds européens en France,"Mission commune d'information ",14923,2019-05-22 00:00:00.0,2019-10-04 00:00:00.0,17761,2019-05-22 00:00:00.0,2019-10-04 00:00:00.0," "
20088L,M.,Bouad,Denis,ACTIF,Aucune (Président du Sénat),Commission permanente,15918,2020-10-01 00:00:00.0,2020-10-05 00:00:00.0,18893,2020-10-01 00:00:00.0,2020-10-05 00:00:00.0," "
20088L,M.,Bouad,Denis,ACTIF,commission des affaires économiques,Commission permanente,15982,2020-10-06 00:00:00.0,,19040,2020-10-06 00:00:00.0,," "
11060J,Mme,Bouchart,Natacha,ANCIEN,Mission commune d'information sur la réforme des rythmes scolaires,"Mission commune d'information ",9510,2013-10-15 00:00:00.0,2014-09-30 00:00:00.0,11405,2013-10-15 00:00:00.0,2014-09-30 00:00:00.0," "
11060J,Mme,Bouchart,Natacha,ANCIEN,Mission commune d'information sur l'accès aux documents administratifs et aux données publiques,"Mission commune d'information ",9761,2013-12-10 00:00:00.0,2014-09-30 00:00:00.0,11537,2013-12-10 00:00:00.0,2014-09-30 00:00:00.0," "
11060J,Mme,Bouchart,Natacha,ANCIEN,commission de l'aménagement du territoire et du développement durable,Commission permanente,10205,2014-10-09 00:00:00.0,2016-01-11 00:00:00.0,12037,2014-10-08 00:00:00.0,2014-10-08 00:00:00.0," "
11060J,Mme,Bouchart,Natacha,ANCIEN,commission de l'aménagement du territoire et du développement durable,Commission permanente,10205,2014-10-09 00:00:00.0,2016-01-11 00:00:00.0,12210,2014-10-09 00:00:00.0,2016-01-11 00:00:00.0,Secrétaire
11060J,Mme,Bouchart,Natacha,ANCIEN,Mission commune d'information sur la commande publique,"Mission commune d'information ",11370,2015-04-08 00:00:00.0,2015-10-14 00:00:00.0,13482,2015-04-08 00:00:00.0,2015-10-14 00:00:00.0," "
11060J,Mme,Bouchart,Natacha,ANCIEN,Commission d'enquête sur les autorités administratives indépendantes,Commission d'enquête,11394,2015-05-06 00:00:00.0,2016-01-11 00:00:00.0,13505,2015-05-06 00:00:00.0,2016-01-11 00:00:00.0," "
58620K,M.,Boucheny,Serge,ANCIEN,commission des affaires étrangères,Commission permanente,1478,1969-06-26 00:00:00.0,1986-10-01 00:00:00.0,2820,1969-06-26 00:00:00.0,1971-10-06 00:00:00.0," "
58620K,M.,Boucheny,Serge,ANCIEN,commission des affaires étrangères,Commission permanente,1478,1969-06-26 00:00:00.0,1986-10-01 00:00:00.0,2068,1971-10-06 00:00:00.0,1986-10-01 00:00:00.0,Secrétaire
000718,M.,Boucher,Albert,ANCIEN,commission de l'économie,Commission permanente,1376,,1965-03-02 00:00:00.0,1923,,1965-03-02 00:00:00.0," "
14105F,M.,Bouchet,Gilbert,ACTIF,Aucune (Président du Sénat),Commission permanente,10004,2014-10-01 00:00:00.0,2014-10-07 00:00:00.0,11836,2014-10-01 00:00:00.0,2014-10-07 00:00:00.0," "
14105F,M.,Bouchet,Gilbert,ACTIF,commission de la culture,Commission permanente,10182,2014-10-08 00:00:00.0,2017-10-03 00:00:00.0,12014,2014-10-08 00:00:00.0,2017-10-03 00:00:00.0," "
14105F,M.,Bouchet,Gilbert,ACTIF,,Commission mixte paritaire,11639,2015-09-08 00:00:00.0,,13783,2015-09-08 00:00:00.0,," "
14105F,M.,Bouchet,Gilbert,ACTIF,commission des affaires étrangères,Commission permanente,13446,2017-10-04 00:00:00.0,,15896,2017-10-04 00:00:00.0,," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission sénatoriale pour le contrôle de l'application des lois,Commission en charge de l'application des lois,8330,2011-11-30 00:00:00.0,2014-09-30 00:00:00.0,9955,2011-11-30 00:00:00.0,2011-12-05 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission sénatoriale pour le contrôle de l'application des lois,Commission en charge de l'application des lois,8330,2011-11-30 00:00:00.0,2014-09-30 00:00:00.0,10005,2011-12-06 00:00:00.0,2014-09-30 00:00:00.0,Secrétaire
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur l'évasion des capitaux et des actifs hors de France et ses incidences fiscales,Commission d'enquête,8468,2012-02-01 00:00:00.0,2012-07-17 00:00:00.0,10114,2012-02-01 00:00:00.0,2012-02-06 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur l'évasion des capitaux et des actifs hors de France et ses incidences fiscales,Commission d'enquête,8468,2012-02-01 00:00:00.0,2012-07-17 00:00:00.0,10176,2012-02-07 00:00:00.0,2012-07-17 00:00:00.0,Vice-Président
11029K,Mme,Bouchoux,Corinne,ANCIEN,,Commission mixte paritaire,8768,2012-02-15 00:00:00.0,2017-10-01 00:00:00.0,10415,2012-02-15 00:00:00.0,2017-10-01 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,commission de la culture,Commission permanente,8836,2012-07-03 00:00:00.0,2017-10-01 00:00:00.0,10532,2012-07-03 00:00:00.0,2014-10-08 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,commission de la culture,Commission permanente,8836,2012-07-03 00:00:00.0,2017-10-01 00:00:00.0,12243,2014-10-09 00:00:00.0,2017-10-01 00:00:00.0,Vice-Président
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission commune d'information sur l'action extérieure de la France en matière de recherche pour le développement,"Mission commune d'information ",9218,2013-03-13 00:00:00.0,2013-10-17 00:00:00.0,10929,2013-03-13 00:00:00.0,2013-10-17 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur le rôle des banques et acteurs financiers dans l'évasion des ressources financières,Commission d'enquête,9327,2013-04-23 00:00:00.0,2013-10-17 00:00:00.0,11039,2013-04-23 00:00:00.0,2013-05-13 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur le rôle des banques et acteurs financiers dans l'évasion des ressources financières,Commission d'enquête,9327,2013-04-23 00:00:00.0,2013-10-17 00:00:00.0,11087,2013-05-14 00:00:00.0,2013-10-17 00:00:00.0,Vice-Président
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission commune d'information sur le sport professionnel et les collectivités territoriales,"Mission commune d'information ",9368,2013-10-02 00:00:00.0,2014-05-01 00:00:00.0,11124,2013-10-02 00:00:00.0,2013-10-15 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission commune d'information sur le sport professionnel et les collectivités territoriales,"Mission commune d'information ",9368,2013-10-02 00:00:00.0,2014-05-01 00:00:00.0,11300,2013-10-16 00:00:00.0,2014-05-01 00:00:00.0,Vice-Président
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission commune d'information sur l'accès aux documents administratifs et aux données publiques,"Mission commune d'information ",9798,2013-12-10 00:00:00.0,2014-09-30 00:00:00.0,11574,2013-12-10 00:00:00.0,2013-12-17 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission commune d'information sur l'accès aux documents administratifs et aux données publiques,"Mission commune d'information ",9798,2013-12-10 00:00:00.0,2014-09-30 00:00:00.0,11591,2013-12-18 00:00:00.0,2014-09-30 00:00:00.0,Rapporteur
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur la réalité du détournement du crédit d'impôt recherche,Commission d'enquête,10308,2014-12-10 00:00:00.0,2015-06-09 00:00:00.0,12361,2014-12-10 00:00:00.0,2015-01-14 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Commission d'enquête sur la réalité du détournement du crédit d'impôt recherche,Commission d'enquête,10308,2014-12-10 00:00:00.0,2015-06-09 00:00:00.0,12961,2015-01-15 00:00:00.0,2015-06-09 00:00:00.0,Vice-Président
11029K,Mme,Bouchoux,Corinne,ANCIEN,"Commission spéciale chargée du contrôle des comptes et de l'évaluation interne ",Commission spéciale chargée du contrôle des comptes et de l'évaluation interne,12091,2016-04-07 00:00:00.0,2016-05-12 00:00:00.0,14238,2016-04-07 00:00:00.0,2016-05-12 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,Mission d'information sur l'inventaire et devenir des matériaux et composants des téléphones mobiles,"Mission commune d'information ",12412,2016-06-22 00:00:00.0,2016-09-30 00:00:00.0,14584,2016-06-22 00:00:00.0,2016-09-30 00:00:00.0," "
11029K,Mme,Bouchoux,Corinne,ANCIEN,"MI Démocratie représentative, participative, paritaire","Mission commune d'information ",12736,2016-11-22 00:00:00.0,2017-06-12 00:00:00.0,14940,2016-11-22 00:00:00.0,2017-06-12 00:00:00.0," "
000028,M.,Boukikaz,Ahmed,ANCIEN,commission des affaires sociales,Commission permanente,1031,,1962-07-04 00:00:00.0,1578,,1962-07-04 00:00:00.0," "
000328,M.,Boulangé,Marcel,ANCIEN,commission des affaires étrangères,Commission permanente,1032,,1971-10-01 00:00:00.0,1579,,1971-10-01 00:00:00.0," "
000316,M.,Boulanger,Georges,ANCIEN,commission des lois,Commission permanente,1033,1959-05-06 00:00:00.0,1965-10-05 00:00:00.0,1580,1959-10-08 00:00:00.0,1965-10-01 00:00:00.0,Secrétaire
