% Requête :select s.senmat as "Matricule", s.quacod as "Qualité", s.sennomuse as "Nom usuel", s.senprenomuse as "Prénom usuel", s.etasencod as "État Sénateur",
% c.COMLIBAMELI as "Nom commission", typ.TYPORGLIB as "Type commission", mc.MEMCOMID as "Id d'appartenance",  mc.MEMCOMDATDEB as "Début d'appartenance", mc.memcomdatfin as "Fin d'appartenance",
% fmc.FONMEMCOMID as "Id de fonction",
% fmc.FONMEMCOMDATDEB as "Début de fonction", fmc.FONMEMCOMDATFIN as "Fin de fonction",
% fc.FONCOMLIB as "Fonction"
% from senateurs.sen s
% inner join senateurs.memcom mc ON s.senmat = mc.senmat
% inner join senateurs.com c on mc.ORGCOD = c.ORGCOD
% inner join senateurs.fonmemcom fmc on mc.MEMCOMID = fmc.memcomid
% inner join senateurs.foncom fc on fmc.FONCOMCOD = fc.FONCOMCOD
% inner join senateurs.typorg typ on c.TYPORGCOD = typ.TYPORGCOD
% where s.etasencod in ('ACTIF', 'ANCIEN') 
% and c.EVETEMPUB = 'OUI'
% and mc.EVETEMPUB = 'OUI'
% and fmc.EVETEMPUB = 'OUI'
% order by s.sennomuse, s.senprenomuse, s.senmat, mc.MEMCOMDATDEB, fmc.fonmemcomdatdeb
% Aucun paramètre
% 14723 ligne(s) de résultat
Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Nom commission,Type commission,Id d'appartenance,Début d'appartenance,Fin d'appartenance,Id de fonction,Début de fonction,Fin de fonction,Fonction
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,2790,2005-01-19 00:00:00.0,2011-01-23 00:00:00.0,3700,2005-01-19 00:00:00.0,2011-01-23 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,2858,2005-05-04 00:00:00.0,2011-01-23 00:00:00.0,3769,2005-05-04 00:00:00.0,2011-01-23 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,2888,2005-06-29 00:00:00.0,2011-01-23 00:00:00.0,3799,2005-06-29 00:00:00.0,2011-01-23 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,2930,2005-07-07 00:00:00.0,2011-01-23 00:00:00.0,3841,2005-07-07 00:00:00.0,2011-01-23 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3046,2005-11-18 00:00:00.0,2011-01-23 00:00:00.0,3956,2005-11-18 00:00:00.0,2011-01-23 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3166,2006-01-19 00:00:00.0,2011-01-23 00:00:00.0,4085,2006-01-19 00:00:00.0,2011-01-23 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3180,2006-01-26 00:00:00.0,2011-01-23 00:00:00.0,4099,2006-01-26 00:00:00.0,2011-01-23 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3236,2006-03-05 00:00:00.0,2011-01-23 00:00:00.0,4155,2006-03-05 00:00:00.0,2011-01-23 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3386,2006-11-17 00:00:00.0,2006-11-21 00:00:00.0,4305,2006-11-17 00:00:00.0,2006-11-21 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3372,2006-11-23 00:00:00.0,2006-11-28 00:00:00.0,4291,2006-11-23 00:00:00.0,2006-11-28 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3525,2007-01-25 00:00:00.0,2007-01-31 00:00:00.0,4443,2007-01-25 00:00:00.0,2007-01-31 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3599,2007-02-14 00:00:00.0,2007-02-20 00:00:00.0,4517,2007-02-14 00:00:00.0,2007-02-20 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3611,2007-02-20 00:00:00.0,2007-02-22 00:00:00.0,4529,2007-02-20 00:00:00.0,2007-02-22 00:00:00.0," "
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3772,2007-11-16 00:00:00.0,2007-11-20 00:00:00.0,4691,2007-11-16 00:00:00.0,2007-11-20 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3910,2008-01-24 00:00:00.0,2008-01-30 00:00:00.0,4825,2008-01-24 00:00:00.0,2008-01-30 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3896,2008-01-24 00:00:00.0,2008-01-29 00:00:00.0,4811,2008-01-24 00:00:00.0,2008-01-29 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3946,2008-04-16 00:00:00.0,2008-05-13 00:00:00.0,4859,2008-04-16 00:00:00.0,2008-05-13 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,3972,2008-05-21 00:00:00.0,2008-06-03 00:00:00.0,4885,2008-05-21 00:00:00.0,2008-06-03 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,4094,2008-07-18 00:00:00.0,2008-07-23 00:00:00.0,5009,2008-07-18 00:00:00.0,2008-07-23 00:00:00.0,Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,4108,2008-07-18 00:00:00.0,2008-07-23 00:00:00.0,5023,2008-07-18 00:00:00.0,2008-07-23 00:00:00.0,Vice-Président
95004Y,M.,About,Nicolas,ANCIEN,,Commission mixte paritaire,6460,2008-10-29 00:00:00.0,2008-11-04 00:00:00.0,7890,2008-10-29 00:00:00.0,2008-11-04 00:00:00.0,Président
