Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp,Code Nuance,Voix,% Voix/Ins,% Voix/Exp
33,Gironde,11,Créon,36095,16754,"46,42",19341,"53,58",297,"0,82","1,54",120,"0,33","0,62",18924,"52,43","97,84",EXG,131,"0,36","0,69",COM,33,"0,09","0,17",FI,2999,"8,31","15,85",SOC,1216,"3,37","6,43",DVG,129,"0,36","0,68",ECO,1622,"4,49","8,57",DIV,188,"0,52","0,99",REM,8109,"22,47","42,85",UDI,230,"0,64","1,22",LR,1729,"4,79","9,14",DVD,47,"0,13","0,25",DLF,324,"0,9","1,71",FN,2167,6,"11,45",,,,,,,,,,,,,,,,
33,Gironde,12,L'Entre-Deux-Mers,26881,12693,"47,22",14188,"52,78",227,"0,84","1,6",120,"0,45","0,85",13841,"51,49","97,55",EXG,133,"0,49","0,96",FI,2704,"10,06","19,54",SOC,699,"2,6","5,05",DVG,94,"0,35","0,68",ECO,949,"3,53","6,86",DIV,102,"0,38","0,74",REM,4910,"18,27","35,47",LR,1952,"7,26","14,1",DVD,74,"0,28","0,53",DLF,218,"0,81","1,58",FN,2006,"7,46","14,49",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,13,L'Estuaire,30540,15111,"49,48",15429,"50,52",263,"0,86","1,7",164,"0,54","1,06",15002,"49,12","97,23",EXG,83,"0,27","0,55",COM,229,"0,75","1,53",FI,1702,"5,57","11,35",SOC,560,"1,83","3,73",DVG,1009,"3,3","6,73",ECO,593,"1,94","3,95",DIV,169,"0,55","1,13",REM,3880,"12,7","25,86",LR,808,"2,65","5,39",DVD,2280,"7,47","15,2",DLF,189,"0,62","1,26",FN,3423,"11,21","22,82",EXD,77,"0,25","0,51",,,,,,,,,,,,,,,,
33,Gironde,14,Gujan-Mestras,32709,16284,"49,78",16425,"50,22",211,"0,65","1,28",77,"0,24","0,47",16137,"49,34","98,25",EXG,86,"0,26","0,53",COM,105,"0,32","0,65",FI,1913,"5,85","11,85",SOC,972,"2,97","6,02",ECO,652,"1,99","4,04",DIV,80,"0,24","0,5",REM,6580,"20,12","40,78",LR,3038,"9,29","18,83",DVD,279,"0,85","1,73",DLF,347,"1,06","2,15",FN,2085,"6,37","12,92",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,15,Les Landes des Graves,32479,16223,"49,95",16256,"50,05",295,"0,91","1,81",97,"0,3","0,6",15864,"48,84","97,59",EXG,185,"0,57","1,17",COM,350,"1,08","2,21",FI,2394,"7,37","15,09",SOC,2347,"7,23","14,79",DVG,93,"0,29","0,59",ECO,731,"2,25","4,61",DIV,230,"0,71","1,45",MDM,4796,"14,77","30,23",LR,1974,"6,08","12,44",DLF,346,"1,07","2,18",FN,2418,"7,44","15,24",,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,16,Le Libournais-Fronsadais,37726,18781,"49,78",18945,"50,22",215,"0,57","1,13",127,"0,34","0,67",18603,"49,31","98,19",EXG,150,"0,4","0,81",FI,2579,"6,84","13,86",SOC,1060,"2,81","5,7",ECO,825,"2,19","4,43",DIV,216,"0,57","1,16",REM,7631,"20,23","41,02",UDI,771,"2,04","4,14",LR,2434,"6,45","13,08",DLF,230,"0,61","1,24",FN,2707,"7,18","14,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,17,Lormont,26321,14428,"54,82",11893,"45,18",182,"0,69","1,53",72,"0,27","0,61",11639,"44,22","97,86",EXG,148,"0,56","1,27",COM,265,"1,01","2,28",FI,1701,"6,46","14,61",SOC,1833,"6,96","15,75",ECO,489,"1,86","4,2",DIV,264,1,"2,27",REM,3838,"14,58","32,98",UDI,1297,"4,93","11,14",DLF,205,"0,78","1,76",FN,1599,"6,07","13,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,18,Mérignac-1,33797,17037,"50,41",16760,"49,59",148,"0,44","0,88",76,"0,22","0,45",16536,"48,93","98,66",EXG,113,"0,33","0,68",COM,233,"0,69","1,41",FI,2286,"6,76","13,82",SOC,2904,"8,59","17,56",ECO,726,"2,15","4,39",DIV,317,"0,94","1,92",REM,6818,"20,17","41,23",UDI,1684,"4,98","10,18",DLF,124,"0,37","0,75",FN,1331,"3,94","8,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,19,Mérignac-2,33752,16438,"48,7",17314,"51,3",166,"0,49","0,96",57,"0,17","0,33",17091,"50,64","98,71",EXG,77,"0,23","0,45",COM,231,"0,68","1,35",FI,2430,"7,2","14,22",SOC,2408,"7,13","14,09",ECO,762,"2,26","4,46",DIV,333,"0,99","1,95",REM,7541,"22,34","44,12",UDI,1680,"4,98","9,83",DLF,138,"0,41","0,81",FN,1491,"4,42","8,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gironde,20,Le Nord-Gironde,34716,18754,"54,02",15962,"45,98",300,"0,86","1,88",137,"0,39","0,86",15525,"44,72","97,26",EXG,98,"0,28","0,63",COM,326,"0,94","2,1",FI,2136,"6,15","13,76",SOC,1215,"3,5","7,83",DVG,326,"0,94","2,1",ECO,604,"1,74","3,89",DIV,144,"0,41","0,93",REM,4627,"13,33","29,8",UDI,8,"0,02","0,05",LR,936,"2,7","6,03",DVD,926,"2,67","5,96",DLF,230,"0,66","1,48",FN,3841,"11,06","24,74",EXD,108,"0,31","0,7",,,,,,,,,,,,
