objectid,codcomm,nom,st_areashape,st_lengthshape
13175,900001,Cours d'eau,6654.1198,2449.26821386392
13176,900001,Cours d'eau,15299.73245,1742.95997932747
13177,900001,Cours d'eau,12900.6829,1837.27448002936
13178,900001,Cours d'eau,3147.8787,1317.55666700218
13179,900001,Cours d'eau,6360.0544,832.532593469277
13180,900001,Cours d'eau,3960.70145,400.075410446987
13181,900001,Cours d'eau,722.6644,549.923994058033
13182,900001,Cours d'eau,3597.59415,1048.29380892226
13183,900001,Cours d'eau,105.87295,131.070602856161
13184,900001,Cours d'eau,382.91865,254.529006561206
13185,900001,Cours d'eau,687.06285,455.537644893688
13186,900001,Cours d'eau,551.17385,142.761027873882
13187,900001,34,1267.09705,203.748328256277
13188,900001,34,1313.1361,149.841767529088
13189,900001,34,3742.94595,366.965378383622
13190,900001,Cours d'eau,5658.79805,1113.5134449751
13191,900001,Cours d'eau,6910.36825,1307.17373822143
13192,900001,Cours d'eau,335.8973,305.714951051212
13193,900001,Cours d'eau,319.56665,219.583190515836
13194,900001,Cours d'eau,2014.33685,352.274374335686
13195,900001,Cours d'eau,611.07185,414.489875470785
13196,900001,Cours d'eau,6530.874,946.500021785934
13197,900001,Cours d'eau,257.8357,210.041419221771
13198,900001,Cours d'eau,5389.75965,1315.6019715325
13199,900001,Cours d'eau,458.9709,352.399461602285
13200,900001,Cours d'eau,215.10145,146.801240492248
13201,900001,Cours d'eau,1386.8399,914.06502874766
13202,900002,Cours d'eau,288.2233,134.243613404392
13203,900002,Cours d'eau,1311.33505,490.724204001935
13204,900002,Cours d'eau,211.27175,83.1128448734075
13205,900002,Cours d'eau,1226.18165,1091.51032208723
13206,900002,Cours d'eau,1016.83855,888.645328243628
13207,900002,Cours d'eau,220.5256,578.12724636378
13208,900002,Cours d'eau,166.0108,339.97819613475
13209,900002,Cours d'eau,194.1636,217.725119525007
13210,900002,Cours d'eau,570.4952,246.259773354675
13211,900002,Cours d'eau,359.2021,184.263436291099
13212,900002,Cours d'eau,1485.09495,575.98648397537
13213,900002,34,33.54065,23.6754788871828
13214,900002,34,7195.7373,389.513651072472
13215,900002,34,51.0042,30.1590552795771
13216,900002,34,602.65885,400.140533117687
13217,900002,34,1216.0834,716.741726243046
13218,900002,34,71.23275,45.6104796561755
13219,900002,34,505.3391,88.9147237033454
13220,900002,34,43.9151,26.4014839679691
13221,900002,Cours d'eau,774.6547,830.473847120621
13222,900002,34,476.28055,309.567069946858
13223,900002,34,12877.9084,604.579428128785
13224,900002,34,6093.5658,355.320089978511
13225,900002,Cours d'eau,431.06415,384.81378190191
13226,900002,Cours d'eau,6519.5581,1553.45583418071
13227,900002,Cours d'eau,962.5076,732.831356761302
13228,900002,Cours d'eau,1380.4526,713.127147065158
13229,900002,Cours d'eau,1360.02535,398.876384827617
13230,900002,Cours d'eau,946.54,1027.8538033797
13231,900002,34,736.4764,115.802832084478
13232,900002,34,1656.4972,199.902541361878
13233,900002,Cours d'eau,4063.3835,3127.28143703349
13234,900002,Cours d'eau,7018.63825,1937.44562308683
13235,900002,Cours d'eau,3407.33615,1067.73355947381
13236,900002,Cours d'eau,2620.59725,603.652401195846
13237,900002,Cours d'eau,707.88315,380.328706560513
13238,900002,Cours d'eau,1532.18525,1344.29374269692
13239,900002,34,310.5686,77.5378171904035
13240,900002,34,3843.26075,268.781860482279
13241,900002,34,102.37995,38.867813118446
13242,900002,34,450.38275,88.8968030450544
13243,900002,34,373.3858,78.7114021579855
13244,900002,Cours d'eau,1584.24415,1048.93268702787
13245,900002,Cours d'eau,77.49275,92.1648462355028
13246,900002,Cours d'eau,2254.9398,1435.39373041286
13247,900002,Cours d'eau,2100.58215,1170.59964150526
13248,900002,Cours d'eau,2831.54175,1153.67303715955
13249,900002,Cours d'eau,787.9606,846.351150148775
13250,900002,34,128.39235,51.0084426601621
13251,900002,34,548.441,89.1980745090624
13252,900002,34,148.515,148.939080647444
13253,900002,34,4769.30955,335.729183569004
13254,900002,34,10769.94465,566.791740868315
13255,900002,34,4362.0829,261.938346212102
13256,900003,34,14168.49345,571.418212807062
13257,900003,34,937.6864,116.221453962607
13258,900003,34,999.1144,134.979368408649
13259,900003,34,1194.77365,166.325599915116
13260,900003,34,1928.16385,178.66683339921
13261,900003,34,3590.55335,254.476048013739
13262,900003,34,650.45065,173.99603761336
13263,900003,34,1491.02925,152.504074891975
13264,900003,34,2207.21895,180.338061589012
13265,900003,34,5202.08185,317.975464160505
13266,900003,Cours d'eau,914.14735,292.361769796615
13267,900003,Cours d'eau,12742.3448,2873.52496848909
13268,900003,Cours d'eau,800.24365,1147.31406750276
13269,900003,Cours d'eau,523.54055,672.084486451202
13270,900003,Cours d'eau,384.86985,128.742213511003
13271,900003,Cours d'eau,858.3346,327.470840111178
13272,900003,34,3886.76955,263.096135067098
13273,900003,34,1980.23315,181.8339755964
13274,900003,34,2912.44105,200.845115611077
13275,900003,34,2697.9156,217.250701273167
13276,900003,34,974.15525,126.549010158543
13277,900003,34,6391.24055,495.483152829946
13278,900003,34,19708.0541,984.39758261835
13279,900003,34,5270.94385,309.308763626715
13280,900003,34,466.294,87.8674222141603
13281,900003,34,3025.6263,244.726799510641
13282,900003,34,1209.57225,159.061012212449
13283,900003,34,741.85965,113.164790077125
13284,900003,34,2209.22485,187.380767567327
13285,900003,34,242.9497,59.6151274602877
13286,900003,Cours d'eau,2456.6883,946.385339862126
13287,900003,Cours d'eau,1685.0071,456.8294717842
13288,900003,Cours d'eau,88.3373,135.346028182844
13289,900003,Cours d'eau,119.0057,172.048731780733
13290,900003,34,48.3851,28.8566301182768
13291,900003,34,45.50235,26.2832872378129
13292,900003,34,65.58965,35.7287369499865
13293,900003,34,180.0336,93.4166902429507
13294,900003,34,49.6421,28.7740647243427
13295,900003,34,69.29645,31.1829482306222
13296,900003,34,181.35865,96.1785550140596
13297,900003,34,77.60785,43.1194592072285
13298,900003,34,2443.29265,202.208466027802
13299,900003,34,2276.71965,232.105504316952
13300,900003,34,1068.00245,129.708997747346
13301,900003,34,2184.73455,240.396624808002
13302,900003,34,5061.0287,416.016797419391
13303,900003,34,1544.1583,375.873970648137
13304,900003,34,4373.2831,277.516427791913
13305,900003,34,1717.17655,157.806173728567
13306,900003,34,54.89605,29.0975454113789
13307,900003,34,938.26925,139.742775209843
13308,900003,34,646.24025,95.8054481150605
13309,900003,34,150.4234,48.3712554596302
13310,900003,34,925.6149,127.093833657031
