Année;Mariages
1993;252
1994;273
1995;273
1996;302
1997;330
1998;274
1999;308
2000;318
2001;258
2002;240
2003;238
2004;257
2005;263
2006;237
2007;215
2008;218
2009;196
2010;176
2011;198
2012;192
2013;172
2014;199
