"Année"	"Volume (m3)"	"Volume (stères)"	"Total (m3)"	"Total (stères)"	"Prix moyen (m3)"	"Prix moyen (stère)"	"Valeur"		
2009	19486	474	"19772"	"32821"	7,27	4,38	143710		"0 à 16 € le m3"
2010	23434	17719	"34108"	"56619"	3,92	2,36	133550		"0 à 21 € le m3"
2011	4980	21319	"17823"	"29586"	15,19	9,15	270685		"2 à 40 € le m3 et 1,5 à 30 € le stère"
2012	744	5346	"3964"	"6581"	12,24	7,37	48520		"1,5 à 30 € le stère"
									
"1m3 correspond à 1,66 stères"									
