Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;;;;0
;D;;;0
;; ;011;114 745,00
;; ;012;353 790,00
;; ;016;127 466,00
;;01;016;0,00
;R;;;0
;; ;002;149 453,61
;; ;017;551 490,00
;; ;018;42 970,00
;; ;019;1 541,00
I;;;;0
;D;;;0
;; ;13;1 541,00
;; ;16;0,00
;; ;20;0,00
;; ;21;32 976,00
;R;;;0
;; ;001;20 692,61
;; ;10;102,00
;; ;13;30 000,00
;; ;16;0,00
;; ;28;4 415,00
