Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
COMTE DE FALICON;15/01/2016;14H00;17H00;ACTIVITE MANUELLE;COURS;LES VENUS DE POCHE
COMTE DE FALICON;15/01/2016;15H00;20H00;SOCIAL;REUNION;CHRYSALIDES
COMTE DE FALICON;15/01/2016;16H00;20H00;SOCIAL;PERMANENCE;CHRYSALIDES
COMTE DE FALICON;15/01/2016;16H00;19H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;15/01/2016;17H00;19H00;SOUTIEN SCOLAIRE;COURS;APPESE - ASS. POUR LA PROMOTION DE LA PREVENTION ET DE L'ECONOMIE SOCIALE EN EUROPE
COMTE DE FALICON;16/01/2016;10H00;13H00;SANTE;FORMATION;FEDERATION NATIONALE DES ORTHOPHONISTES
COMTE DE FALICON;16/01/2016;10H00;13H00;COURS DE LANGUE;DIVERS;MANABI
COMTE DE FALICON;16/01/2016;10H00;12H00;MUSIQUE;COURS;DIFART
COMTE DE FALICON;16/01/2016;10H00;13H00;COURS DE LANGUE;COURS;MANABI
COMTE DE FALICON;16/01/2016;14H00;18H00;SANTE;FORMATION;PREVENTION LANGAGE 06
COMTE DE FALICON;16/01/2016;14H00;18H00;SOCIAL;REUNION;LA PASSERELLE SENEGALAISE
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;11/01/2016;15H00;17H00;AFFAIRES MILITAIRES;;ANOCR 06 - ASS. NALE DES OFFICIERS DE CARRIERE EN RETRAITE - GROUPEMENT DES ALPES-MARITIMES
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;12/01/2016;15H00;17H00;AFFAIRES MILITAIRES;;AGASM - ASSOCIATION GENERALE AMICALE DES SOUS MARINIERS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;13/01/2016;14H00;17H00;AFFAIRES MILITAIRES;;AMTS - ASSOCIATION MEMOIRE DU TIRAILLEUR SENEGALAIS
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/01/2016;10H00;12H00;AFFAIRES MILITAIRES;;SMLH - SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR - SECTION DES A.M.
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;15/01/2016;16H00;18H00;AFFAIRES MILITAIRES;;UNP - UNION NATIONALE DES PARACHUTISTES DE NICE 
GARIBALDI;11/01/2016;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;11/01/2016;09H00;12H00;ACTIVITE BIEN ETRE;COURS;LES PONTS DES PIES
GARIBALDI;11/01/2016;09H00;15H00;ORGANISME PUBLIC;EXAMEN;POLE ACTIVITES MARITIMES
GARIBALDI;11/01/2016;10H00;11H00;ACTIVITE BIEN ETRE;COURS;SOPHROLOGIE ET SOI
GARIBALDI;11/01/2016;10H00;12H00;COURS DE LANGUE;COURS;PLANETE ASIE 
GARIBALDI;11/01/2016;12H00;14H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
GARIBALDI;11/01/2016;14H00;16H00;DANSE ;COURS;AZUR BALLET
GARIBALDI;11/01/2016;14H00;16H00;SANTE;REUNION;ADMD  - ASSOCIATION POUR LE DROIT DE MOURIR DANS LA DIGNITE
GARIBALDI;11/01/2016;14H00;18H00;SOCIAL;REUNION;AS3P - ASSOCIATION DE SUIVI PSYCHOLOGIQUE POST-PENAL  
GARIBALDI;11/01/2016;16H00;18H00;ENSEIGNEMENT;REUNION;ASSOUCIACIOUN DOU MALOUNAT
GARIBALDI;11/01/2016;16H00;18H00;COURS DE LANGUE;COURS;ATELIER BILINGUE DE LA BAIE DES ANGES - ABBA
