CANTON 4;;;;;;
;;;;;;
ARRETE PREFECTORAL DU 29/08/2016;;;;;;
N°;BUREAUX;ADRESSES;;;;
401;SAINT PHILIPPE;"Lycée Honoré d'Estienne d'Orves - Rive Gauche
38, avenue d'Estienne d'Orves
";;;;
402;GAMBETTA;"C.C.A.S Gambetta
141, bd Gambetta";;;;
403;PARC IMPERIAL;"Lycée du Parc Impérial
Avenue Paul Arène";;;;
404;DAUPHINE;"Lycée du Parc Impérial
Avenue Paul Arène";;;;
405;CYRNOS;"Ecole Saint Barthélemy mixte I
64, boulevard de Cessole";;;;
406;CESSOLE;"Ecole Saint Barthélemy mixte I
64, boulevard de Cessole";;;;
407;PETIT PIOL;"Lycée du Parc Impérial
Avenue Paul Arène";;;;
408;LA MANTEGA;"Ecole de la Mantéga mixte
34, avenue de Pessicart";;;;
409;SAINT PAUL;"Ecole de la Mantéga mixte
34, avenue de Pessicart";;;;
410;MIRASOL;"Ecole de la Mantéga mixte
34, avenue de Pessicart";;;;
411;FREDERIC MISTRAL;"I.U.F.M
Avenue Jean Barès";;;;
412;PESSICART;"Ecole du Righi mixte
189, avenue de Pessicart";;;;
413;RIGHI;"Ecole du Righi mixte
189, avenue de Pessicart";;;;
414;BERENGER;"Ecole Saint Sylvestre mixte I
167, avenue Cyrille Besset";;;;
415;LA VALLIERE;"Ecole Saint Sylvestre mixte I
167, avenue Cyrille Besset";;;;
416;ANTOINE VERAN;"Ecole Saint Sylvestre mixte I
167, avenue Cyrille Besset";;;;
417;SAINT SYLVESTRE;"Ecole Saint Sylvestre mixte II
167, avenue Cyrille Besset";;;;
418;COMTE DE FALICON;"Ecole des Oliviers maternelle
1, rue Guillaume Boréa";;;;
419;CERNUSCHI;"Ecole des Oliviers maternelle
1, rue Guillaume Boréa";;;;
420;LES OLIVIERS;"Ecole des Oliviers maternelle
1, rue Guillaume Boréa";;;;
421;LE RAY;"Ecole des Oliviers maternelle
1, rue Guillaume Boréa";;;;
422;LAS PLANAS;"Ecole Las Planas maternelle
71, boulevard Henri Sappia";;;;
423;HENRI SAPPIA;"Ecole Las Planas maternelle
71, boulevard Henri Sappia";;;;
424;CHARLES BAUDELAIRE;"Centre administratif du Ray
Place Fontaine du Temple";;;;
425;SAINT PANCRACE;"Ecole Saint Pancrace mixte
461 bis, route de Pessicart";;;;
426;LA CLUA;"Ecole Saint Pancrace mixte
461 bis, route de Pessicart";;;;
427;LA MADELEINE;"Ecole Madeleine sup mixte I
282, boulevard de la Madeleine";;;;
428;ETOILE;"Ecole Madeleine sup mixte I
282, boulevard de la Madeleine";;;;
429;NICOLAI;"Ecole Madeleine sup mixte I
282, boulevard de la Madeleine";;;;
430;COSTIERE;"Ecole des Genêts mixte
156, chemin de la Costière";;;;
431;SAINT PIERRE DE FERIC;"Ecole St Pierre de Féric maternelle
173, route St Pierre de Féric";;;;
432;LES RESTANQUES;"Ecole St Pierre de Féric maternelle
173, route St Pierre de Féric";;;;
433;GRAVIER;"Bibliothèque municipale Alfred Hart 
  2 Place Fontaine du Temple";;;;
434;LES TREUYES;"Ecole Ventabrun maternelle
205, route de Bellet";;;;
435;COSTA THERESE;"Ecole des Genêts mixte
156, chemin de la Costière";;;;
