Opposition aux marques nationales;;;;;;
Source INPI/DMA 2015;;;;;;
;;;;;;
Année d'opposition;2009;2010;2011;2012;2013;2014
Oppositions;4,24;5,497;5,536;5,299;5,213;5,512
