"Année",1793,1800,1806,1821,1831,1836,1841,1846,1851,1856,1861,1866,1872,1876,1881,1886,1891,1896,1901,1906,1911,1921,1926,1931,1936,1946,1954,1962,1968,1975,1982,1990,1999,2006,2010
"Nombre hab",810,793,755,806,855,1025,981,1105,1166,1280,1261,1390,1272,1337,1251,1325,1293,1294,1341,1103,1164,1065,1083,1038,972,914,860,838,718,639,616,656,700,766,787
