FID,NAME,SHAPE_Length,SHAPE_Area
1,LDEN_55,56010.5115040074,50607776.3244407
2,LDEN_35,18165.0482028583,10295154.5106576
3,LDEN_45,34876.9308126502,31166713.2347037
4,LDEN_50,93944.8759749968,81522009.5720607
