Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",69805,153864,2.20,425.98
"Sante et Affaires sociales",50324,99104,1.97,483.86
"Jeunesse et Education",40605,79227,1.95,508.07
"Emploi et Travail",29337,69216,2.36,439.13
"Agriculture et Developpement durable",29005,54366,1.87,561.76
Economie,27715,71593,2.58,482.06
"Societe et Politique de la ville",22094,41557,1.88,537.42
"Securite et Justice",12966,35488,2.74,472.71
"Europe et Monde",1616,9912,6.13,468.95
