Code,Communes,taux com. - taxe fonc. / prop. bâties - 2014 (%),taux com. - taxe fonc. / prop. non bâties - 2014 (%),produit com. - taxe fonc. / prop. non bâties - 2014 (euros)
33073,Braud-et-Saint-Louis,"10,5","34,1",33690
33074,Brouqueyran,"11,2","35,8",4249
33075,Bruges,"32,3","71,2",56838
33076,Budos,"24,1","77,6",30924
33077,Cabanac-et-Villagrains,"28,9",42,33365
33078,Cabara,"22,6","68,6",2948
33079,Cadarsac,"13,4","40,3",5467
33080,Cadaujac,"20,7","50,3",31209
33081,Cadillac,"20,4","64,4",24874
33082,Cadillac-en-Fronsadais,"23,2","70,6",10725
33083,Camarsac,"17,1","39,4",7359
33084,Cambes,"25,3",47,13434
33085,Camblanes-et-Meynac,"17,4","48,6",21861
33086,Camiac-et-Saint-Denis,"16,5","38,7",9403
33087,Camiran,"10,2","58,4",14620
33088,Camps-sur-l'Isle,25,"74,9",5885
33089,Campugnan,"21,5",49,8195
33090,Canéjan,"13,9","18,5",39389
33091,Cantenac,"14,9","29,1",103972
33092,Cantois,"10,1","39,3",17264
33093,Capian,"16,4","43,2",38797
33094,Caplong,"11,8","30,9",12883
33095,Captieux,"14,7","45,9",33458
33096,Carbon-Blanc,"31,9","56,2",12642
33097,Carcans,"12,5","31,9",44098
33098,Cardan,"14,5","52,6",14368
33099,Carignan-de-Bordeaux,"17,6","42,1",18502
33100,Cars,"11,6","28,8",26997
33101,Cartelègue,"17,9",45,13650
33102,Casseuil,"11,9","56,5",10130
33103,Castelmoron-d'Albret,"13,8","71,6",42
33104,Castelnau-de-Médoc,20,"66,5",18689
33105,Castelviel,"15,5","51,1",21521
33106,Castets-en-Dorthe,"15,1","61,5",14867
33107,Castillon-de-Castets,"19,3",82,9747
33108,Castillon-la-Bataille,"23,1","49,5",14076
33109,Castres-Gironde,"21,3",56,17431
33111,Caudrot,25,"65,4",16781
33112,Caumont,"15,7","36,7",9961
33113,Cauvignac,"10,6","40,1",4359
33114,Cavignac,"17,7","53,9",8573
33115,Cazalis,"10,9","32,7",15886
33116,Cazats,"9,2",35,4822
33117,Cazaugitat,"20,4","52,6",31474
33118,Cénac,"16,2","39,7",12102
33119,Cenon,"34,1",64,14917
33120,Cérons,"21,6","60,6",17657
33121,Cessac,"18,7",45,7369
33122,Cestas,"19,4","38,9",191972
33123,Cézac,"19,4","51,4",24711
33124,Chamadelle,"30,3","75,8",21372
33125,Cissac-Médoc,"15,9","30,9",38703
33126,Civrac-de-Blaye,"20,2","41,2",12710
33127,Civrac-sur-Dordogne,"15,2","45,7",2658
33128,Civrac-en-Médoc,"14,1",47,65582
33129,Cleyrac,"10,1","29,3",7361
33130,Coimères,"17,8","41,5",13286
33131,Coirac,"13,8","53,9",8857
33132,Comps,"23,1","54,9",5344
33133,Coubeyrac,"8,8","30,4",6758
33134,Couquèques,"11,5","34,9",23085
33135,Courpiac,13,"45,1",3068
33136,Cours-de-Monségur,"10,8","47,1",13182
33137,Cours-les-Bains,"8,9","30,6",5567
33138,Coutras,"23,3",64,59657
33139,Coutures,"10,8","49,9",5557
33140,Créon,"20,5",46,27717
33141,Croignon,"14,6","43,8",6904
33142,Cubnezais,"14,3","25,3",6686
33143,Cubzac-les-Ponts,"14,4","40,2",14753
33144,Cudos,"16,4","81,3",32166
33145,Cursan,"18,5","48,1",8414
33146,Cussac-Fort-Médoc,"23,1","51,9",115040
33147,Daignac,"22,5","44,5",11252
33148,Dardenac,"16,4","49,8",3597
33149,Daubèze,"13,1","41,2",8330
33150,Dieulivol,"18,5","70,5",26159
33151,Donnezac,"23,5","66,2",22543
33152,Donzac,"12,1","41,8",10194
33153,Doulezon,"17,7","60,1",22032
33154,Les Églisottes-et-Chalaures,"23,2","65,6",21012
33155,Escaudes,"15,4","49,5",10631
33156,Escoussans,"14,1","59,5",14562
33157,Espiet,"20,2","40,5",10832
33158,Les Esseintes,"9,4","50,3",11026
33159,Étauliers,"13,3","42,2",11772
33160,Eynesse,"16,9","62,6",21511
33161,Eyrans,"17,7","45,5",6887
33162,Eysines,"28,5","66,8",42211
33163,Faleyras,"8,3","34,3",19262
33164,Fargues,"15,9","108,6",68875
33165,Fargues-Saint-Hilaire,"21,1","66,1",12488
33166,Le Fieu,"18,3",55,18008
33167,Floirac,"35,8","67,5",29728
33168,Flaujagues,"11,9","56,3",17845
33169,Floudès,"16,2","60,9",8286
33170,Fontet,"17,5","58,2",15854
33171,Fossès-et-Baleyssac,"14,5","50,1",10532
33172,Fours,"18,3","51,6",10993
33173,Francs,"22,6","85,4",19125
33174,Fronsac,"14,7","46,1",55026
33175,Frontenac,"20,5","49,9",33940
33176,Gabarnac,"12,3","44,5",15226
33177,Gaillan-en-Médoc,"18,4","46,5",38547
33178,Gajac,"11,3","49,9",11309
