resource_id,dataset_id,url,content_type,content_length,filename,magic_mime,real_size
db378f2a-83a1-40fd-a16c-06c4c8c3535d,5e7de8cf4663c08d4f74ba01,https://static.data.gouv.fr/resources/donnees-relatives-aux-tests-de-depistage-du-covid-19/20200403-180049/code-tranches-dage.csv,text/csv,110,./data/5e7de8cf4663c08d4f74ba01_db378f2a-83a1-40fd-a16c-06c4c8c3535d.csv,text/plain,110
2b527933-ece2-481d-ae62-03e5e0d69a99,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210130-040947/datatourisme.reg-glp.20210130.csv,text/csv,318,./data/5b598be088ee387c0c353714_2b527933-ece2-481d-ae62-03e5e0d69a99.csv,text/plain,318
3f2ea50b-7260-443b-bdb9-468d561cb25a,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201210-040611/datatourisme.reg-glp.20201210.csv,text/csv,318,./data/5b598be088ee387c0c353714_3f2ea50b-7260-443b-bdb9-468d561cb25a.csv,text/plain,318
1c26850c-a5b6-46b1-bd3b-271b573719ac,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201127-040203/datatourisme.reg-glp.20201127.csv,text/csv,318,./data/5b598be088ee387c0c353714_1c26850c-a5b6-46b1-bd3b-271b573719ac.csv,text/plain,318
1f0805cd-676f-4284-bd88-5e64660f871c,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201213-040259/datatourisme.reg-glp.20201213.csv,text/csv,318,./data/5b598be088ee387c0c353714_1f0805cd-676f-4284-bd88-5e64660f871c.csv,text/plain,318
8b4bcf72-cd91-4034-9200-72a5e0c9a003,5fda1f330914c0e09e8f0e37,https://static.data.gouv.fr/resources/bornes-de-recharge-irve-chateau-de-la-bucherie/20210111-180329/irve-chateaulabucherie-20201216.csv,text/csv,381,./data/5fda1f330914c0e09e8f0e37_8b4bcf72-cd91-4034-9200-72a5e0c9a003.csv,text/plain,381
a9e62056-a7f9-43ab-bfa0-181c5100fa4d,5c487b688b4c414e1f82c67b,https://static.data.gouv.fr/resources/declaration-du-profil-acheteur-35/20190123-153420/decp-publication-profil-acheteur-les-auxons.csv,text/csv,203,./data/5c487b688b4c414e1f82c67b_a9e62056-a7f9-43ab-bfa0-181c5100fa4d.csv,text/plain,203
14847f02-52bf-4ff4-8f6c-0c0cabc1e300,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20210202-041103/datatourisme.reg-myt.20210202.csv,text/csv,318,./data/5b598be088ee387c0c353714_14847f02-52bf-4ff4-8f6c-0c0cabc1e300.csv,text/plain,318
e6cd21a1-a565-4726-a99f-9f3e71eee837,5b598be088ee387c0c353714,https://static.data.gouv.fr/resources/datatourisme-la-base-nationale-des-donnees-du-tourisme-en-open-data/20201215-040611/datatourisme.reg-guf.20201215.csv,text/csv,318,./data/5b598be088ee387c0c353714_e6cd21a1-a565-4726-a99f-9f3e71eee837.csv,text/plain,318
e2257a1c-961c-44db-9794-96efd68cbb84,542074b588ee380f8fea222b,https://static.data.gouv.fr/resources/audiences-mensuelles-gouvernement-fr/20160614-143104/Stats_Juillet_2015.csv,text/csv,158,./data/542074b588ee380f8fea222b_e2257a1c-961c-44db-9794-96efd68cbb84.csv,text/plain,158
