OBJECTID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,AGENCE,CIRCUIT,VOIE,POSITION,COMMUNE,COND_CIRC_HIV,SHAPE__LENGTH,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Length2
492,45 D0943,0,0,2,690,0,2690,Montargis,2007-1 Nord,D943,PR 0+0 à 2+690,De Montargis à Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3979.48793226564
513,45 D2060,57,360,70,490,53024,66172,Sully,2060-3,D2060,PR 57+360 à 70+490,De Sury-aux-Bois à Châteauneuf-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,19744.1639388994
514,45 D0952,0,0,4,990,0,5042,Sully,2007-3,D952,PR 0+0 à 4+990,Briare,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8675.63062585271
497,45 D906032,1,0,5,168,0,2211,Montargis,2007-1 Nord,D906032,PR 1+0 à 5+168,Villemandeur,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3246.9953374525
500,45 D906027,1,0,2,180,0,326,Montargis,2007-2 Sud,D906027,PR 1+0 à 2+180,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,498.054621672162
502,45 D0943,2,690,29,700,2690,29705,Montargis,93-943,D943,PR 2+690 à 29+700,De Amilly à Douchy-Montcorbon,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,40296.2519838336
523,45 D1620,1,0,1,334,0,334,Orléans,2020-1,D1620,PR 1+0 à 1+334,Artenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1013.19485872164
535,45 D2060,79,450,96,900,75125,92586,Orléans,2060-4,D2060,PR 79+450 à 96+900,De Fay-aux-Loges à Fleury-les-Aubrais,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,51953.3711577175
538,45 D2007,0,0,0,1007,0,985,Montargis,CD77,D2007,PR 0+0 à 0+1007,Dordives,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2658.81523732562
416,45 D0921,0,0,17,461,0,17432,Pithiviers,D1A,D921,PR 0+0 à 17+461,De Rouvres-Saint-Jean à Dadonville,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,28120.6978840132
467,45 D2152,21,600,46,965,17934,43241,Pithiviers,D1B,D2152,PR 21+600 à 46+965,De Pithiviers-le-Vieil à Loury,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,39529.0859559402
525,45 D906090,1,0,4,520,0,1759,Orléans,2060-4,D906090,PR 1+0 à 4+520,Saint-Jean-de-Braye,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2195.69857431758
405,45 D900758,1,0,4,330,0,1440,Sully,2007-3,D900758,PR 1+0 à 4+330,Briare,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2140.30917822878
414,45 D906099,1,0,3,201,0,787,Orléans,2701-520,D906099,PR 1+0 à 3+201,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1174.42835410805
415,45 D906096,1,0,1,314,0,314,Orléans,2060-4,D906096,PR 1+0 à 1+314,Fleury-les-Aubrais,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,468.906144207549
420,45 D0950,0,0,16,1060,0,16891,Pithiviers,D1C,D950,PR 0+0 à 16+1060,De Dadonville à Beaune-la-Rolande,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,25713.1055587266
421,45 D2154,0,0,0,415,0,415,Orléans,2020-1,D2154,PR 0+0 à 0+415,Artenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1057.74230070586
432,45 D2020,39,391,48,812,27067,36466,Orléans,2020-2,D2020,PR 39+391 à 48+812,De Saint-Cyr-en-Val à La Ferté-Saint-Aubin,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,14422.4199696665
439,45 D0965,2,600,8,1045,2599,8976,Sully,2007-3,D965,PR 2+600 à 8+1045,De Thou à Bonny-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,10284.2145399151
464,45 D902035,1,0,5,609,0,2965,Orléans,2020-2,D902035,PR 1+0 à 5+609,Olivet,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,4595.06473714503
437,45 D0018,0,0,5,35,0,5299,Orléans,2152-3,D18,PR 0+0 à 5+35,De Meung-sur-Loire à Cléry-Saint-André,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,7840.57222599327
442,45 D900720,4,0,4,410,785,1195,Montargis,2007-2 Sud,D900720,PR 4+0 à 4+410,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1236.22969096841
454,45 D0925,10,600,11,595,10703,11698,Orléans,2152-3,D925,PR 10+600 à 11+595,Beaugency,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1536.87660897852
458,45 D906028,1,0,2,319,0,694,Montargis,2007-1 Nord,D906028,PR 1+0 à 2+319,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1035.00373231742
460,45 D906024,2,0,4,0,305,815,Montargis,2007-2 Sud,D906024,PR 2+0 à 4+0,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,761.43490274199
495,45 D2020,0,0,6,852,0,7063,Orléans,CD28,D2020,PR 0+0 à 6+852,De Tivernon à Artenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,10629.9607709675
496,45 D906097,1,0,4,237,0,1248,Orléans,2701-520,D906097,PR 1+0 à 4+237,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1862.38926541154
499,45 D900722,1,0,1,440,0,440,Montargis,2007-2 Sud,D900722,PR 1+0 à 1+440,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,913.032819747484
505,45 D0935,0,0,8,323,0,8290,Orléans,CD28,D935,PR 0+0 à 8+323,De Villeneuve-sur-Conie à Saint-Péravy-la-Colombe,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,12416.9865455878
509,45 D970100,1,0,3,450,0,1120,Orléans,2701-520,D970100,PR 1+0 à 3+450,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,2234.03206803047
510,45 D0940,0,0,30,151,0,30506,Sully,S2,D940,PR 0+0 à 30+151,De Coullons à Boismorand,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,51419.8790203929
476,45 D2152,2,445,18,209,2217,17932,Pithiviers,D1A,D2152,PR 2+445 à 18+209,De Le Malesherbois à Bondaroy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,25141.7532397984
521,45 D2552,0,0,0,399,0,399,Orléans,2152-3,D2552,PR 0+0 à 0+399,La Chapelle-Saint-Mesmin,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1414.7412195046
526,45 D2007,43,898,73,651,43939,73139,Sully,2007-3,D2007,PR 43+898 à 73+651,De Boismorand à Bonny-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,50156.6700087069
528,45 D0093,0,0,0,594,0,594,Montargis,2007-1 Nord,D93,PR 0+0 à 0+594,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1843.61839328019
532,45 D0232,0,0,1,412,0,1412,Montargis,2060-1 Est,D232,PR 0+0 à 1+412,Courtenay,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1952.84825431564
1051,45 D0950,17,404,22,158,17310,22069,Pithiviers,D1C,D950,PR 17+404 à 22+158,De Beaune-la-Rolande à Mézières-en-Gâtinais,1,,I_7_RESEAUX_TRANSPORTS,2020/09/15 12:06:23+00,CERVH45,2021/01/27 05:11:36+00,7338.76830539912
402,45 C0004,,,,,0,2499,Sully,S1,VC de la Tabarderie,,Dampierre-en-Burly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,3720.46031479256
