OBJECTID,ROUTE,PRD,ABD,PRF,ABF,CUMULD,CUMULF,AGENCE,CIRCUIT,VOIE,POSITION,COMMUNE,COND_CIRC_HIV,SHAPE__LENGTH,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,Shape__Length2
424,45 D906043,1,0,4,230,0,1095,Montargis,2060-2 Ouest,D906043,PR 1+0 à 4+230,Presnoy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1640.47147616264
413,45 D900719,1,0,1,308,0,308,Montargis,2007-2 Sud,D900719,PR 1+0 à 1+308,Montargis,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,460.675444213365
422,45 D1193,0,0,0,921,0,921,Montargis,2007-1 Nord,D1193,PR 0+0 à 0+921,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1819.65578172992
426,45 D906086,1,0,1,401,0,401,Sully,2060-3,D906086,PR 1+0 à 1+401,Chécy,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,569.795616439553
447,45 D900772,1,0,4,290,0,1240,Sully,2007-3,D900772,PR 1+0 à 4+290,Bonny-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1869.24183737272
449,45 D952004,1,0,4,212,0,1236,Orléans,2701-520,D952004,PR 1+0 à 4+212,Saint-Jean-de-la-Ruelle,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1812.60887046223
453,45 D0921,19,355,24,106,17432,22213,Pithiviers,D1B,D921,PR 19+355 à 24+106,De Dadonville à Ascoux,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,7341.68625276724
490,45 D0197,2,456,5,179,2442,5149,Orléans,2020-1,D197,PR 2+456 à 5+179,Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,5681.91468415207
503,45 D2007,1,0,21,750,985,21615,Montargis,2007-1 Nord,D2007,PR 1+0 à 21+750,De Dordives à Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,33573.9508922708
511,45 D2271,0,0,2,1103,0,2955,Orléans,2020-2,D2271,PR 0+0 à 2+1103,Olivet,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,6811.82756862476
517,45 D2007,21,750,43,820,21615,43939,Montargis,2007-2 Sud,D2007,PR 21+750 à 43+820,De Amilly à Boismorand,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,34874.1901197247
520,45 D902036,1,0,1,663,0,663,Orléans,2020-2,D902036,PR 1+0 à 1+663,Olivet,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,989.210089000243
530,45 D906031,4,0,4,335,635,970,Montargis,961-2160,D906031,PR 4+0 à 4+335,Villemandeur,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,496.273033469567
722,45 D0951,0,0,26,138,0,26122,Sully,2007-3,D951,PR 0+0 à 26+138,De Beaulieu-sur-Loire à Gien,1,,I_7_RESEAUX_TRANSPORTS,2019/10/08 12:51:47+00,CERVH45,2021/01/27 05:11:36+00,38694.3357886249
406,45 D906029,1,0,4,305,0,945,Montargis,2007-1 Nord,D906029,PR 1+0 à 4+305,Villemandeur,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1717.87747085388
411,45 D0557,0,0,4,282,0,4086,Orléans,2157-955,D557,PR 0+0 à 4+282,De Saran à Ormes,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,9369.84698880355
428,45 D0326,3,247,3,1174,3295,4222,Orléans,2020-2,D326,PR 3+247 à 3+1174,De Saint-Cyr-en-Val à Orléans,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1855.0586741631
431,45 D0952,9,901,47,908,9500,47170,Sully,S1,D952,PR 9+901 à 47+908,De Gien à Châteauneuf-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,59057.5959714108
438,45 D0948,0,0,6,640,0,6781,Pithiviers,D1A,D948,PR 0+0 à 6+640,De Le Malesherbois à Puiseaux,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,10532.6748432215
448,45 D927101,1,0,1,310,0,310,Orléans,2020-2,D927101,PR 1+0 à 1+310,Olivet,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,443.777890557487
480,45 D0955,8,0,18,958,0,11235,Orléans,2157-955,D955,PR 8+0 à 18+958,De Ormes à Saint-Péravy-la-Colombe,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,17674.9622828026
487,45 D906053,1,0,4,440,0,1145,Montargis,2060-2 Ouest,D906053,PR 1+0 à 4+440,Quiers-sur-Bezonde,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1718.22208711324
488,45 D900762,1,0,2,430,0,690,Sully,2007-3,D900762,PR 1+0 à 2+430,Briare,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1023.14055683505
493,45 D0975,0,0,5,915,0,5880,Montargis,961-2160,D975,PR 0+0 à 5+915,De Bellegarde à Juranville,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,8942.79940594734
501,45 D902037,1,0,1,305,0,305,Orléans,2020-2,D902037,PR 1+0 à 1+305,Orléans,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,712.926875911015
515,45 D906094,1,0,4,253,0,1197,Orléans,2060-4,D906094,PR 1+0 à 4+253,Orléans,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,1562.0485027687
524,45 D2060,96,900,99,105,92586,94821,Orléans,2701-520,D2060,PR 96+900 à 99+105,De Fleury-les-Aubrais à Saran,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,6663.34101662296
531,45 D2160,49,992,53,764,14756,18496,Montargis,2060-2 Ouest,D2160,PR 49+992 à 53+764,De Bellegarde à Quiers-sur-Bezonde,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,6059.80229613132
494,45 D2020,51,796,56,892,39352,44489,Orléans,CD41,D2020,PR 51+796 à 56+892,La Ferté-Saint-Aubin,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,7800.52642989764
518,45 D2152,46,1003,54,99,43241,50197,Orléans,2060-4,D2152,PR 46+1003 à 54+99,De Loury à Saint-Jean-de-Braye,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,13491.3172998712
522,45 D0948,27,243,33,820,27299,33756,Sully,S1,D948,PR 27+243 à 33+820,De Bray-Saint-Aignan à Sully-sur-Loire,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,10529.0080230787
529,45 D900722,2,0,2,155,440,595,Montargis,2007-1 Nord,D900722,PR 2+0 à 2+155,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,236.056869073643
534,45 D0973,2,730,3,40,2634,2913,Montargis,2060-1 Est,D973,PR 2+730 à 3+40,Amilly,1,,I_7_RESEAUX_TRANSPORTS,2019/07/25 08:11:22+00,CERVH45,2021/01/27 05:11:36+00,359.052767621578
