Année ;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Nombre de dossiers reçus dans l'année;60;82;70;87;70;69;182;562;531;374;282;243;320;385;401;671;817;836;1264;1163;1970;2513;1595;2660;2516;2217;1877;2099;3682;4305;5246;5890;4381;4039;4264;4517
"Nombre de vérifications de fichiers
réalisées dans l'année";87;135;131;266;205;206;461;1228;829;490;421;439;529;639;535;808;1313;1411;2315;1962;2457;3210;5183;5000;4519;5712;4185;3374;3147;6623;6656;8784;7909;8297;6631;3573
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
