"Élections cantonales 2011 – 1er tour"	"Nombre de voix"	"% Voix/Exprimés"
"M. Dominique COUTIERE (SOC) "	149	45,57
"M. Gilles LAPORTE (RDG) "	118	36,09
"Mme Nadine DESCACQ (COM) "	13	3,98
"M. Gérald LERCHE (UMP) "	47	14,37
