sexe;nom_de_famille;prénom;groupe_politique;parti_de_rattachement
Mme;DEMESSINE;Michelle;CRC;Parti communiste français
Mme;DEMONTÈS;Christiane;SOC;Parti socialiste
M.;DENEUX;Marcel;UDI-UC;Le Centre pour la France
M.;DÉRIOT;Gérard;UMP;Union pour un mouvement populaire
Mme;DEROCHE;Catherine;UMP;Union pour un mouvement populaire
Mme;DES ESGAULX;Marie-Hélène;UMP;Union pour un mouvement populaire
M.;DESESSARD;Jean;ÉCOL.;Europe Écologie Les Verts
M.;DESPLAN;Félix;SOC;Parti socialiste
M.;DÉTRAIGNE;Yves;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
Mme;DIDIER;Évelyne;CRC;Parti communiste français
M.;DILAIN;Claude;SOC;Parti socialiste
Mme;DINI;Muguette;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;DOLIGÉ;Éric;UMP;Union pour un mouvement populaire
M.;DOMEIZEL;Claude;SOC;Parti socialiste
M.;DOMINATI;Philippe;UMP;Union pour un mouvement populaire
M.;DOUBLET;Michel;UMP;Union pour un mouvement populaire
M.;du LUART;Roland;UMP;Union pour un mouvement populaire
M.;DUBOIS;Daniel;UDI-UC;Nouveau centre
Mme;DUCHÊNE;Marie-Annick;UMP;Aucun parti
M.;DUFAUT;Alain;UMP;Union pour un mouvement populaire
M.;DULAIT;André;UMP;Union pour un mouvement populaire
M.;DUPONT;Jean-Léonce;UDI-UC;Nouveau centre
M.;DUPONT;Ambroise;UMP;Union pour un mouvement populaire
Mme;DURIEZ;Odette;SOC;Parti socialiste
Mme;DURRIEU;Josette;SOC;Parti socialiste
M.;DUVERNOIS;Louis;UMP;Union pour un mouvement populaire
M.;EBLÉ;Vincent;SOC;Parti socialiste
M.;EMORINE;Jean-Paul;UMP;Union pour un mouvement populaire
M.;ESNOL;Philippe;SOC;Parti socialiste
Mme;ESPAGNAC;Frédérique;SOC;Parti socialiste
M.;FALCO;Hubert;UMP;Union pour un mouvement populaire
Mme;FARREYROL;Jacqueline;UMP;Union pour un mouvement populaire
M.;FAUCONNIER;Alain;SOC;Parti socialiste
M.;FAVIER;Christian;CRC;Parti communiste français
Mme;FÉRAT;Françoise;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;FERRAND;André;UMP;Union pour un mouvement populaire
M.;FICHET;Jean-Luc;SOC;Parti socialiste
M.;FILLEUL;Jean-Jacques;SOC;Parti socialiste
