"Élections régionales 2010 – 1er tour"	"Nombre"	"% Inscrits"	"% Votants"
"Inscrits"	595	" "	" "
"Abstentions"	248	41,68	" "
"Votants"	347	58,32	" "
"Blancs ou nuls"	16	2,69	4,61
"Exprimés"	331	55,63	95,39
			
"Élections régionales 2010 – 2ème tour"	"Nombre"	"% Inscrits"	"% Votants"
"Inscrits"	595	" "	" "
"Abstentions"	241	40,5	" "
"Votants"	354	59,5	" "
"Blancs ou nuls"	25	4,2	7,06
"Exprimés"	329	55,29	92,94
