"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","NB_CHB","SDP_A2","SDP_B2","SDP_D2","SDP_E2","SDP_F2","SDP_A3","SDP_B3","SDP_D3","SDP_E3","SDP_F3","SDP_A4","SDP_B4","SDP_D4","SDP_E4","SDP_F4","SDP_A5","SDP_B5","SDP_D5","SDP_E5","SDP_F5","SDP_A6","SDP_B6","SDP_D6","SDP_E6","SDP_F6","SDP_A7","SDP_B7","SDP_D7","SDP_E7","SDP_F7","SDP_A8","SDP_B8","SDP_D8","SDP_E8","SDP_F8","SDP_A9","SDP_B9","SDP_D9","SDP_E9","SDP_F9","I_TRANSPORT","I_ENSETRECH","I_SANTE","I_ACTSOCIAL","I_OUVRAGESPEC","I_CULTURE","TYPE_OPERATION_CONSTR","DPC","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01034","2018","00103418C0016","9","2",,"SCI CONDAT INVESTISSEMENT (CONDAT David)","79107732400014",,,"372 rue Denis Papin - coro",,,"01300","belley",,"100",,,"372 rue Denis Papin  coron",,,"01300","BELLEY",,"20910A","20930A",,1,1496,,,,,,0,0,0,0,0,0,0,0,0,193,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14",2018-05-31,,
"84","01","01046","2018","00104618D0001","9","2","GAEC DE STIVAN",,"42126955600013","505","RTE","des Grands Pres",,,"01290","Biziat",,"100",,,"Aux Grands Pres",,,"01290","Biziat",,"74C","79C","88C",2,65561,,,,,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9795,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-04-28",
"84","01","01049","2018","0010491800015","9","2",,"TO YOU","43203070800015","94","impas","de la Cote",,,"01120","LA BOISSE",,"100","94","impas","de la Cote",,,"01120","LA BOISSE",,"0048ZD",,,1,4700,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01053","2017","00105317O0018","2","2",,"Ville de Bourg-en-Bresse","21010053300012",,,"Place de l'Hotel de Ville",,,"01012","BOURG-EN-BRESSE",,"100",,,"6 avenue Alsace Lorraine",,,"01000","BOURG-EN-BRESSE",,"0577AD",,,3,1062,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,58,0,0,0,0,0,0,0,0,1,"8",2018-05-31,"2017-09-18","2018-03-08"
"84","01","01053","2017","00105317O0027","9","2",,"SDIS DE L AIN","28011200400039",,,"200 avenue Capitaine Dhonn",,,"01001","BOURG EN BRESSE",,"100",,,"200 avenue Capitaine Dhonn",,,"01000","Bourg-en-Bresse",,"0350BR",,,3,46680,,,,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15080,963,0,0,0,0,0,0,1,0,0,"8",2018-05-31,"2017-08-08","2018-05-22"
"84","01","01053","2018","00105318O0025","9","2",,"SCI IBERIA","41939884700014",,,"2 place Gantes",,,"13002","MARSEILLE",,"100",,,"12 avenue Arsene d'Arsonv",,,"01000","Bourg-en-Bresse",,"0317BO","0461BO","0462BO",1,7468,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01053","2018","00105318O0026","9","2",,"BOURG SUD","4414500 038 00",,,"4 rue des Peupliers",,,"01000","BOURG EN BRESSE",,"100",,,"Chemin de la Chagne",,,"01000","Bourg-en-Bresse",,"0142CH",,,1,11777,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01056","2018","00105618A0003","9","2","SARL GRAINES D ABEILLES",,"80046822500027","19","RTE","de St Jerome","Le Mollard-St Jerome",,"01640","Boyeux-Saint-Jerome",,"100","19","RTE","de St Jerome","Le Mollard-St Jerome",,"01640","Boyeux-Saint-Jerome",,"2976C","2975C","2973C",1,6843,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,,
"84","01","01057","2018","00105718D0006","9","2",,"Syndicat Intercommunal des Eaux Basse Reyssouze re","25010081500019","66","Rue","du Marechal de Lattre de",,,"01190","PONT DE VAUX",,"100",,"Rue","des Nievres",,,"01190","BOZ",,"08880A","08860A","08890A",2,9936,,,,,"1",0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-29",
"84","01","01060","2018","00106018H0001","9","2",,"CARRIER","38929929800015","210",,"Grande Rue",,,"01110","BRENOD",,"100","130","CHEMI","DE CHAMP DE JOUX","LA GRANDE SAUGE",,"01110","BRENOD",,"0041ZB",,,2,17430,,,,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8",2018-05-31,"2018-05-26",
