FID,NUMBURO,BUREAU,inscrit,bulletins,Nuls,Blancs,exprimes,lepen_abs,lepen_rel,macron_abs,macron_rel,SHAPE_Length,SHAPE_Area
1,5,05 Eco. JUMENTIER-LYON (I),1004,707,26,43,638,212,33.23,426,66.77,0.0475083502759335,4.70978347199309e-05
2,6,06 Eco. JUMENTIER-LYON (II),971,697,23,51,623,183,29.37,440,70.63,0.0380672950179794,2.43002236474601e-05
3,18,18 Rest. Sco. QUENTIN BARRE,1081,792,32,51,709,291,41.04,418,58.96,0.040677301374821,3.13464349204089e-05
4,13,13 Eco. Ele F. BUISSON (I),866,616,15,42,559,254,45.44,305,54.56,0.0448016089043044,5.57761066780077e-05
5,14,14 Eco. Ele F. BUISSON (II),824,599,15,52,532,216,40.6,316,59.4,0.0785220710888988,0.000126980796671626
6,8,08 SALLE DES FETES (I),833,555,24,47,484,239,49.38,245,50.62,0.0421778204908119,2.72686118394218e-05
7,10,10 Eco. Mat JEAN MACE,532,395,9,27,359,159,44.29,200,55.71,0.103522546047248,0.000245459782180029
8,12,12 Eco. Mat  MONTESSORI,792,465,16,16,433,215,49.65,218,50.35,0.0942624804865189,0.000171265096383704
9,37,37 SALLE ST MARTIN,1146,801,22,49,730,398,54.52,332,45.48,0.0414721196461058,2.78277397691606e-05
10,24,24 Eco. Ele ROBERT SCHUMAN,983,645,15,40,590,274,46.44,316,53.56,0.038267839516617,4.03206188939933e-05
11,36,36 Eco. THEILLIER DESJARDINS,902,598,14,47,537,279,51.96,258,48.04,0.0452169726218377,4.1064487270465e-05
12,27,27 Gym. GILBERT ROUX (I),859,542,15,30,497,204,41.05,293,58.95,0.0216879063391283,1.01074795581739e-05
13,28,28 Gym. GILBERT ROUX (II),698,509,19,37,453,168,37.09,285,62.91,0.0339289255781105,4.55980380682e-05
14,17,17 Gym. P. TASSART,784,618,17,40,561,229,40.82,332,59.18,0.0391921942478334,2.91725577626529e-05
15,19,19 Eco. CAMILLE DESMOULINS  (I),946,738,21,50,667,201,30.13,466,69.87,0.0428723562944893,2.65482692020927e-05
16,16,16 Gym. COLLERY (II),777,573,17,49,507,173,34.12,334,65.88,0.0626951242694409,4.60636232756606e-05
17,21,21 Rest. Sco. ALFRED CLIN,901,619,12,44,563,218,38.72,345,61.28,0.03802414810274,2.26446053371114e-05
18,22,22 SALLE PARINGAULT,884,573,14,40,519,251,48.36,268,51.64,0.0471534638621524,2.50352924147e-05
19,11,11 Rest. Sco. GEORGES BACHY,1044,707,20,49,638,342,53.61,296,46.39,0.0386155186628011,4.51389673838505e-05
20,23,23 SALLE ST JEAN,810,599,20,42,537,263,48.98,274,51.02,0.117328694325933,0.000308706868847731
21,1,01 HOTEL DE VILLE,784,580,13,49,518,128,24.71,390,75.29,0.0458825945277615,3.34361671291906e-05
22,2,02 Eco. DE METZ,936,740,12,56,672,159,23.66,513,76.34,0.0438789116725616,4.877885557011e-05
23,4,04 Rest. Sco. A. OZENFANT,914,636,22,38,576,204,35.42,372,64.58,0.0484832207566676,4.36802257142658e-05
24,7,07 Eco. Mat MONTPLAISIR,790,572,25,44,503,218,43.34,285,56.66,0.0327672781209113,2.35781760087287e-05
25,3,03 CONSERVATOIRE,840,585,17,49,519,157,30.25,362,69.75,0.0362712146234914,2.47776971444855e-05
26,29,29 SALLE FOUCAULD,931,639,21,37,581,309,53.18,272,46.82,0.133189717130267,0.000226323394332868
27,30,30 Eco. DES GIRONDINS,785,531,19,32,480,248,51.67,232,48.33,0.0280004862940636,1.53281785802199e-05
28,34,34 SALLE MAIRIE Fbg ISLE,1063,707,18,26,663,321,48.42,342,51.58,0.0483380872464982,3.18501218590979e-05
29,31,31 Eco. Mat HENRI ARNOULD,950,635,14,40,581,296,50.95,285,49.05,0.0391991692497926,3.34778347885873e-05
30,32,32 Eco. Mat BENJAMIN ROUCHE,935,652,19,41,592,321,54.22,271,45.78,0.0280284040984063,2.7445807552322e-05
31,33,33 Eco. Mat EUGENE CORRETTE,978,701,20,52,629,307,48.81,322,51.19,0.0591747705631126,6.755442344467e-05
32,20,20 Eco. CAMILLE DESMOULINS  (II),934,681,22,48,611,203,33.22,408,66.78,0.0425455028202158,2.93948490088862e-05
33,26,26 Gym. P. LAROCHE (II),735,523,14,32,477,188,39.41,289,60.59,0.0145614010712896,9.76955699676302e-06
34,25,25 Gym. P. LAROCHE (I),912,594,18,33,543,247,45.49,296,54.51,0.0393936071867794,3.23886476184779e-05
35,15,15 Gym. COLLERY (I),898,681,28,51,602,218,36.21,384,63.79,0.0325305142689591,2.56884736983617e-05
36,9,09 SALLE DES FETES (II),633,434,10,42,382,186,48.69,196,51.31,0.0467298027670229,3.00437984988491e-05
37,38,38 Eco. Mat ERNEST LAVISSE,918,667,19,52,596,310,52.01,286,47.99,0.0743836980324475,0.000102236221131567
38,39,39 CENTRE Asso D'OESTRES,888,649,17,42,590,310,52.54,280,47.46,0.134359407402712,0.000481111079758856
39,35,35 Eco. Mat PAULE POLVENT,982,655,22,42,591,275,46.53,316,53.47,0.117202036914907,0.000171343981865983
