Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Etat et collectivites territoriales",52479,134432,2.56,516.68
"Sante et Affaires sociales",37876,85570,2.26,481.28
"Emploi et Travail",36238,91675,2.53,394.98
Economie,33313,80368,2.41,465.09
"Jeunesse et Education",28757,75630,2.63,496.57
"Securite et Justice",22726,73379,3.23,402.05
"Societe et Politique de la ville",19668,48741,2.48,517.52
"Agriculture et Developpement durable",8170,26375,3.23,467.79
"Europe et Monde",1598,12944,8.10,440.60
