FID,QUARTIERS_,QUARTIERS1,QUARTIER_3,QUARTIER_4,QUARTIER_5,QPV_TRANCH,QPV_REVDIS,QPV_PBASRE,QPV_PM14AN,QPV_P6PLUS,QPV_SURFPP,QPV_PMONO_,QPV_PLOC_I,QPV_PMCHOM,GlobalID,SHAPE_Length,SHAPE_Area
1,Montmagny,Centre Ville,Z1215,Prioritaire,QP095021,2000_2999,94.300003,17.1,26.700001,10.2,24.299999,5.5,68.400002,22.299999,{E18E9DD9-44A5-4E55-9C6D-02FA827ACD3D},2601.21265775321,106748.269393195
2,Montmagny,Les Lévriers,Z1214,Prioritaire,QP095020,moins_de_2000,97.199997,21.299999,29.9,12.5,22.700001,7.3000002,50.400002,25.799999,{9A652272-1D55-406C-AB0E-B65F4C94DD18},1069.02627729705,47972.7633181805
3,Saint Gratien,Les Raguenets, ,Prioritaire,QP095041,2000_2999,93.400002,13.8,24.4,8.1999998,24.700001,5.4000001,80.5,24.9,{30150E6F-BD69-4D6F-842B-B626C7F98EF2},1572.87707318784,112885.621175555
4,Soisy-sous-Montmorency,Noyer Crapaud,C38,Prioritaire,QP095001,moins_de_2000,77.900002,15.2,24,6.8000002,25.700001,7.3000002,97,26.5,{920AD86D-ACAB-442A-A320-97E929BE6DB5},892.455409470786,46469.3754418573
5,Deuil-La Barre,La Galathée, ,Veille, , ,0,0,0,0,0,0,0,0,{62549E2A-256A-4677-93D7-5207793FA4B2},3763.52658685865,466006.887054844
6,Deuil-La Barre,Les Mortefontaines, ,Veille, , ,0,0,0,0,0,0,0,0,{ABA8BAF8-72A8-4EA8-8B13-D16E226E7751},1746.58331269871,180694.722532084
7,Saint Gratien,Les Raguenets, ,Veille, , ,0,0,0,0,0,0,0,0,{A5E0BA59-8F6F-44AD-8EF5-0BD55C4FFED8},2969.98898116543,119957.667230039
8,Montmagny,Barrage, ,Veille, , ,0,0,0,0,0,0,0,0,{A1F415FF-AE5C-4A51-91F2-C49DBB620000},2702.68704820462,353728.018426558
9,Soisy-sous-Montmorency,Les Noëls, ,Veille, , ,0,0,0,0,0,0,0,0,{4A54DA1D-BE0F-45FA-9B9C-54E015718A3E},1546.3860788138,122506.17898903
