Date;Nombre de sessions;Nombre d'utilisateurs;Durée moyenne des sessions;Taux de rebond;Pages / session
01/02/2017;3252;2442;00:02:09;48,95%;2,79
01/03/2017;3977;3163;00:01:48;60,32%;2,33
01/04/2017;3557;2820;00:01:35;60,70%;2,22
01/06/2017;3877;3120;00:01:40;58,22%;2,39
01/08/2017;4770;3613;00:01:49;52,10%;2,6
01/09/2017;5106;3810;00:01:58;54,23%;2,59
01/10/2017;4722;3598;00:01:41;57,45%;2,4
01/11/2017;3942;3027;00:01:48;56,19%;2,43
01/12/2017;4341;3350;00:01:40;58,59%;2,32
01/01/2018;5556;4166;00:01:50;55,96%;2,45
01/02/2018;4925;3745;00:01:42;59,88%;2,26
01/03/2018;4718;3544;00:01:41;56,19%;2,44
01/05/2018;5145;3900;00:01:38;60,51%;2,31
