Année;Tiers;Domaine;Sous-domaine;Type d avantage;Description avantage;Montant des avantages en nature
2015;102 (ASSOCIATION LE);-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;40 566
2015;A BORD PERDU;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux ex SPA;4 633
2015;ABC DANSE / l'ALBUM COMPAGNIE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux;24 660
2015;ACROTERRE;Opinion Expression Défense des droits et des intérêts;Logement;Avantage en nature (locaux / équipements sportifs);60 Place des géants;3 104
2015;ADA - ACCUEIL DEMANDEURS D'ASILE;Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantage en nature (locaux / équipements sportifs);MDA, 6 rue Berthe de Boissieux (25 m2);1 655
2015;ADA - ACCUEIL DEMANDEURS D'ASILE;Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantages en nature (gratuité des fluides);MDA, 6 rue Berthe de Boissieux (gratuité);328
2015;ADAJE FESTIVAL JEUX  ESPRIT;-;-;Avantage en nature (locaux / équipements sportifs);7 bis rue Aristide Bergès;7 351
2015;ADIIJ/ASSOC.DEPARTEM. D'INFORMATION & D'INITIATIVE JEUNESSE;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);2 rue François Raoult;7 473
2015;ADIIJ/ASSOC.DEPARTEM. D'INFORMATION & D'INITIATIVE JEUNESSE;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);2 rue François Raoult;1 619
2015;AFODOMI - ASS FAMILIALES DES ORIGINAIRES DOM DE L'ISERE;-;-;Avantage en nature (locaux / équipements sportifs);45 Albert Thomas;2 370
2015;AFRIC IMPACT;-;-;Avantage en nature (Autre);60 place des géants;3 252
2015;AGECSA - ASS. DE GESTION DES CENTRES DE SANTE;-;-;Avantage en nature (locaux / équipements sportifs);64 PLACE DES GEANTS - 400m_;29 561
2015;AGECSA - ASS. DE GESTION DES CENTRES DE SANTE;-;-;Avantage en nature (locaux / équipements sportifs);80 RUE ANATOLE FRANCE - 392 m_;12 701
2015;AGECSA - ASS. DE GESTION DES CENTRES DE SANTE;-;-;Avantage en nature (locaux / équipements sportifs);162 GALERIE DE L ARLEQUIN - 1 090 m_;80 553
2015;AGIR ABCD (INTERVEN. RETRAITES CONDUISANT ACTIONS BENEVOLES);Education et formation;Cours et formation;Avantage en nature (Autre);17 rue Chenoise  70 m_;5 405
2015;AJA VILLENEUVE - JEUNESSE ET ATHLETIQUE VILLENEUVE;Sports;Football;Avantage en nature (locaux / équipements sportifs);41 rue des chardonnerets, Stade porte Villeneuve - 137m2 - Secteur 6;2 418
2015;AJA VILLENEUVE - JEUNESSE ET ATHLETIQUE VILLENEUVE;Sports;Football;Avantages en nature (gratuité des fluides);41 rue des chardonnerets, Stade porte Villeneuve - Gratuité - Secteur 6;924
2015;AMAL (ASS. DE COOPERATION FRANCO-CULTURELLE MAGHREBINE);International;Nouveaux arrivants;Avantage en nature (locaux / équipements sportifs);57, avenue Maréchal Randon (475.32 m2);34 079
2015;AMAL (ASS. DE COOPERATION FRANCO-CULTURELLE MAGHREBINE);International;Nouveaux arrivants;Avantages en nature (gratuité des fluides);57, avenue Maréchal Randon (plafond);5 870
2015;AMICALE BOULE ILE VERTE;-;-;Avantage en nature (locaux / équipements sportifs);15 chemin de Ronde (Clos J. Aymard) - 83 m2 - Secteur 2;4 028
2015;AMICALE BOULES DES ABATTOIRS;-;-;Avantage en nature (locaux / équipements sportifs);60 quai de la Graille - 30 m2 - Secteur 1;1 941
2015;AMIS DU MUSEUM DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux;1 655
2015;AMIS DU MUSEUM DE GRENOBLE;-;-;Avantages en nature (gratuité des fluides);Fluides;309
2015;AMITIE LOISIRS DECOUVERTES;Action Sociale;Divers;Avantage en nature (Autre);161 galerie de l'arlequin;9 570
2015;ANAGRAMME;-;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition locaux;5 868
2015;ANAGRAMME;-;-;Avantages en nature (gratuité des fluides);fluides;1 463
2015;APARDAP/PARRAINAGE REPUBLICAIN POUR DEMANDEURS D'ASILE (...);Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantage en nature (locaux / équipements sportifs);MDA, 2 rue Berthe de Boissieux (23.4 m2);1 549
2015;APARDAP/PARRAINAGE REPUBLICAIN POUR DEMANDEURS D'ASILE (...);Opinion Expression Défense des droits et des intérêts;Droits de l'homme;Avantages en nature (gratuité des fluides);MDA, 6 rue Berthe de Boissieux (gratuité);307
2015;ARC EN CIEL FRANCE MAGHREB;-;-;Avantage en nature (locaux / équipements sportifs);40, place des Géants (68,05 m2);4 279
2015;AREPI - ASSOCIATION REGIONALE POUR L'INSERTION;-;-;Avantage en nature (locaux / équipements sportifs);1 rue Emile Zola, 414.19 m_;21 016
2015;ARLEQUIN D'ARGILE;-;-;Avantage en nature (locaux / équipements sportifs);17 galerie de l'Arlequin;11 328
2015;ARLEQUIN D'ARGILE;-;-;Avantages en nature (gratuité des fluides);17 galerie de l'arlequin;479
2015;ARLEQUIN D'ARGILE;-;-;Avantages en nature (gratuité des fluides);60 place des Géants;479
2015;ARTS ET VOYAGES DANS LE TEMPS;-;-;Avantage en nature (Autre);Mise à disposition de l'ancien musée de peinture;2 600
