Année;Tiers;Domaine;Sous-domaine;Type d avantage;Description avantage;Montant des avantages en nature
2015;ASS DE VALORISATION ET ILLUSTRATION DU PATRIMOINE (AVIPAR);-;-;Avantage en nature (locaux / équipements sportifs);19 RUE PROSPER MERIMEE - 266m_;14 083
2015;ASS DE VALORISATION ET ILLUSTRATION DU PATRIMOINE (AVIPAR);-;-;Avantages en nature (gratuité des fluides);19 RUE PROSPER MERIMEE - 266 m_;1 229
2015;ASS RESIDENTS CASCATELLES ARC;-;-;Avantage en nature (locaux / équipements sportifs);20 balladin ou 54 Constantine;4 845
2015;ASSOCIATION DES SENEGALAIS DE L'ISERE-ASI;-;-;Avantage en nature (locaux / équipements sportifs);9, allée des Frênes (40 m2);2 515
2015;ASSOCIATION DES SENEGALAIS DE L'ISERE-ASI;-;-;Avantages en nature (gratuité des fluides);9, allée des Frênes (plafond);518
2015;ASSOCIATION FRANCO-ALGERIENNE DE L'ISERE (AFAI);International;Culture étrangère;Avantage en nature (locaux / équipements sportifs);16. rue Paul Cocat (8.37 m2);709
2015;ASSOCIATION HUMANITAIRE MUSULMANE;-;-;Avantage en nature (locaux / équipements sportifs);31-33 rue Georges de Manteyer (178 m2);11 191
2015;ATELIER DE RECHERCHE ET DE CREATION DRAMATIQUE;Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;41 538
2015;ATELIER DE RECHERCHE ET DE CREATION DRAMATIQUE;Art et culture;Théâtre;Avantages en nature (gratuité des fluides);Fluides;13 107
2015;ATELIER MTK;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux à Peld'is;3 866
2015;ATELIER MTK;-;-;Avantages en nature (gratuité des fluides);Fluides;710
2015;AUESCB - USAGERS DES EQUIPEMENTS SOCIO-CULTURELS BAJATIERE;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);79 avenue jean Perrot;23 952
2015;AUESCB - USAGERS DES EQUIPEMENTS SOCIO-CULTURELS BAJATIERE;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);81 avenue Jean Perrot;26 531
2015;AUESCB - USAGERS DES EQUIPEMENTS SOCIO-CULTURELS BAJATIERE;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);79  avenue Jean Perrot;6 765
2015;AUESCB - USAGERS DES EQUIPEMENTS SOCIO-CULTURELS BAJATIERE;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);81 avenue Jean Perrot;3 187
2015;AUTISME VIES;-;-;Avantage en nature (locaux / équipements sportifs);4 RUE DUBOIS FONTANELLE - 123m_;6 287
2015;BARBARIN ET FOURCHU;Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à dispo locaux;33 832
2015;BARBARIN ET FOURCHU;Art et culture;Théâtre;Avantages en nature (gratuité des fluides);Fluides;11 743
2015;BILLARD CLUB GRENOBLOIS;Sports;Billard;Avantage en nature (locaux / équipements sportifs);24 Quai de France - 220m2 - Secteur 2;14 560
2015;BRIN D'GRELINETTE;Opinion Expression Défense des droits et des intérêts;Environnement et développement durable;Avantage en nature (Autre);16 rue paul cocat;2 125
2015;CAP BERRIAT;-;-;Avantage en nature (locaux / équipements sportifs);3 rue Georges Jacquet;11 890
2015;CAP BERRIAT;-;-;Avantage en nature (locaux / équipements sportifs);5 rue Georges Jacquet;24 707
2015;CAP BERRIAT;-;-;Avantage en nature (locaux / équipements sportifs);6 rue Léon Sestier;11 118
2015;CAP BERRIAT;-;-;Avantage en nature (locaux / équipements sportifs);7 rue Georges Jacquet;15 828
2015;CAP BERRIAT;-;-;Avantages en nature (gratuité des fluides);3 5 7 rue Georges Jacquet;2 070
2015;CASOMI - COMITE D'ACTION SOCIALE DES ORIGINAIRES D'OUTREMER;-;-;Avantage en nature (Autre);45 rue albert thomas;2 370
2015;CATANE PETANQUE;-;-;Avantage en nature (locaux / équipements sportifs);62-64 rue Ampère (parking relais Catane) - 49,18 m2 - Secteur 1;3 255
2015;CENTRE D'INFORMATION SUR DROITS DES FEMMES &  DES FAMILLES;-;-;Avantage en nature (locaux / équipements sportifs);9, rue Raoul Blanchard (160 m2);13 430
2015;CENTRE D'INFORMATION SUR DROITS DES FEMMES &  DES FAMILLES;-;-;Avantages en nature (gratuité des fluides);9, rue Raoul Blanchard (gratuit);2 100
2015;CENTRE DRAMATIQUE NATIONAL DES ALPES;-;-;Avantages en nature (gratuité des fluides);Fluides locaux 2 rue Louis Lachenal;1 344
2015;CENTRE PSYCHO PEDAGOGIQUE DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);7 RUE GENERAL FERRIE - 340m_;41 472
2015;CENTRE SOCIAL CHORIER-BERRIAT (ACSCB);-;-;Avantage en nature (locaux / équipements sportifs);50 rue Nicolas Chorier;15 920
2015;CENTRES DE LOISIRS DE GRENOBLE - ACL;Loisirs et vie sociale;Enfance et jeunesse;Avantage en nature (locaux / équipements sportifs);11 avenue Jean Perrot (villa arthaud);33 756
2015;CENTRES DE LOISIRS DE GRENOBLE - ACL;Loisirs et vie sociale;Enfance et jeunesse;Avantages en nature (gratuité des fluides);11 avenue Jean Perrot;3 881
2015;CHAUFFERIE CIEL - REGIE 2 C;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition Le Ciel;126 787
2015;CINEMATHEQUE DE GRENOBLE;-;-;Avantage en nature (Autre);Buffet de cloture du festival à la table ronde;600
2015;CINEMATHEQUE DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition de locaux (Hector Berlioz, quai Stephane Jay, locaux stockage);66 383
2015;CINEMATHEQUE DE GRENOBLE;-;-;Avantages en nature (gratuité des fluides);FLUIDES;13 829
2015;CINEX-ATELIER DU CINEMA EXCENTRIQUE;Art et culture;Audiovisuel et cinéma;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux à Peld'is;3 866
2015;CINEX-ATELIER DU CINEMA EXCENTRIQUE;Art et culture;Audiovisuel et cinéma;Avantages en nature (gratuité des fluides);Fluides;710
2015;CLEF - CENTRE DE  LOISIRS ENFANCE ET FAMILLES;Action Sociale;Enfance jeunesse;Avantage en nature (locaux / équipements sportifs);13 rue Hoche;9 484
2015;CLEF - CENTRE DE  LOISIRS ENFANCE ET FAMILLES;Action Sociale;Enfance jeunesse;Avantage en nature (locaux / équipements sportifs);53 boulevard Gambetta (8 rue Henri Ding);41 916
2015;CLEF - CENTRE DE  LOISIRS ENFANCE ET FAMILLES;Action Sociale;Enfance jeunesse;Avantages en nature (gratuité des fluides);13 rue Hoche;992
2015;CLUB BOULISTE CAPUCHE-REYNIES;-;-;Avantage en nature (locaux / équipements sportifs);8 bis rue Léo Lagrange - 106 m2 - Secteur 4;8 418
2015;CLUB DE L'AMITIE;-;-;Avantage en nature (locaux / équipements sportifs);45 Albert Thomas;2 603
2015;CLUB EAUX CLAIRES PETANQUE;-;-;Avantage en nature (locaux / équipements sportifs);28 rue Joseph Bouchayer (square 8 Mai) - 60 m2 - Secteur 3;4 434
2015;CLUB EDELWEISS / UNION NATIONALE DES RETRAITÉS & PERS. AGÉES;-;-;Avantage en nature (Autre);9 lionel terray;4 458
2015;CNAC/CENTRE NATIONAL D'ART CONTEMPORAIN - LE MAGASIN;-;-;Avantage en nature (Autre);Mise à disposition de l'ancien musée de peinture;3 900
2015;CNAC/CENTRE NATIONAL D'ART CONTEMPORAIN - LE MAGASIN;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;195 886
2015;CODASE - COMITE DAUPHINOIS  D'ACTION SOCIO EDUCATIVE;-;-;Avantage en nature (locaux / équipements sportifs);2 chemin du Chapitre;1 721
2015;CODASE - COMITE DAUPHINOIS  D'ACTION SOCIO EDUCATIVE;-;-;Avantage en nature (locaux / équipements sportifs);26 Honoré de Balzac;11 082
2015;COLLECTIF DES USAGERS DE LA BIFURK - CUB;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);2 Gustave Flaubert (bureaux);31 618
2015;COLLECTIF DES USAGERS DE LA BIFURK - CUB;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);2 Gustave Flaubert (halle activités);87 183
2015;COLLECTIF DES USAGERS DE LA BIFURK - CUB;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);2 Gustave Flaubert (halle activités);13 587
2015;COMITE D'ACTION D'AIDE AUX REFUGIES DU CABINDA;-;-;Avantage en nature (locaux / équipements sportifs);Arlequin bureau 3;781
2015;COMITE DE LIAISON DES UNIONS DE QUARTIERS DE GRENOBLE (CLUQ);Economie et développement local;Services aux associations;Avantage en nature (Autre);06 rue du 04 septembre;3 783
2015;COMITE DE SOUTIEN AUX REFUGIES ALGERIENS (CSRA);-;-;Avantage en nature (locaux / équipements sportifs);MDA, 6 rue Berthe de Boissieux (2 bureaux, 22.4 m2);1 482
2015;COMITE DE SOUTIEN AUX REFUGIES ALGERIENS (CSRA);-;-;Avantages en nature (gratuité des fluides);MDA, 6 rue Berthe de Boissieux (gratuité);293
2015;COMITE DES FETES BOULISTES DE GRENOBLE (CFBG);Sports;Boules;Avantage en nature (locaux / équipements sportifs);2 Bd de l'Esplanade, Boulodrome - 1670m2 - Secteur 2;95 786
2015;COMITE DROIT AU TRAVAIL DES HANDICAPES;-;-;Avantage en nature (locaux / équipements sportifs);4 RUE DU CHAPITRE - 31m_;1 778
2015;COMITE DROIT AU TRAVAIL DES HANDICAPES;-;-;Avantages en nature (gratuité des fluides);4 RUE DU CHAPITRE - GRATUIT;372
2015;COMMUNE LIBRE SAINT-LAURENT  ET RIVE DROITE;-;-;Avantage en nature (locaux / équipements sportifs);103 Rue St laurent;4 434
2015;COMPAGNIE DU LOUP;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;2 206
2015;COMPAGNIE FRANCOIS VEYRUNES - ASS 47/49;-;-;Avantage en nature (locaux / équipements sportifs);Mise à disposition de locaux;5 242
2015;COMPAGNIE LES MUTINS;Art et culture;Danse;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;861
2015;COMPAGNIE THEATRALE MUH - AVIS AUX INTERESSES;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;5 242
2015;CONFEDERATION FAMILIALE FAMILLES SECTION VO - VIGNY-MUSSET;-;-;Avantage en nature (locaux / équipements sportifs);2 Claude Kogan;1 519
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantage en nature (locaux / équipements sportifs);6 bis rue Hector Berlioz - 41 m_;2 350
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantage en nature (locaux / équipements sportifs);8bis rue Hector Berlioz - 161 m_;9 229
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantage en nature (locaux / équipements sportifs);10 rue Station Ponsard - 25 m_;1 571
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantage en nature (locaux / équipements sportifs);97 Arlequin - 28,71 m_;2 405
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantages en nature (gratuité des fluides);6bis et 8 bis rue Hector Berlioz (gratuit);3 850
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantages en nature (gratuité des fluides);10 rue Station Ponsard - fluides (gratuit);331
2015;CONFEDERATION SYNDICALE DES FAMILLES/UNION DEPART. ISERE;-;-;Avantages en nature (gratuité des fluides);97 Arlequin - fluides (plafond);355
2015;CREARC/CENTRE DE CREATION DE RECHERCHE ET DES CULTURES;-;-;Avantage en nature (locaux / équipements sportifs);locaux admnisitratifs;8 493
2015;CREARC/CENTRE DE CREATION DE RECHERCHE ET DES CULTURES;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux Petit Théâtre;18 275
2015;CREARC/CENTRE DE CREATION DE RECHERCHE ET DES CULTURES;-;-;Avantages en nature (gratuité des fluides);Fluides;3 980
2015;CULTUR'ACT - LE PRUNIER SAUVAGE;Art et culture;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;21 280
2015;CULTURE AILLEURS;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux à Peldis;3 866
2015;CULTURE AILLEURS;-;-;Avantages en nature (gratuité des fluides);Fluides;710
2015;CULTURE ET DEVELOPPEMENT;International;Solidarité internationale;Avantage en nature (locaux / équipements sportifs);Maison Gavin 3 passage du Palais de Justice;7 280
2015;DIACONAT PROTESTANT DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);33 rue Georges de Manteyer (178 m2);11 191
2015;DOJO GRENOBLOIS;Sports;Judo;Avantage en nature (locaux / équipements sportifs);160 Galerie de l'Arlequin - 48,5m_ - Secteur 6;3 584
2015;DOJO GRENOBLOIS;Sports;Judo;Avantages en nature (gratuité des fluides);160 Galerie de l'Arlequin - plafond - Secteur 6;599
2015;DONNEURS DE VOIX  - BIBLIOTHEQUE SONORE DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);14 RUE DE LA REPUBLIQUE - 4m_;309
2015;ECLAIREUSES ECLAIREURS DE FRANCE;-;-;Avantage en nature (locaux / équipements sportifs);7 rue Franklin;846
2015;EN SCENE ET AILLEURS;Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à disposition locaux;43 458
2015;EN SCENE ET AILLEURS;Art et culture;Théâtre;Avantages en nature (gratuité des fluides);Fluides;5 295
2015;ENFANT BLEU;-;-;Avantage en nature (locaux / équipements sportifs);24 QUAI DE FRANCE - 20m_;1 324
2015;ENFANT BLEU;-;-;Avantages en nature (gratuité des fluides);24 QUAI DE FRANCE - plafond;128
2015;ENFANTINE;Loisirs et vie sociale;-;Avantage en nature (locaux / équipements sportifs);12 rue du 140ème RIA;4 500
2015;ENFANTINE;Loisirs et vie sociale;-;Avantages en nature (gratuité des fluides);12 rue du 140ème RIA;1 499
2015;ENTRAIDE ET SOLIDARITE DES COMMUNAUTES DE GRENOBLE;-;-;Avantage en nature (Autre);12 station ponsard;912
2015;EPI D'OR-OPHELIA THEATRE;-;-;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;2 206
2015;ESPACE 600 (ASSOCIATION);Art et culture;Théâtre;Avantage en nature (locaux / équipements sportifs);mise à disposition de locaux;88 868
2015;ESPACE 600 (ASSOCIATION);Art et culture;Théâtre;Avantages en nature (gratuité des fluides);Fluides;19 446
2015;FAMILLES EN ISERE;-;-;Avantages en nature (gratuité des fluides);1 rue Hector Berlioz;1 667
2015;FAMILLES EN ISERE;-;-;Avantages en nature (gratuité des fluides);3 place andré malraux;233
2015;FAMILLES EN ISERE;-;-;Avantages en nature (gratuité des fluides);13 rue Hoche;1 939
2015;FEDERATION SYNDICALE UNITAIRE (FSU);-;-;Avantage en nature (locaux / équipements sportifs);Locaux 32 avenue de l'Europe;24 227
2015;FNATH  ACCIDENTES DE LA VIE DE L ISERE;-;-;Avantage en nature (locaux / équipements sportifs);4 BIS RUE HECTOR BERLIOZ - 42m_;2 387
2015;FOOTBALL CLUB ALLOBROGES ASAFIA (FC2A);Sports;Football;Avantage en nature (locaux / équipements sportifs);55 Av, Maréchal Randon - 110m2 - Secteur 2;8 736
2015;FOOTBALL CLUB GRENOBLE RUGBY ASSOCIATION FCG;Sports;Rugby;Avantage en nature (locaux / équipements sportifs);18 bd Clemenceau (Anneau de Vitesse) - 250 m2 - Secteur 5;15 717
2015;FRANCO-POLONAISE KRAKOWIAK - ASS CULTURELLLE;Art et culture;Danse;Avantage en nature (locaux / équipements sportifs);14 rue Dodero (28,30 m2);1 904
2015;FRANCO-POLONAISE KRAKOWIAK - ASS CULTURELLLE;Art et culture;Danse;Avantages en nature (gratuité des fluides);14 rue Dodero (plafond);472
2015;FRATERNITE DES RESIDENTS DE TEISSEIRE;-;-;Avantage en nature (Autre);31 rue georges de manteyer;13 140
2015;GEM L'HEUREUX COIN;-;-;Avantage en nature (locaux / équipements sportifs);62-64 RUE AMPERE - 13.66 m_;904
2015;GEM L'HEUREUX COIN;-;-;Avantage en nature (locaux / équipements sportifs);62-64 RUE AMPERE - 65m_;4 302
2015;GESTION LOCAL RENE CASSIN;-;-;Avantage en nature (Autre);7 rené cassin;2 537
2015;GRENOBLE ALPES BADMINTON GAB 38;Sports;Badminton;Avantage en nature (locaux / équipements sportifs);40 Bd Clémenceau - 18,65m_ - Secteur 5;1 172
2015;GRENOBLE ALPES CANOE-KAYAK;Sports;Canoë kayak;Avantage en nature (locaux / équipements sportifs);8 rue Saint Ferjus - 70,27m2 garage - Secteur 2;3 100
2015;GRENOBLE ALPES CANOE-KAYAK;Sports;Canoë kayak;Avantage en nature (locaux / équipements sportifs);8 rue Saint Ferjus - 104,05m2 bureaux - Secteur 2;6 886
2015;GRENOBLE AMITIE NATURE;-;-;Avantage en nature (locaux / équipements sportifs);3 passage du Palais de Justice - 25,13 m2 - Secteur 2;1 580
2015;GRENOBLE BASEBALL SOFTBALL GRIZZLYS (AGBS);Sports;Base ball;Avantage en nature (locaux / équipements sportifs);3 rue Moyrand - 24.1m2 - Secteur 4;1 781
2015;GRENOBLE BASEBALL SOFTBALL GRIZZLYS (AGBS);Sports;Base ball;Avantages en nature (gratuité des fluides);3 rue Moyrand - plafond - Secteur 4;298
2015;GRENOBLE BASKET 38;Sports;Basket;Avantage en nature (locaux / équipements sportifs);4 rue François Raoult, Centre sportif Hoche - 19.98m2 - Secteur 2;1 146
2015;GRENOBLE CATALANS (ASGC);Sports;Rugby;Avantage en nature (locaux / équipements sportifs);3 rue Moyrand - 93m2 - Secteur 4;6 873
2015;GRENOBLE CATALANS (ASGC);Sports;Rugby;Avantages en nature (gratuité des fluides);3 rue Moyrand - gratuité - Secteur 4;1 149
2015;GRENOBLE FOOT 38 ASSOCIATION GF 38;-;-;Avantage en nature (locaux / équipements sportifs);3, rue Moyrand - S4 - 186 m2;13 746
2015;GRENOBLE FOOT 38 ASSOCIATION GF 38;-;-;Avantages en nature (gratuité des fluides);3, rue Moyrand - S4 - 186 m2;2 297
2015;GRENOBLE GYMNASTIQUE;Sports;Gymnastique;Avantage en nature (locaux / équipements sportifs);2 rue Léo Lagrange, Centre sportif Reyniès Bayard - 26m2 - Secteur 4;1 377
2015;GRENOBLE HANDISPORTS;Loisirs et vie sociale;Sciences et techniques;Avantage en nature (locaux / équipements sportifs);62 - 64 rue Ampère - 49,40m2 - Secteur 1;3 243
2015;GRENOBLE NATATION;Sports;Natation;Avantage en nature (locaux / équipements sportifs);3 rue Moyrand - 38m2 - Secteur 4;2 808
2015;GRENOBLE NATATION;Sports;Natation;Avantages en nature (gratuité des fluides);3 rue Moyrand - plafond - Secteur 4;469
2015;GRENOBLE PETANQUE EUROPOLE;-;-;Avantage en nature (locaux / équipements sportifs);20 rue Colonel (voie 90) 52.40 m2 - Secteur 1;2 832
2015;GRENOBLE SOLIDARITE;Action Sociale;Emploi Insertion;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;15 587
2015;GRENOBLE SOLIDARITE;Action Sociale;Lutte contre les exclusions;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;15 587
2015;GRENOBLE SOLIDARITE;Economie et développement local;-;Avantage en nature (locaux / équipements sportifs);1 rue Hauquelin;15 587
2015;GRENOBLE TENNIS;Sports;Tennis;Avantage en nature (locaux / équipements sportifs);1 Impasse du repos - 529m2 locaux et club house - Secteur 5;30 925
2015;GRENOBLE TENNIS;Sports;Tennis;Avantage en nature (locaux / équipements sportifs);1 Impasse du repos - 13691m2 Court tennis - Secteur 5;377 537
2015;GRENOBLE TENNIS;Sports;Tennis;Avantages en nature (gratuité des fluides);1 Impasse du repos - plafond - Secteur 5;36 784
2015;GRENOBLE VILLE GYM ET RANDO;-;-;Avantage en nature (locaux / équipements sportifs);3 Passage du Palais de Justice, immeuble Gavin - 46,18m2 - Secteur 2;2 903
2015;GRENOBLE VOLLEY UNIVERSITE CLUB (GVUC);Sports;Volley-ball;Avantage en nature (locaux / équipements sportifs);Rue Frédérico Garcia Lorca, Gymnase Malherbe - 88m2 - Secteur 5;4 659
2015;GRENOBLE VOLLEY UNIVERSITE CLUB (GVUC);Sports;Volley-ball;Avantages en nature (gratuité des fluides);Rue Frédérico Garcia Lorca, Gymnase Malherbe - gratuité - Secteur 5;1 087
2015;GRETA ALPES DAUPHINE;-;-;Avantage en nature (locaux / équipements sportifs);17 galerie de l'Arlequin;48 439
2015;GUC ATHLETISME;Sports;Athlétisme;Avantage en nature (locaux / équipements sportifs);Stade Bachelard, 63 av. Albert Reynier - 46m2 - Secteur 3;1 928
2015;GUC GRENOBLE SKI;Sports;Ski;Avantage en nature (locaux / équipements sportifs);24 Bd Clémenceau - 65m2 - Secteur 5;4 087
2015;GUC JUDO CLUB DE GRENOBLE;-;-;Avantage en nature (locaux / équipements sportifs);3 rue Moyrand - 297m2 - Secteur 4;21 949
2015;GUC JUDO CLUB DE GRENOBLE;-;-;Avantages en nature (gratuité des fluides);3 rue Moyrand - plafond - Secteur 4;3 668
2015;HABITANTS DE LA CRIQUE SUD ARLEQUIN (GRENOBLE) - ASSOC;-;-;Avantage en nature (Autre);161 galerie de l'arlequin;9 570
2015;HALTEROPHILE CLUB GRENOBLOIS;-;-;Avantage en nature (locaux / équipements sportifs);2 rue Léo Lagrange (CS Reyniès Bayard) - 11 m2 - Secteur 4;582
2015;HOCKEY CLUB GRENOBLE (GAZON)-HCG;Sports;Hockey / gazon;Avantage en nature (locaux / équipements sportifs);3, Rue Moyrand - 24.1m2 - Secteur 4;1 781
2015;HOCKEY CLUB GRENOBLE (GAZON)-HCG;Sports;Hockey / gazon;Avantages en nature (gratuité des fluides);3, Rue Moyrand - plafond - Secteur 4;298
2015;IMMIGRES ITALIENS;International;Culture étrangère;Avantage en nature (locaux / équipements sportifs);77, rue St Laurent (98 m2 & 33,5 m2);9 863
2015;IMMIGRES ITALIENS;International;Culture étrangère;Avantages en nature (gratuité des fluides);77, rue St Laurent (plafond);2 614
2015;INTERMEZZO;-;-;Avantage en nature (locaux / équipements sportifs);Mise a disposition de locaux;1 438
2015;ITINERAIRE INTERNATIONAL (ANTENNE RHONE-ALPES/GRENOBLE);International;Mobilité;Avantage en nature (Autre);2 rue François Raoult;4 851
