Provenance;CODEZA;NOMZA;Dernière Mise à jour;Code Insee Commune Principale;Commune Principale;Propriétaire;Aménageur;Gestionnaire;Id_Intercommunalite;Intercommunalite;ANNEECREAT;Surface occupee Ha;Surface libre equipee Ha;Surface libre non equipee Ha;Surface des infrastructures Ha;Surface zone verte Ha;Surface Totale Ha;TxOccup;SurfaceDispo;SurfaceCommercialisable
OPENDATA41 - www.pilote41.fr;142;Zone Artisanale;20/3/2015 00:00:00;41179;Poislay;La commune;La commune;La commune;200040772;Communauté de communes du Perche et Haut-Vendômois;1995;1,52;0,00;3,43;0,00;0,00;4,96;30,79;3,43;4,96
OPENDATA41 - www.pilote41.fr;143;Za "Le Pré Gombaud";30/3/2015 00:00:00;41139;Meusnes;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;1981;6,27;0,00;2,14;0,12;0,00;8,53;74,56;2,14;8,41
OPENDATA41 - www.pilote41.fr;144;ZA Est Les Murs;7/4/2015 00:00:00;41242;Selles-sur-Cher;;CC Val-de-Cher - Controis;CC Val-de-Cher - Controis;200040863;Communauté de communes Val-de-Cher - Controis;1975;7,53;0,00;0,00;0,40;0,00;7,93;100,00;0,00;7,53
OPENDATA41 - www.pilote41.fr;145;Zone d'Activités des Noues;27/3/2015 00:00:00;41218;Saint-Julien-sur-Cher;CC Romorantinais et  Monestois;CC Romorantinais et  Monestois;CC Romorantinais et  Monestois;200018406;Communauté de communes du Romorantinais et du Monestois;1997;0,32;0,00;11,38;1,22;0,00;12,92;2,77;11,38;11,70
OPENDATA41 - www.pilote41.fr;146;Zone de Talcy;13/5/2015 00:00:00;41253;Talcy;La commune;La commune;La commune;244100681;Communauté de communes de la Beauce Ligérienne;1991;2,10;0,00;0,00;0,03;0,00;2,13;100,00;0,00;2,10
OPENDATA41 - www.pilote41.fr;150;Zone Artisanale du Curasseau;20/3/2015 00:00:00;41152;Montrieux-en-Sologne;La commune;La commune;La commune;244100780;Communauté de communes de la Sologne des Etangs;1991;1,08;0,00;0,00;0,00;0,00;1,08;100,00;0,00;1,08
OPENDATA41 - www.pilote41.fr;153;Zone d'Epiais;12/6/2015 00:00:00;41077;Épiais;La commune;La commune;La commune;244100699;Communauté de communes de Beauce et Forêt;1995;0,00;0,00;0,78;0,00;0,00;0,78;0,00;0,78;0,78
OPENDATA41 - www.pilote41.fr;156;ZA La Chaumette;27/5/2015 00:00:00;41155;Muides-sur-Loire;La commune;La commune;La commune;244100681;Communauté de communes de la Beauce Ligérienne;1990;1,77;0,00;0,00;0,00;0,00;1,77;100,00;0,00;1,77
OPENDATA41 - www.pilote41.fr;160;Parc d'Activités de Champigny-en-Beauce;20/3/2015 00:00:00;41035;Champigny-en-Beauce;;;Agglopolys;200030385;Agglopolys - Communauté de l'agglomération de Blois;1991;3,71;0,00;0,00;0,00;0,00;3,71;100,00;0,00;3,71
OPENDATA41 - www.pilote41.fr;163;Zone Pâtureau 2000;3/4/2015 00:00:00;41185;Pruniers-en-Sologne;CC Romorantinais et Monestois;CC Romorantinais et Monestois;CC Romorantinais et Monestois;200018406;Communauté de communes du Romorantinais et du Monestois;2000;3,72;2,08;0,00;0,78;0,98;7,58;64,06;2,08;5,81
OPENDATA41 - www.pilote41.fr;164;ZAC des Grandes Bruyères;24/6/2015 00:00:00;41194;Romorantin-Lanthenay;3 Vals Aménagement et C Romorantinais et Monestois;3 Vals Aménagement;CC Romorantinais et Monestois;;Communauté de communes du Romorantinais et du Monestois;2000;5,63;46,31;36,04;11,35;7,53;106,88;6,40;82,35;87,98
