Chiffres citoyennet‚ :;
9 c‚r‚monies comm‚moratives.;"9;"
3 c‚r‚monies sp‚cifiques au 150 ans de la ville;"3;"
6 festivit‚s li‚es … l?activit‚ des assos d'anciens combattants;"6;"
c‚r‚monies de remise de colis sentinelles;"2;"
Distinctions honorifiques :;
c‚r‚monies annuelles de remise;"2;"
decores m‚dailles du travail secteur priv‚ ;"63;"
M‚daille d'honneur du travail;
Agent.e.s;"32;"
Retraite.e.s;15
