Departement,Population,Depense-totales-colleges,Dépenses-fonctionnement-colleges,Depenses-investissement-colleges,Nb-total-eleves,Depenses-fonctionnement/eleve,Depenses-investissement/eleve
Ain,621095,41 228 883 €,25 818 286 €,15 410 597 €,33217,777 €,464 €
Aisne,555941,44 344 023 €,26 364 358 €,17 979 665 €,26711,987 €,673 €
Allier,353036,14 046 854 €,6 532 715 €,7 514 139 €,14495,451 €,518 €
Alpes-de-Haute-Provence,166014,9 545 664 €,2 591 720 €,6 953 944 €,7674,338 €,906 €
Hautes-Alpes,143962,6 970 730 €,2 582 177 €,4 388 553 €,6478,399 €,677 €
Alpes-Maritimes,1097701,70 792 488 €,52 522 540 €,18 269 948 €,48409,1 085 €,377 €
Ardèche,327072,16 563 281 €,7 098 905 €,9 464 376 €,16217,438 €,584 €
Ardennes,291472,12 630 830 €,6 213 080 €,6 417 750 €,13283,468 €,483 €
Ariège,157936,9 735 701 €,2 112 213 €,7 623 487 €,6783,311 €,1 124 €
Aube,312211,9 694 452 €,5 271 809 €,4 422 643 €,14216,371 €,311 €
Aude,369503,24 888 961 €,16 268 465 €,8 620 495 €,16011,1 016 €,538 €
Aveyron,287417,11 301 261 €,5 572 356 €,5 728 904 €,11871,469 €,483 €
Bouches-du-Rhône,2005065,174 041 582 €,97 245 838 €,76 795 745 €,95448,1 019 €,805 €
Calvados,701836,26 544 838 €,14 635 237 €,11 909 601 €,33170,441 €,359 €
Cantal,153463,10 594 321 €,9 221 571 €,1 372 750 €,5815,1 586 €,236 €
Charente,365851,25 641 347 €,20 132 743 €,5 508 604 €,14939,1 348 €,369 €
Charente-Maritime,644353,37 697 117 €,28 122 415 €,9 574 702 €,28280,994 €,339 €
Cher,319962,12 218 959 €,7 306 940 €,4 912 019 €,12822,570 €,383 €
Corrèze,251175,9 158 296 €,4 623 289 €,4 535 007 €,10148,456 €,447 €
Corse-du-Sud,148209,0 €,0 €,0 €,6050,0 €,0 €
Haute-Corse,171481,0 €,0 €,0 €,6712,0 €,0 €
Côte-d'Or,540098,36 965 294 €,26 780 903 €,10 184 391 €,23227,1 153 €,438 €
Côtes-d'Armor,614973,49 519 276 €,28 372 178 €,21 147 098 €,28177,1 007 €,751 €
Creuse,127543,8 749 500 €,6 614 104 €,2 135 396 €,4283,1 544 €,499 €
Dordogne,427868,25 189 977 €,17 959 911 €,7 230 066 €,16638,1 079 €,435 €
Doubs,543878,36 797 614 €,10 504 035 €,26 293 579 €,25307,415 €,1 039 €
Drôme,502877,35 378 920 €,9 391 414 €,25 987 507 €,24598,382 €,1 056 €
Eure,605213,38 245 239 €,10 797 906 €,27 447 333 €,32115,336 €,855 €
Eure-et-Loir,441836,27 827 830 €,21 330 782 €,6 497 048 €,21648,985 €,300 €
Finistère,931711,54 926 860 €,32 878 351 €,22 048 509 €,43125,762 €,511 €
Gard,734923,42 007 122 €,14 489 872 €,27 517 250 €,35502,408 €,775 €
Haute-Garonne,1286050,47 014 139 €,22 155 570 €,24 858 569 €,57889,383 €,429 €
Gers,196143,10 008 257 €,3 301 097 €,6 707 159 €,8580,385 €,782 €
Gironde,1494064,109 403 518 €,58 952 662 €,50 450 856 €,69988,842 €,721 €
Hérault,1080823,65 196 627 €,41 047 221 €,24 149 406 €,50573,812 €,478 €
Ille-et-Vilaine,1024246,64 620 041 €,42 434 095 €,22 185 946 €,51922,817 €,427 €
Indre,237356,18 650 741 €,9 080 455 €,9 570 286 €,9767,930 €,980 €
Indre-et-Loire,609094,34 678 796 €,26 782 329 €,7 896 467 €,27809,963 €,284 €
Isère,1243170,60 102 891 €,25 851 746 €,34 251 145 €,62953,411 €,544 €
Jura,271660,23 212 192 €,14 067 735 €,9 144 457 €,12455,1 129 €,734 €
Landes,401562,37 691 185 €,17 074 981 €,20 616 203 €,18062,945 €,1 141 €
Loir-et-Cher,341885,11 027 307 €,6 109 568 €,4 917 739 €,15329,399 €,321 €
Loire,766630,24 224 192 €,13 518 251 €,10 705 940 €,36197,373 €,296 €
Haute-Loire,232838,9 985 140 €,5 425 388 €,4 559 752 €,11325,479 €,403 €
Loire-Atlantique,1332524,79 244 206 €,34 604 233 €,44 639 973 €,68475,505 €,652 €
Loiret,678357,44 269 206 €,37 839 574 €,6 429 632 €,33681,1 123 €,191 €
Lot,181443,13 634 629 €,8 740 730 €,4 893 899 €,7059,1 238 €,693 €
Lot-et-Garonne,341953,11 085 827 €,4 584 788 €,6 501 039 €,14509,316 €,448 €
Lozère,81372,4 432 413 €,2 115 991 €,2 316 421 €,3589,590 €,645 €
Maine-et-Loire,813870,40 980 437 €,32 479 261 €,8 501 176 €,41582,781 €,204 €
Manche,518013,35 097 376 €,26 383 694 €,8 713 681 €,23641,1 116 €,369 €
Marne,580635,37 482 937 €,24 677 363 €,12 805 575 €,26640,926 €,481 €
Haute-Marne,189154,13 332 200 €,11 074 099 €,2 258 102 €,8029,1 379 €,281 €
Mayenne,317759,10 175 790 €,6 819 048 €,3 356 742 €,15710,434 €,214 €
Meurthe-et-Moselle,747511,26 339 122 €,16 899 103 €,9 440 019 €,32645,518 €,289 €
Meuse,200068,13 579 141 €,10 053 720 €,3 525 421 €,8764,1 147 €,402 €
Morbihan,750234,48 197 614 €,33 221 009 €,14 976 605 €,35644,932 €,420 €
Moselle,1066797,53 482 310 €,18 690 761 €,34 791 549 €,46771,400 €,744 €
Nièvre,225952,8 362 078 €,3 542 000 €,4 820 078 €,8686,408 €,555 €
Nord,2620067,215 947 689 €,127 288 938 €,88 658 751 €,134823,944 €,658 €
Oise,825927,58 198 084 €,40 873 442 €,17 324 642 €,43058,949 €,402 €
Orne,300387,24 492 602 €,14 933 455 €,9 559 147 €,13258,1 126 €,721 €
Pas-de-Calais,1490514,137 449 537 €,75 188 225 €,62 261 312 €,74792,1 005 €,832 €
Puy-de-Dôme,652680,43 878 181 €,30 260 490 €,13 617 691 €,27785,1 089 €,490 €
Pyrénées-Atlantiques,678174,48 060 789 €,30 190 082 €,17 870 708 €,30146,1 001 €,593 €
Hautes-Pyrénées,237440,7 172 933 €,3 258 006 €,3 914 926 €,10076,323 €,389 €
Pyrénées-Orientales,461282,41 780 802 €,16 427 759 €,25 353 043 €,21996,747 €,1 153 €
Bas-Rhin,1118885,48 935 047 €,19 633 795 €,29 301 252 €,50910,386 €,576 €
Haut-Rhin,769394,24 753 844 €,16 441 515 €,8 312 328 €,35547,463 €,234 €
Rhône,1775953,93 780 609 €,41 985 795 €,51 794 813 €,86357,486 €,600 €
Haute-Saône,247674,11 100 869 €,3 713 203 €,7 387 666 €,11489,323 €,643 €
Saône-et-Loire,575050,27 245 922 €,10 835 567 €,16 410 356 €,24795,437 €,662 €
Sarthe,581736,47 770 634 €,27 053 314 €,20 717 320 €,28573,947 €,725 €
Savoie,433118,27 020 996 €,20 144 730 €,6 876 265 €,20381,988 €,337 €
Haute-Savoie,770450,29 901 256 €,15 910 914 €,13 990 342 €,38897,409 €,360 €
Paris,2274880,120 295 520 €,76 997 344 €,43 298 175 €,85459,901 €,507 €
Seine-Maritime,1276908,60 415 091 €,27 790 181 €,32 624 910 €,61226,454 €,533 €
Seine-et-Marne,1361031,101 025 756 €,34 222 008 €,66 803 748 €,76545,447 €,873 €
Yvelines,1441147,63 289 098 €,25 769 302 €,37 519 796 €,78818,327 €,476 €
Deux-Sèvres,382428,23 684 744 €,16 982 778 €,6 701 966 €,17473,972 €,384 €
Somme,583812,26 178 525 €,11 864 545 €,14 313 981 €,27514,431 €,520 €
Tarn,389581,22 229 927 €,16 529 398 €,5 700 529 €,17414,949 €,327 €
Tarn-et-Garonne,251042,17 496 918 €,10 876 044 €,6 620 874 €,12552,866 €,527 €
Var,1030355,75 603 594 €,55 543 225 €,20 060 369 €,47581,1 167 €,422 €
Vaucluse,558861,35 731 153 €,24 565 500 €,11 165 653 €,27916,880 €,400 €
Vendée,660904,49 169 883 €,17 511 478 €,31 658 404 €,32565,538 €,972 €
Vienne,439686,32 316 198 €,15 737 175 €,16 579 023 €,19554,805 €,848 €
Haute-Vienne,384720,15 467 384 €,4 972 639 €,10 494 745 €,15485,321 €,678 €
Vosges,392240,19 508 434 €,7 408 913 €,12 099 520 €,17566,422 €,689 €
Yonne,353189,16 806 384 €,7 892 347 €,8 914 036 €,15990,494 €,557 €
Territoire de Belfort,146935,10 838 864 €,6 276 638 €,4 562 226 €,6960,902 €,655 €
Essonne,1244311,70 165 748 €,30 300 663 €,39 865 085 €,67039,452 €,595 €
Hauts-de-Seine,1600568,156 728 121 €,85 811 053 €,70 917 067 €,72747,1 180 €,975 €
Seine-Saint-Denis,1542761,247 761 210 €,103 809 434 €,143 951 776 €,79353,1 308 €,1 814 €
Val-de-Marne,1346903,124 511 858 €,63 991 307 €,60 520 551 €,62053,1 031 €,975 €
Val-d'Oise,1197264,56 007 129 €,38 142 090 €,17 865 038 €,66924,570 €,267 €
Autre,2104928,120 090 628 €,53 921 981 €,66 168 647 €,151619,356 €,436 €
