objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
8289,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,164853.85695,2295.93060932974
8290,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,68528.23065,1140.54109004571
8291,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,814203.96635,4182.68075553443
8292,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,6642.8922,326.367327974973
8293,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,4050.1637,294.46749045206
8294,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,144943.87125,1990.60749130599
8295,90084,REPPE,2020/08/28 00:00:00+00,ilot parcellaire,119044.34715,1490.7254841727
8676,90032,DANJOUTIN,2020/08/17 00:00:00+00,ilot parcellaire,12139.761542095,588.58984798008
9076,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,118384.14995,2098.4721357619
9077,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,353115.406689465,3485.88049990074
9078,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,98853.86995,1891.66690727889
9079,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,959.91325,138.607223203611
9080,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,108697.8536,1822.49830403687
9081,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,210.11615,62.4462914780305
9082,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,2840.29365,212.177150785826
9083,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,15499.73915,582.932987785816
9084,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,4.06615,9.84325983964331
9085,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,338940.10495,3177.18939005864
9086,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,761.5402,374.174347472147
9087,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,705.76025,106.429411173617
9088,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,1657.48235,158.314684553221
9089,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,645774.515818105,6888.75535215462
9090,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,434694.8407,3400.85531191362
9091,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,261309.3804,2438.69808498517
9092,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,151.32815,66.8039724483871
9093,90020,BUC,2020/09/01 00:00:00+00,ilot parcellaire,19.8643,17.9176997979366
9476,90020,BUC,1970/01/01 00:00:00+00,ilot parcellaire,15283.07273319,583.505237635128
9477,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,452385.969316485,4190.20101042156
9478,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,358672.6723348,3038.67286047577
9479,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,155327.67805,2162.79485292925
9480,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,248241.06580291,2725.47721454931
9481,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,136796.429429935,2087.67882384411
9482,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,234104.391101155,2904.9886526774
9483,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,44683.71715,1119.50280813694
9484,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,228.531675405,152.688639077833
9485,90098,URCEREY,1970/01/01 00:00:00+00,ilot parcellaire,8297.70458378,994.938519275324
