"Evolution de la Taxe foncière sur le bâti"												
"Année"	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
"Taux en %"	6,85	6,94	6,94	7,08	7,19	7,3	7,3	7,41	7,41	7,41	7,41	7,56
