"Identifiant","Nom","Adresse","Adresse 2","Code postal","Ville","Pays","Longitude","Latitude","Modification"
"192464","Boulodrome du lac de Christus","Allée du Plumet","Local du boulodrome","40990","Saint-Paul-Lès-Dax","FR","-1,07260700","43,73235700","31/01/2020 16:21:14"
"141028","Stade d'Aurus","Chemin d'Aurus","","40990","Saint-Paul-Lès-Dax","FR","-1,03282200","43,73433600","24/06/2019 12:58:40"
"140344","Plaine des sports 3/3","Chemin du golf","","40990","Saint-Paul-Lès-Dax","FR","-1,08792700","43,73816600","24/06/2019 12:58:27"
"129632","Stade municipal","345 Rue René Loustalot","","40990","Saint-Paul-Lès-Dax","FR","-1,05976000","43,72661600","24/06/2019 12:58:29"
"128888","Gymnase d'Aurus","Chemin d'Argenton","","40990","Saint-Paul-Lès-Dax","FR","-1,03436600","43,73453200","24/06/2019 12:58:39"
"128547","EHPAD l'Oustaou","3, rue Robespierre","","40990","Saint-Paul-Lès-Dax","FR","-1,05373700","43,73239400","24/06/2019 12:58:35"
"128101","EHPAD Marie Paticat","impasse Marie Paticat","","40990","Saint-Paul-Lès-Dax","FR","-1,05702000","43,73446400","24/06/2019 12:58:34"
"109207","Centre technique municipal","route des Gravières","","40990","Saint-Paul-Lès-Dax","FR","-1,03697500","43,74472700","24/06/2019 12:58:39"
"108381","Piscine municipale","71, allée de Christus","","40990","Saint-Paul-Lès-Dax","FR","-1,06433000","43,72738400","24/06/2019 12:58:28"
"108379","Grange de Christus","453 Allée de Christus","Vieille grange - au lac","40990","Saint-Paul-Lès-Dax","FR","-1,06679800","43,72907100","30/11/2020 15:04:43"
"108378","Gymnase de Lingres","1, rue Eugène Lagoin","","40990","Saint-Paul-Lès-Dax","FR","-1,04382900","43,72616900","07/10/2019 16:10:51"
"108375","Stade du Pont Volant","Rue René Loustalot","","40990","Saint-Paul-Lès-Dax","FR","-1,06632900","43,73323200","24/06/2019 13:12:45"
"108374","Salle du Temps Libre","Rue Edmond Rostand","","40990","Saint-Paul-Lès-Dax","FR","-1,08091900","43,72596800","24/06/2019 13:12:31"
"108373","Plaine des Sports (2/2)","chemin du golf","","40990","Saint-Paul-Lès-Dax","FR","-1,09022200","43,73762300","24/06/2019 12:58:27"
"108370","Plaine des Sports (1/2)","chemin du golf","","40990","Saint-Paul-Lès-Dax","FR","-1,09277500","43,73746800","24/06/2019 12:58:27"
"108304","Salle Félix Arnaudin","11, Rue Abbé Bordes","","40990","Saint-Paul-Lès-Dax","FR","-1,05533100","43,72318300","24/06/2019 12:58:34"
"108303","Gymnase de Toumalin","Avenue du Maréchal Foch","","40990","Saint-Paul-Lès-Dax","FR","-1,05030100","43,72735600","24/06/2019 12:58:38"
"99992","Mairie de Saint-Paul-lès-Dax","111, Avenue du Maréchal Foch","","40990","Saint-Paul-Lès-Dax","FR","-1,05130000","43,72504400","24/06/2019 12:58:36"
