amendes de stationnement;"14148;"
immeubles surveill‚s pendant l'op‚ration tranquillit‚ vacances;"30;"
interventions;"1042;"
horodateurs;"32;"
parkings couverts ;"2;"
places;"320;"
abonnements … un parking municipal;"314;"
