INSEE;TYPEINF;CARACT;LIBELLE;URLFIC;IDURBA;ID_NCA;TXT;NOMFIC;geometry
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;91;205,11;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18079468, 43.65675754], [7.18320341, 43.65734716]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;92;2,23;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.1841171, 43.65743311], [7.18414443, 43.6574359]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;102;70,56;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18453408, 43.65725292], [7.18540001, 43.65734173]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;103;23,62;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18059952, 43.65516724], [7.18087687, 43.65523512]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;104;10,67;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18085176, 43.65537243], [7.180894, 43.65528144]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;93;5,26;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18415818, 43.65744537], [7.18416743, 43.6573985]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;94;31,38;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18549619, 43.65710597], [7.18588135, 43.65714503]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;95;6,11;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18418929, 43.65728766], [7.18420003, 43.65723324]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;96;17,4;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18054175, 43.65537672], [7.18074609, 43.65542673]]}
06123;11;;Cotation de l'enveloppe maximale des constructions (en mètres);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/saint-laurent-du-var;00000612320170313;97;15,79;PLU de Saint-Laurent-Du-Var;{"type": "LineString", "coordinates": [[7.18013814, 43.65655138], [7.1801756, 43.6564119]]}
