;Jun 2014
Pages vues;1255231
Visites;523278
Visiteurs cumulés;485135
Pages vues / visite;2,4
Taux d'entrée;35,8%
Pages vues / visites entrantes;4,9
Temps passé / visite;00:05:18
Temps passé / page;00:01:05
