DepCode,DepLib,ComInsee,ComLib,InsNumeroInstall,InsNom,EquipementId,EquNom,EquNomBatiment,EquNbEquIdentique,EquipementTypeCode,EquipementTypeLib,GestionTypeProprietairePrincLib,GestionTypeGestionnairePrincLib,GestionTypeProprietaireSecLib,GestionTypeGestionnaireSecLib,EquGestionDSP,EquDouche,EquEclairage,EquErpCTS,EquErpREF,EquErpL,EquErpN,EquErpO,EquErpOA,EquErpP,EquErpPA,EquErpR,EquErpRPE,EquErpSG,EquErpX,EquErpCategorie,EquAnneeService,AnneeServiceLib,EquNbPlaceTribune,NatureSolLib,NatureLibelle,EquHauteurEvolution,EquLongueurEvolution,EquLargeurEvolution,EquSurfaceEvolution,EquHauteurSurfaceEvo,EquNbCouloirPiste,EquNbVestiaireSpo,EquVestiaireSpoChauffe,EquNbVestiaireArbitre,EquSanitaireSportif,EquSanitairePublic,EquOuvertSaison,EquProximite,EquSono,EquTableauFixe,EquChrono,EquAmenagementAucun,EquUtilScolaire,EquUtilClub,EquUtilAutre,EquUtilIndividuel,EquUtilPerformance,EquUtilFormation,EquUtilRecreation,EquDateDernierTravauxReal,AnneeTravauxRealLibelle,EquDateDernierTravauxAucun,EquTravauxRealConformite,EquTravauxRealNorme,EquTravauxRealUsager,EquTravauxRealDegradation,EquTravauxRealVetuste,EquAccesHandimAire,EquAccesHandimTribune,EquAccesHandimVestiaire,EquAccesHandimSaniSpo,EquAccesHandimSaniPub,EquAccesHandimAucun,EquAccesHandisAucun,EquAccesHandisAire,EquAccesHandisTribune,EquAccesHandisVestiaire,EquAccesHandisSaniSpo,EquAccesHandisSaniPub,EquAccueilClub,EquAccueilSalle,EquAccueilBuvette,EquAccueilDopage,EquAccueilMedic,EquAccueilInfirmerie,EquAccueilBureau,EquAccueilReception,EquAccueilLocalRangement,EquAccueilAutre,EquAccueilAucun,EquChauffageNon,EquChauffageFuel,EquChauffageGaz,EquChauffageElectricite,EquChauffageSolaire,EquChauffageAutre,EquConfortSauna,EquConfortBainBouillonant,EquConfortBainVapeur,EquConfortSolarium,EquConfortAutre,EquConfortAucun,EquDemarcheHQE,EquSaeNbCouloir,EquSaeHauteur,EquSaeSurface,EquNatureSignal,EquNatureAlert,EquNatureAcPubPed,EquNatureAcPubRout,EquNatureAcPubMec,EquNatureAcPubNau,EquNatureAcSecPed,EquNatureAcSecRout,EquNatureAcSecMec,EquNatureAcSecNau,EquNatureLocTec,EquNatureLocPed,EquNatureAutorise,EquNaturePDESI,EquipNatureSituationLib,EquNatureSEVoies,EquNatureClassFedeMini,EquNatureClassFedeMaxi,EquNatureESTour,EquNatureAETreuil,EquNatureSKAltitudeBasse,EquNatureSKAltitudeHaute,EquNatureSKDebit,EquNatureSKTotalRemontee,EquNatureSKNbKMSkiAlpin,EquNatureSKNbKMSkiNordique,EquNatureSHNbPisteNeigeArti,EquNatureSKSnowPark,EquNatureSKHalfpipe,EquNatureSKKmLance,EquNatureSKBorder,EquNatureSKSlalom,EquNatureSKTremplin,EquNatureSKJardinAlpin,EquNatureSKJardinNordique,EquipementTir10,EquipementTir25,EquipementTir50,EquipementTir100,EquipementTir200,EquipementTir300,EquipementTirPlateau,EquipementTirAutre,EquAthDev,EquAthLongLigneDroite,EquAthNbCouloirLigne,EquAthNbCouloirHorsLigne,EquAthRiviere,EquNatSurv,EquAthNbSautTotal,EquAthNbSautHauteur,EquAthNbSautLongueur,EquAthNbSautTriple,EquAthNbSautPerche,EquAthNbLancerTotal,EquAthNbPoids,EquAthNbDisque,EquAthNbJavelot,EquAthNbMarteau,EquAthNBMarteauMixte,EquNatFormeLib,EquNatLongueurBassin,EquNatLargeurBassin,EquNatSurfaceBassin,EquNatProfMini,EquNatProfMax,EquNatCouloir,EquNatSurfacePlageBassin,EquNatNbTTotal,EquNatNbT1,EquNatNbT3,EquNatNbPTotal,EquNatNbP3,EquNatNbP5,EquNatNbP7,EquNatNbP10,EquNatMaV,EquNatTobog,EquNatPentaglisse,EquNatRiviere,EquNatImHandi,EquNatFM,EquNatMM,EquNatEclSub,EquNatSonorisationSub,EquNatAutre,EquPresencePataugeoir,longitude,latitude,EquDateCreation,EquDateMaj
33,Gironde,33042,Belin-Béliet,330420012,Jardin de la Gare,354248,Boulodromme,,1,202,Terrain de pétanque,Commune,Commune,,,0,0,0,0,0,0,,,,,0,0,0,0,0,,2014,A partir de 2005,0,Stabilisé/cendrée,Découvert,,50.00,20.00,100.00,,,0,0,0,0,-1,0,-1,0,0,0,-1,,1,1,1,,1,1,,,-1,0,0,0,0,0,Oui,Non-concerne,Non-concerne,Non-concerne,Oui,Non,Oui,Non,Non-concerne,Non-concerne,Non-concerne,Non,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78625900,44.49994400,2015-10-09 00:00:00,
33,Gironde,33042,Belin-Béliet,330420012,Jardin de la Gare,354249,Espace Skate,,1,2603,Skate park,Commune,Commune,,,0,0,0,0,0,0,,,,,0,0,0,0,0,,2014,A partir de 2005,0,Bitume,Découvert,.00,25.00,2.00,50.00,,1,0,0,0,0,-1,0,-1,0,0,0,-1,,,,1,,,1,,,-1,0,0,0,0,0,Oui,Non-concerne,Non-concerne,Non-concerne,Oui,Non,Oui,Non,Non-concerne,Non-concerne,Non-concerne,Non,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78680700,44.50003200,2015-10-09 00:00:00,
33,Gironde,33044,Bellefond,330440001,Tennis Club,235455,Court de Tennis,,1,501,Court de tennis,Commune,Commune,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990,1985-1994,0,Béton,Découvert,.00,36.00,18.00,648.00,.00,0,0,0,0,0,-1,0,0,0,0,0,-1,,,,1,0,0,1,,,-1,0,0,0,0,0,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17203000,44.76839000,2005-12-12 00:00:00,2013-05-16 00:00:00
33,Gironde,33045,Belvès-de-Castillon,330450002,Boulodrome,235457,Terrain de Pétanque,,1,202,Terrain de pétanque,Commune,Commune,,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,1992,1985-1994,0,Stabilisé/cendrée,Découvert,.00,40.00,28.00,1131.00,.00,0,0,0,0,0,0,0,0,0,0,0,-1,,1,,1,1,1,1,,,-1,0,0,0,0,0,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4277000,44.87957000,2005-12-12 00:00:00,2013-05-16 00:00:00
33,Gironde,33045,Belvès-de-Castillon,330450001,Plateau Sportif,235459,Plateau Eps,,1,1701,Plateau EPS/Multisports/city-stades,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,1990,1985-1994,0,Bitume,Découvert,.00,33.00,16.00,534.00,.00,0,2,-1,0,-1,-1,0,0,0,0,0,-1,,2,,1,0,0,0,,,-1,0,0,0,0,0,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2996000,44.87816000,2005-12-12 00:00:00,2013-05-16 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460006,Les Galop Pins,235460,Carrière,,1,901,Carrière,Privé non commercial,Etablissement privé commercial,,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,,1995-2004,0,Sable,Découvert,.00,.00,.00,3150.00,.00,0,0,0,0,-1,0,0,0,0,0,0,-1,,1,1,,1,0,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Non,Non-concerne,Oui,Oui,Non,Non-concerne,Non-concerne,Non,Non-concerne,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23902000,44.37740000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460005,Boulodrome,235461,Terrain de Pétanque,,1,202,Terrain de pétanque,Commune,Commune,,,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,,1990,1985-1994,0,Stabilisé/cendrée,Découvert,.00,46.00,14.00,638.00,.00,0,0,0,0,0,0,0,0,0,0,0,-1,,,,1,0,0,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Non-concerne,Non-concerne,Oui,Oui,Non,Non-concerne,Non-concerne,Non-concerne,Non-concerne,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24113000,44.37144000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460003,Écuries de Libet,235462,Carrière 1,,1,901,Carrière,Association(s),Association(s),,,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,5,,1995-2004,0,Synthétique (hors gazon),Découvert,.00,80.00,70.00,6300.00,.00,0,0,0,0,-1,0,0,0,0,0,0,-1,,1,1,,1,1,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Oui,Non-concerne,Non,Oui,Non,Non-concerne,Non-concerne,Non,Non-concerne,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26867000,44.38167000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460003,Écuries de Libet,235463,Carrière,,1,901,Carrière,Association(s),Association(s),,,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,,1985-1994,0,Sable,Découvert,.00,90.00,50.00,4500.00,.00,0,0,-1,0,-1,0,0,0,0,0,0,-1,,1,1,,1,0,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Oui,Non-concerne,Non,Oui,Non,Non-concerne,Non-concerne,Non,Non-concerne,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26809000,44.38120000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460003,Écuries de Libet,235464,Marcheur,,1,903,Manège,Association(s),Association(s),,,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,5,,1995-2004,0,Sable,Intérieur,6.00,35.00,20.00,700.00,.00,0,0,0,0,-1,0,0,0,0,0,0,-1,,1,1,,1,1,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Non,Non-concerne,Oui,Oui,Non,Non-concerne,Non-concerne,Non,Non-concerne,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26747000,44.38164000,2005-12-12 00:00:00,2014-11-17 00:00:00
33,Gironde,33046,Bernos-Beaulac,330460003,Écuries de Libet,235465,Manège,,1,903,Manège,Association(s),Association(s),,,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,5,,1995-2004,0,Sable,Intérieur,5.00,42.00,15.00,630.00,.00,0,0,-1,0,-1,0,0,0,0,0,0,-1,,1,1,,1,1,1,,,-1,0,0,0,0,0,Non,Non-concerne,Non-concerne,Non,Non-concerne,Oui,Oui,Non,Non-concerne,Non-concerne,Non,Non-concerne,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26750000,44.38197000,2005-12-12 00:00:00,2014-11-17 00:00:00
