Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
"Emploi et Travail",47964,99662,2.08,436.51
"Etat et collectivites territoriales",47286,120727,2.55,521.92
"Jeunesse et Education",36420,70118,1.93,514.55
Economie,34642,81936,2.37,506.88
"Sante et Affaires sociales",30450,69131,2.27,535.53
"Societe et Politique de la ville",16770,39632,2.36,590.59
"Agriculture et Developpement durable",10655,30040,2.82,533.14
"Securite et Justice",10315,30139,2.92,564.27
"Europe et Monde",1071,8885,8.30,601.42
