;Jul 2014
Pages vues;1032994
Visites;438314
Visiteurs cumulés;406432
Pages vues / visite;2,4
Taux d'entrée;35,3%
Pages vues / visites entrantes;4,8
Temps passé / visite;00:05:16
Temps passé / page;00:01:05
