ecoles maternelles publiques;"6;"
ecoles ‚l‚mentaires publiques;"4;"
enfants scolarises en elementaire;"1203;"
enfants scolarises en maternelle;"825;"
Sejours nbr d'enfants :;"191;"
enfants vacances hiver;"68;"
enfants vacances printemps;"19;"
enfants vacances ‚t‚;"104;"
