Thématique,Visites,"Pages vues","Pages vues / visites","Temps passé / visites"
-,1047991,1918848,1.83,292.39
"Etat et collectivites territoriales",54244,138544,2.55,463.34
"Sante et Affaires sociales",38775,86983,2.24,511.43
"Jeunesse et Education",35060,66494,1.90,510.11
"Emploi et Travail",29188,66744,2.29,458.00
Economie,27125,68541,2.53,505.52
"Societe et Politique de la ville",22080,43748,1.98,538.99
"Agriculture et Developpement durable",15610,40754,2.61,546.30
"Securite et Justice",12010,35483,2.95,503.46
"Europe et Monde",1584,10702,6.76,550.82
