COMMUNE;CODE INSEE;ANNEE;EFFECTIF;NB CLASSES;NB CLASSES MATERNELLES;NB CLASSES PRIMAIRES
texte;alphanumérique;numérique;numérique;numérique;numérique;numérique
TALENSAC;35331;2015;257;10;3;7
TALENSAC;35331;2016;245;10;3;7
TALENSAC;35331;2017;237;9;3;6
TALENSAC;35331;2018;245;10;3;7
