Année;Période;type;"Particulier
H";"Particulier
F";Organisme externe;Organisme interne;Comm d'Agglo;Hors CA;Hors Dpt;Centre Ville;Cote;Libé;Marbot;Ville Haute;Centre Ville Ligny;Quartier Eglise;Quartier Aouisses;TOTAL
2014;18 semaines;Appels siège;196;591;378;256;1360;31;30;394;237;40;41;30;0;0;0;1421
2014;18 semaines;Visites siège;272;479;47;NC;776;17;4;147;346;36;21;15;0;0;0;798
2014;18 semaines;Appels site;86;262;201;182;690;23;18;0;0;0;0;0;131;90;69;731
2014;18 semaines;Visites site;488;868;243;NC;1576;16;7;0;0;0;0;0;543;321;337;1599
