STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_J01,MESURE_J02,MESURE_J03,MESURE_J04,MESURE_J05,MESURE_J06,MESURE_J07,MESURE_J08,MESURE_J09,MESURE_J10,MESURE_J11,MESURE_J12,MESURE_J13,MESURE_J14,MESURE_J15,MESURE_J16,MESURE_J17,MESURE_J18,MESURE_J19,MESURE_J20,MESURE_J21,MESURE_J22,MESURE_J23,MESURE_J24,MESURE_J25,MESURE_J26,MESURE_J27,MESURE_J28,MESURE_J29,MESURE_J30,MESURE_J31,MES_J_MINI,MES_J_MAXI,MOYENNE_JOUR
Bordeaux - Grand Parc,NO,2014-07-01,1,1,3,5,3,0,4,1,0,1,1,0,0,0,4,3,1,1,0,0,1,1,1,2,1,0,0,1,1,0,2,0,5,1
Bordeaux - Grand Parc,NO,2014-08-01,2,0,0,1,2,1,0,5,1,0,1,2,0,1,0,0,1,3,1,0,6,2,0,0,1,1,5,4,2,1,0,0,6,1
Bordeaux - Grand Parc,NO,2014-09-01,5,3,1,5,1,0,0,0,4,9,1,2,1,1,5,0,,,3,1,0,1,2,3,7,14,7,1,2,2,,0,14,3
Bordeaux - Grand Parc,NO,2014-10-01,4,11,15,4,0,3,1,2,1,7,2,0,6,22,2,11,5,1,0,6,0,3,22,43,42,7,11,2,2,6,4,0,43,8
Bordeaux - Grand Parc,NO,2014-11-01,3,3,1,6,23,11,4,1,1,1,1,3,2,20,1,0,2,24,21,4,11,4,3,33,8,85,8,0,1,1,,0,85,10
Bordeaux - Grand Parc,NO,2014-12-01,2,7,17,20,34,0,6,25,35,3,2,4,9,2,21,5,0,0,1,0,54,89,59,4,4,13,0,0,2,16,18,0,89,15
Bordeaux - Grand Parc,NO,2015-01-01,18,13,9,1,9,18,31,16,1,0,12,27,5,1,5,3,3,0,2,40,4,1,6,16,3,47,1,,0,2,1,0,47,10
Bordeaux - Grand Parc,NO,2015-02-01,0,10,3,2,1,2,1,0,4,41,63,41,4,0,1,15,1,3,15,4,1,0,0,0,6,0,1,1,,,,0,63,8
Bordeaux - Grand Parc,NO,2015-03-01,0,0,5,1,7,34,24,9,5,7,19,1,0,0,1,3,2,2,3,2,3,0,4,8,2,3,1,0,0,0,0,0,34,5
Bordeaux - Grand Parc,NO,2015-04-01,1,10,4,0,0,0,1,5,5,4,0,1,5,11,2,1,0,0,0,2,8,2,0,7,1,0,1,2,4,2,,0,11,3
Bordeaux - Grand Parc,NO,2015-05-01,0,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,,0,0,0,0,1,1,0,0,0,0,3,0
Bordeaux - Grand Parc,NO,2015-06-01,1,2,0,4,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,2,0,2,4,7,0,0,1,1,,0,7,1
Bordeaux - Grand Parc,NO,2015-07-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,0,1,1,0,0,0,1,0,1,1,0,2,0
Bordeaux - Grand Parc,NO,2015-08-01,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,1,1,1,1,3,5,0,0,0,2,1,1,1,1,0,1,0,5,1
Bordeaux - Grand Parc,NO,2015-09-01,0,3,0,4,0,0,2,2,11,1,11,0,0,0,2,0,0,1,1,1,19,0,10,8,14,1,0,8,1,1,,0,19,3
Bordeaux - Grand Parc,SO2,2012-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bordeaux - Grand Parc,SO2,2012-02-01,0,1,2,0,0,2,3,4,4,2,3,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,,,0,4,1
Bordeaux - Grand Parc,SO2,2012-03-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,0,0,3,0
Bordeaux - Grand Parc,SO2,2012-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Bordeaux - Grand Parc,SO2,2012-05-01,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0
Bordeaux - Grand Parc,SO2,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bordeaux - Grand Parc,SO2,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2012-09-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0
Bordeaux - Grand Parc,SO2,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordeaux - Grand Parc,SO2,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bordeaux - Grand Parc,SO2,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordeaux - Grand Parc,SO2,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2013-02-01,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,1,1,1,1,2,3,2,2,2,4,4,,,,0,4,1
Bordeaux - Grand Parc,SO2,2013-03-01,3,1,1,1,1,1,1,0,0,1,1,2,3,4,4,1,1,2,1,1,1,2,1,1,1,3,3,1,2,2,1,0,4,2
Bordeaux - Grand Parc,SO2,2013-04-01,2,2,3,2,2,4,4,2,2,3,2,2,3,4,2,1,1,1,0,5,4,2,3,3,4,4,2,1,2,2,,0,5,2
Bordeaux - Grand Parc,SO2,2013-05-01,2,1,,1,1,1,1,1,1,2,1,0,2,4,2,1,1,0,0,1,2,2,2,3,4,4,3,3,3,4,5,0,5,2
Bordeaux - Grand Parc,SO2,2013-06-01,5,6,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,3,3,3,4,3,3,1,1,3,,0,6,2
Bordeaux - Grand Parc,SO2,2013-07-01,2,3,4,3,4,4,5,5,3,1,0,0,2,2,1,2,2,3,3,1,3,3,4,3,4,4,3,2,2,2,3,0,5,3
Bordeaux - Grand Parc,SO2,2013-08-01,3,3,2,2,2,3,3,2,3,2,2,3,3,3,3,2,3,3,3,5,4,4,3,3,3,5,5,4,5,4,5,2,5,3
Bordeaux - Grand Parc,SO2,2013-09-01,,,,1,1,1,0,0,0,0,2,2,1,1,2,2,1,1,3,1,1,0,1,1,2,2,3,2,1,1,,0,3,1
Bordeaux - Grand Parc,SO2,2013-10-01,1,1,,2,3,3,3,4,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,,,0,0,,,0,0,0,4,1
Bordeaux - Grand Parc,SO2,2013-11-01,0,1,1,0,0,0,0,0,1,0,0,1,,,0,1,0,0,0,1,2,2,3,4,4,5,8,5,5,,,0,8,2
Bordeaux - Grand Parc,SO2,2013-12-01,,,,,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,3,1,1,2,2,3,4,3,3,4,4,4,0,4,1
Bordeaux - Grand Parc,SO2,2014-01-01,,,,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Bordeaux - Grand Parc,SO2,2014-03-01,0,0,0,0,0,1,2,0,0,2,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1
Bordeaux - Grand Parc,SO2,2014-04-01,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Bordeaux - Grand Parc,SO2,2014-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Bordeaux - Grand Parc,SO2,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2014-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bordeaux - Grand Parc,SO2,2014-09-01,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,0,0,0,9,4,2,2,1,0,0,0,0,,0,9,1
Bordeaux - Grand Parc,SO2,2014-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0
Bordeaux - Grand Parc,SO2,2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bordeaux - Grand Parc,SO2,2014-12-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,2,0
Bordeaux - Grand Parc,SO2,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordeaux - Grand Parc,SO2,2015-02-01,0,0,2,2,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,2,0
Bordeaux - Grand Parc,SO2,2015-03-01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bordeaux - Grand Parc,SO2,2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
