COMMUNE;CODE INSEE;ANNEE;EFFECTIF;NB CLASSES;NB CLASSES MATERNELLES;NB CLASSES ELEMENTAIRES
BRETEIL;35040;2010;417;17;7;10
BRETEIL;35040;2011;413;17;7;10
BRETEIL;35040;2012;409;17;7;10
BRETEIL;35040;2013;411;17;7;10
BRETEIL;35040;2014;397;17;7;10
BRETEIL;35040;2015;414;17;7;10
BRETEIL;35040;2016;413;16;6;10
BRETEIL;35040;2017;393;16;6;10
BRETEIL;35040;2018;377;15;6;9
BRETEIL;35040;2019;358;15;6;9
