Localisation;Adresse;Code postal;Ville;Nombre de kiosque;Coordonnees GPS
Square Jean-Pierre Gratzer ;56 rue de Villiers;92300;Levallois;1;48.890976, 2.279375
Parc Alsace;Rue d'Alsace;92300;Levallois;2;48.892356, 2.298205
Parc Collange;64 rue Paul-Vaillant-Couturier;92300;Levallois;2;48.897486, 2.289809
Parc de la Planchette ;105 rue du Président Wilson;92300;Levallois;2;48.896242, 2.286539
;;;;;
;;;;;
;;;;;
;;;;;
"
";;;;;
